ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1181837	473.4	20GB	0GB	19.9	2.0	482.5	68	59	0	0	0.8	0.5	1	4	11	5852	42	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-04-30T19:59:20	8.11.4		5c2be544f5
1186068	475.1	20GB	0GB	19.9	2.0	484.1	69	60	0	0	0.8	0.5	1	4	13	9077	42	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-04-30T22:26:57	9.1.2		87d4df1f07
1122634	449.7	20GB	0GB	19.9	2.0	458.1	68	59	0	0	0.9	0.5	1	4	16	5961	45	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-04-18T21:26:44	9.9.3		14d3046a53
1148256	459.9	20GB	0GB	19.9	2.0	468.7	69	60	0	0	0.9	0.5	1	4	10	5839	44	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-04-18T23:54:18	9.10.0		ae8fb3e500
1121073	449.0	20GB	0GB	19.9	2.0	457.6	70	61	0	0	0.9	0.5	1	4	10	7009	45	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-04-19T02:21:52	9.11.2		461d7f4464
1108878	444.2	20GB	0GB	19.9	2.0	452.6	69	60	0	0	0.9	0.5	1	4	14	5973	45	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-04-19T04:49:24	10.0.1		45f7473909
1079362	432.3	20GB	0GB	19.9	2.0	440.6	70	61	0	0	0.9	0.5	1	4	13	7357	46	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-04-19T07:17:04	10.1.3		5823cf08d6
1123881	450.2	20GB	0GB	19.9	2.0	458.8	69	60	0	0	0.9	0.5	1	4	15	6017	44	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-1T00:54:23	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
70132	268.3	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.3	12.6	18	22	38	739	300	0.0		0.3	0.0	NA	revrange.t1	2025-04-30T20:00:03	8.11.4		5c2be544f5
70353	269.1	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.2	12.5	18	22	36	794	300	0.0		0.3	0.0	NA	revrange.t1	2025-04-30T22:27:40	9.1.2		87d4df1f07
70124	268.2	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.3	12.5	18	22	40	493	300	0.0		0.3	0.0	NA	revrange.t1	2025-04-18T21:27:30	9.9.3		14d3046a53
70457	269.5	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.2	12.5	18	22	39	612	300	0.0		0.3	0.0	NA	revrange.t1	2025-04-18T23:55:03	9.10.0		ae8fb3e500
71961	275.3	20GB	0GB	0.0	NA	0.0	0	0	0	0	13.9	12.5	18	22	38	638	300	0.0		0.3	0.0	NA	revrange.t1	2025-04-19T02:22:38	9.11.2		461d7f4464
70289	268.9	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.2	12.5	18	22	40	764	300	0.0		0.3	0.0	NA	revrange.t1	2025-04-19T04:50:11	10.0.1		45f7473909
67315	257.5	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.9	12.8	21	25	41	723	300	0.0		0.3	0.0	NA	revrange.t1	2025-04-19T07:17:52	10.1.3		5823cf08d6
69264	265.0	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.4	12.6	20	22	45	558	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-1T00:55:09	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
521510	208.9	22GB	0GB	6.1	4.0	644.2	21	17	0	0	46.0	36.8	68	2700	5454	13396	10	16.3		0.1	0.1	NA	overwritesome.t24.s0	2025-04-30T20:05:05	8.11.4		5c2be544f5
504548	202.1	22GB	0GB	7.2	4.6	735.6	25	20	0	0	47.5	38.1	70	2736	5378	17048	10	17.4		0.1	0.1	NA	overwritesome.t24.s0	2025-04-30T22:32:42	9.1.2		87d4df1f07
521504	208.9	22GB	0GB	6.0	4.0	637.0	20	16	0	0	46.0	41.1	68	2622	4797	11065	10	12.1		0.1	0.1	NA	overwritesome.t24.s0	2025-04-18T21:32:32	9.9.3		14d3046a53
507472	203.3	22GB	0GB	6.0	4.0	618.9	20	17	0	0	47.3	40.2	70	2697	4351	18319	10	15.4		0.1	0.1	NA	overwritesome.t24.s0	2025-04-19T00:00:04	9.10.0		ae8fb3e500
499958	200.3	22GB	0GB	7.2	4.6	730.2	25	20	0	0	48.0	39.8	68	2727	6095	12992	10	16.3		0.1	0.1	NA	overwritesome.t24.s0	2025-04-19T02:27:39	9.11.2		461d7f4464
514110	205.9	22GB	0GB	6.2	4.1	641.3	21	17	0	0	46.7	39.5	70	2693	4342	12443	10	15.1		0.1	0.1	NA	overwritesome.t24.s0	2025-04-19T04:55:12	10.0.1		45f7473909
524826	210.2	22GB	0GB	6.0	4.0	636.0	20	16	0	0	45.7	40.8	66	2611	4367	13169	10	12.1		0.1	0.1	NA	overwritesome.t24.s0	2025-04-19T07:22:53	10.1.3		5823cf08d6
522404	209.2	22GB	0GB	6.0	4.0	638.0	20	17	0	0	45.9	35.9	66	2718	4381	13113	10	17.0		0.1	0.1	NA	overwritesome.t24.s0	2025-05-1T01:00:10	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
709591	2842.2	23GB	0GB	46.0	13.8	26.2	150	124	0	0	33.8	32.4	51	53	75	68730	1800	0.0		43.2	0.2	NA	revrangewhilewriting.t24	2025-04-30T20:05:34	8.11.4		5c2be544f5
702790	2815.0	23GB	0GB	46.4	13.9	26.4	154	128	0	0	34.1	32.8	51	57	75	79134	1800	0.0		43.2	0.2	NA	revrangewhilewriting.t24	2025-04-30T22:33:06	9.1.2		87d4df1f07
693678	2778.5	23GB	0GB	45.9	13.7	26.1	154	128	0	0	34.6	33.5	51	61	75	70870	1800	0.0		43.2	0.2	NA	revrangewhilewriting.t24	2025-04-18T21:33:01	9.9.3		14d3046a53
691758	2770.8	23GB	0GB	46.0	13.8	26.2	154	127	0	0	34.7	33.6	51	61	75	99218	1800	0.0		43.2	0.2	NA	revrangewhilewriting.t24	2025-04-19T00:00:34	9.10.0		ae8fb3e500
697412	2793.4	23GB	0GB	46.3	13.9	26.3	153	126	0	0	34.4	33.2	51	60	75	71154	1800	0.0		43.2	0.2	NA	revrangewhilewriting.t24	2025-04-19T02:28:04	9.11.2		461d7f4464
689491	2761.7	23GB	0GB	46.3	13.9	26.3	152	126	0	0	34.8	33.9	51	60	75	66573	1800	0.0		43.2	0.2	NA	revrangewhilewriting.t24	2025-04-19T04:55:41	10.0.1		45f7473909
692955	2775.6	23GB	0GB	46.1	13.8	26.2	151	125	0	0	34.6	33.5	51	61	75	69068	1800	0.0		43.2	0.2	NA	revrangewhilewriting.t24	2025-04-19T07:23:22	10.1.3		5823cf08d6
701621	2810.3	23GB	0GB	46.0	13.8	26.2	151	124	0	0	34.2	32.9	51	54	75	71762	1800	0.0		43.2	0.2	NA	revrangewhilewriting.t24	2025-05-1T01:00:35	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1035973	4149.5	23GB	0GB	49.7	14.8	28.3	165	136	0	0	23.2	22.9	34	48	66	66892	1800	0.0		43.2	0.2	NA	fwdrangewhilewriting.t24	2025-04-30T20:35:42	8.11.4		5c2be544f5
1043025	4177.8	23GB	0GB	49.4	14.7	28.1	166	137	0	0	23.0	22.5	34	48	65	71349	1800	0.0		43.2	0.2	NA	fwdrangewhilewriting.t24	2025-04-30T23:03:15	9.1.2		87d4df1f07
1044125	4182.2	23GB	0GB	49.2	14.7	28.0	165	137	0	0	23.0	22.4	34	48	66	67986	1800	0.0		43.2	0.2	NA	fwdrangewhilewriting.t24	2025-04-18T22:03:09	9.9.3		14d3046a53
1033776	4140.7	23GB	0GB	49.4	14.7	28.1	167	139	0	0	23.2	23.0	34	48	67	71599	1800	0.0		43.2	0.2	NA	fwdrangewhilewriting.t24	2025-04-19T00:30:42	9.10.0		ae8fb3e500
1046742	4192.7	23GB	0GB	49.5	14.7	28.2	165	137	0	0	22.9	22.3	34	48	66	72010	1800	0.0		43.2	0.2	NA	fwdrangewhilewriting.t24	2025-04-19T02:58:12	9.11.2		461d7f4464
