ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1310861	525.1	20GB	0GB	19.9	2.0	535.2	68	59	0	0	0.8	0.5	1	5	119	9571	38	0.3	4	0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-11T01:43:13	6.29.5		79f08d7ffa
1216022	487.1	20GB	0GB	19.9	2.0	496.3	69	60	0	0	0.8	0.5	1	4	10	9871	41	0.0	0	0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-11T05:21:58	7.10.2		3258b5c3e2
1167733	467.7	20GB	0GB	19.9	2.0	476.5	68	59	0	0	0.9	0.5	1	4	14	5918	43	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-11T09:00:24	8.11.4		5c2be544f5
1219457	488.4	20GB	0GB	19.9	2.0	497.8	69	61	0	0	0.8	0.5	1	4	11	6051	41	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-11T12:38:01	9.0.1		36540d4355
1210274	484.8	20GB	0GB	19.9	2.0	494.0	72	63	0	0	0.8	0.5	1	4	16	9604	41	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-11T16:15:35	9.1.2		87d4df1f07
1172706	469.7	20GB	0GB	19.9	2.0	478.6	70	61	0	0	0.9	0.5	1	4	12	6052	43	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-11T19:53:15	9.2.2		41214f0b4e
1202583	481.7	20GB	0GB	19.9	2.0	490.8	71	61	0	0	0.8	0.5	1	4	15	10087	42	0.1		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-11T23:31:03	9.3.2		01393464ea
1208628	484.1	20GB	0GB	19.9	2.0	493.3	69	60	0	0	0.8	0.5	1	4	9	9877	41	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-12T03:08:39	9.4.1		7dbbca6e33
1179236	472.3	20GB	0GB	19.9	2.0	481.4	69	61	0	0	0.8	0.5	1	4	12	6064	42	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-12T06:46:30	9.5.2		a7e70f95aa
1089830	436.5	20GB	0GB	19.9	2.0	444.9	70	62	0	0	0.9	0.5	1	4	18	6041	46	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-12T10:24:13	9.6.2		ccfb1998b1
1145609	458.9	20GB	0GB	19.9	2.0	467.6	70	61	0	0	0.9	0.5	1	4	10	6051	44	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-12T14:02:02	9.7.4		3c27a3dde0
1171238	469.1	20GB	0GB	19.9	2.0	478.1	69	60	0	0	0.9	0.5	1	4	14	9761	43	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-12T17:39:45	9.8.4		44e95d8af5
1179264	472.3	20GB	0GB	19.9	2.0	481.3	69	60	0	0	0.8	0.5	1	4	10	9151	42	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-12T21:17:28	9.9.3		14d3046a53
1133534	454.0	20GB	0GB	19.9	2.0	462.8	69	60	0	0	0.9	0.5	1	4	17	5901	44	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-8T20:49:23	9.10.0		ae8fb3e500
1144461	458.4	20GB	0GB	19.9	2.0	467.2	69	60	0	0	0.9	0.5	1	4	16	9199	44	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-8T23:16:58	9.11.2		461d7f4464
1124558	450.4	20GB	0GB	19.9	2.0	459.0	70	61	0	0	0.9	0.5	1	4	10	6249	44	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-13T00:55:14	10.0.1		45f7473909
1088448	436.0	20GB	0GB	19.9	2.0	444.3	69	61	0	0	0.9	0.5	1	4	14	6035	46	0.0		0.1	0.0	0.2	fillseq.wal_disabled.v400	2025-04-13T04:32:57	10.1.3		5823cf08d6
1101902	441.4	20GB	0GB	19.9	2.0	449.8	69	60	0	0	0.9	0.5	1	4	14	5824	45	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-9T01:44:24	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
75980	290.6	20GB	0GB	0.0	NA	0.0	0	0	0	0	13.2	12.5	17	22	33	634	300	0.0	0	0.3	0.0	0.0	revrange.t1	2025-04-11T01:43:52	6.29.5		79f08d7ffa
79204	303.0	20GB	0GB	0.0	NA	0.0	0	0	0	0	12.6	12.5	16	22	32	505	300	0.0	0	0.3	0.0	0.0	revrange.t1	2025-04-11T05:22:41	7.10.2		3258b5c3e2
68902	263.6	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.5	12.6	20	22	40	554	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-11T09:01:09	8.11.4		5c2be544f5
69651	266.4	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.4	12.6	19	22	40	606	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-11T12:38:43	9.0.1		36540d4355
69288	265.0	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.4	12.6	19	22	39	568	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-11T16:16:17	9.1.2		87d4df1f07
69428	265.5	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.4	12.6	19	22	40	583	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-11T19:53:59	9.2.2		41214f0b4e
71957	275.3	20GB	0GB	0.0	NA	0.0	0	0	0	0	13.9	12.5	18	22	39	589	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-11T23:31:46	9.3.2		01393464ea
72555	277.5	20GB	0GB	0.0	NA	0.0	0	0	0	0	13.8	12.5	18	22	37	615	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-12T03:09:21	9.4.1		7dbbca6e33
71300	272.7	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.0	12.5	18	22	38	619	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-12T06:47:14	9.5.2		a7e70f95aa
72032	275.5	20GB	0GB	0.0	NA	0.0	0	0	0	0	13.9	12.5	18	22	34	532	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-12T10:25:01	9.6.2		ccfb1998b1
71561	273.7	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.0	12.5	18	22	37	572	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-12T14:02:47	9.7.4		3c27a3dde0
67319	257.5	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.9	12.8	21	22	40	487	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-12T17:40:29	9.8.4		44e95d8af5
68350	261.5	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.6	12.7	21	22	40	517	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-12T21:18:12	9.9.3		14d3046a53
68528	262.1	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.6	12.6	21	22	40	602	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-8T20:50:08	9.10.0		ae8fb3e500
68699	262.8	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.6	12.7	21	22	40	555	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-8T23:17:43	9.11.2		461d7f4464
69275	265.0	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.4	12.6	20	22	39	564	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-13T00:56:00	10.0.1		45f7473909
69634	266.4	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.4	12.6	19	22	40	595	300	0.0		0.3	0.0	0.0	revrange.t1	2025-04-13T04:33:45	10.1.3		5823cf08d6
69192	264.7	20GB	0GB	0.0	NA	0.0	0	0	0	0	14.5	12.6	20	22	40	496	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-9T01:45:11	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
510095	204.3	22GB	0GB	6.0	4.0	612.4	20	16	0	0	47.0	37.7	74	2713	4248	11243	10	17.5	18	0.1	0.1	0.1	overwritesome.t24.s0	2025-04-11T03:19:04	6.29.5		79f08d7ffa
516311	206.8	22GB	0GB	6.1	4.0	638.7	21	17	0	0	46.5	40.1	71	2680	5294	14214	10	14.3	16	0.1	0.1	0.1	overwritesome.t24.s0	2025-04-11T06:57:52	7.10.2		3258b5c3e2
518620	207.7	22GB	0GB	6.1	4.0	640.2	21	17	0	0	46.3	37.7	67	2696	4586	10698	10	16.8		0.1	0.1	0.1	overwritesome.t24.s0	2025-04-11T10:36:20	8.11.4		5c2be544f5
513911	205.8	22GB	0GB	6.1	4.0	636.0	21	17	0	0	46.7	37.7	68	2718	5415	21237	10	16.2		0.1	0.1	0.1	overwritesome.t24.s0	2025-04-11T14:13:55	9.0.1		36540d4355
501557	200.9	22GB	0GB	6.2	4.1	625.6	22	18	0	0	47.8	37.2	72	2796	4842	13050	10	19.0		0.1	0.1	0.3	overwritesome.t24.s0	2025-04-11T17:51:29	9.1.2		87d4df1f07
515969	206.7	22GB	0GB	7.2	4.6	752.9	25	20	0	0	46.5	37.2	69	2716	5533	18412	10	16.0		0.1	0.1	0.2	overwritesome.t24.s0	2025-04-11T21:29:11	9.2.2		41214f0b4e
520362	208.4	22GB	0GB	6.1	4.0	642.6	21	17	0	0	46.1	37.7	65	2699	5083	13725	10	16.4		0.1	0.1	0.1	overwritesome.t24.s0	2025-04-12T01:06:57	9.3.2		01393464ea
522690	209.4	22GB	0GB	6.0	4.0	632.5	20	17	0	0	45.9	40.3	71	2644	4426	12594	10	12.4		0.1	0.1	0.1	overwritesome.t24.s0	2025-04-12T04:44:33	9.4.1		7dbbca6e33
511689	205.0	22GB	0GB	6.1	4.0	631.4	21	17	0	0	46.9	39.3	71	2702	4908	11512	10	15.6		0.1	0.1	0.1	overwritesome.t24.s0	2025-04-12T08:22:25	9.5.2		a7e70f95aa
509157	203.9	22GB	0GB	6.2	4.1	635.8	21	17	0	0	47.1	40.9	70	2683	4347	11847	10	14.2		0.1	0.1	0.1	overwritesome.t24.s0	2025-04-12T12:00:12	9.6.2		ccfb1998b1
