ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1011164	405.0	439GB	0GB	503.8	1.2	260.8	3855	3490	0	0	1.0	0.5	3	6	930	23645	1978	14.7		5.2	0.9	NA	fillseq.wal_disabled.v400	2025-05-1T03:21:59	8.11.4		5c2be544f5
997055	399.4	439GB	0GB	536.5	1.2	273.9	4082	3697	0	0	1.0	0.5	3	6	945	19473	2006	14.7		5.4	0.9	NA	fillseq.wal_disabled.v400	2025-05-1T06:45:06	9.1.2		87d4df1f07
1004810	402.5	439GB	0GB	540.5	1.2	278.1	4071	3696	0	0	1.0	0.5	3	6	874	22730	1990	12.5		5.4	0.9	NA	fillseq.wal_disabled.v400	2025-04-19T09:44:34	9.9.3		14d3046a53
1005322	402.7	439GB	0GB	536.5	1.2	276.1	4059	3685	0	0	1.0	0.5	3	6	919	21405	1989	13.8		5.4	0.9	NA	fillseq.wal_disabled.v400	2025-04-19T13:06:35	9.10.0		ae8fb3e500
1004115	402.2	439GB	0GB	513.6	1.2	264.0	3943	3581	0	0	1.0	0.5	3	6	153	20693	1992	11.9		5.4	0.9	NA	fillseq.wal_disabled.v400	2025-04-19T16:27:16	9.11.2		461d7f4464
998308	399.9	439GB	0GB	544.6	1.2	278.4	4096	3719	0	0	1.0	0.5	3	6	908	21920	2003	13.5		5.4	0.9	NA	fillseq.wal_disabled.v400	2025-04-19T19:48:06	10.0.1		45f7473909
996007	398.9	439GB	0GB	523.0	1.2	266.7	4009	3643	0	0	1.0	0.5	3	6	109	22914	2008	11.2		5.5	0.9	NA	fillseq.wal_disabled.v400	2025-04-19T23:09:07	10.1.3		5823cf08d6
1003530	402.0	439GB	0GB	524.0	1.2	269.2	3996	3629	0	0	1.0	0.5	3	6	146	25956	1993	11.8		5.4	0.9	NA	fillseq.wal_disabled.v400	2025-05-1T10:08:25	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
58335	223.1	439GB	0GB	1.0	NA	3.5	8	7	0	0	17.1	18.3	22	30	47	23696	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-1T03:55:01	8.11.4		5c2be544f5
57817	221.2	439GB	0GB	0.1	NA	0.4	1	1	0	0	17.3	18.4	22	28	46	11315	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-1T07:18:36	9.1.2		87d4df1f07
75327	288.1	439GB	0GB	2.7	NA	9.3	15	13	0	0	13.3	12.5	19	33	49	13378	301	0.0		0.3	0.0	NA	revrange.t1	2025-04-19T10:17:48	9.9.3		14d3046a53
76478	292.6	439GB	0GB	1.9	NA	6.5	9	8	0	0	13.1	12.5	18	30	34	11140	301	0.0		0.3	0.0	NA	revrange.t1	2025-04-19T13:39:48	9.10.0		ae8fb3e500
76537	292.8	439GB	0GB	2.1	NA	7.3	11	9	0	0	13.1	12.5	18	31	38	44327	301	0.0		0.3	0.0	NA	revrange.t1	2025-04-19T17:00:32	9.11.2		461d7f4464
