ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
695350	278.5	439GB	0GB	521.1	1.2	185.5	3994	3488	0	0	1.4	0.5	2	6	1222	93609378	2876	9.8	16518	6.3	0.9	6.0	fillseq.wal_disabled.v400	2025-04-13T08:10:39	6.29.5		79f08d7ffa
1010294	404.7	439GB	0GB	561.8	1.2	290.6	4130	3733	0	0	1.0	0.5	3	6	990	22985	1980	16.6	11207	5.2	1.0	6.3	fillseq.wal_disabled.v400	2025-04-13T13:10:44	7.10.2		3258b5c3e2
996031	399.0	439GB	0GB	552.1	1.2	281.6	4154	3756	0	0	1.0	0.5	3	6	895	17672	2008	12.9		5.4	0.9	6.2	fillseq.wal_disabled.v400	2025-04-13T17:42:22	8.11.4		5c2be544f5
1012356	405.5	439GB	0GB	510.9	1.2	264.8	3896	3525	0	0	1.0	0.5	3	6	964	20923	1976	15.9		5.2	0.9	5.8	fillseq.wal_disabled.v400	2025-04-13T22:17:15	9.0.1		36540d4355
990858	396.9	439GB	0GB	556.9	1.2	282.5	4189	3796	0	0	1.0	0.5	3	6	994	19612	2018	16.5		5.4	1.0	6.3	fillseq.wal_disabled.v400	2025-04-14T02:52:07	9.1.2		87d4df1f07
1033755	414.1	439GB	0GB	481.9	1.1	255.1	3673	3316	0	0	1.0	0.5	3	6	893	20761	1935	14.1		5.1	0.8	5.4	fillseq.wal_disabled.v400	2025-04-14T07:27:28	9.2.2		41214f0b4e
1004303	402.3	439GB	0GB	484.4	1.1	249.1	3790	3433	0	0	1.0	0.5	3	6	891	25850	1992	13.7		5.3	0.8	5.4	fillseq.wal_disabled.v400	2025-04-14T12:01:32	9.3.2		01393464ea
1028273	411.9	439GB	0GB	509.2	1.2	268.1	3836	3463	0	0	1.0	0.5	3	6	899	20879	1945	13.9		5.2	0.9	5.7	fillseq.wal_disabled.v400	2025-04-14T16:36:31	9.4.1		7dbbca6e33
1017566	407.6	439GB	0GB	487.5	1.1	254.0	3768	3407	0	0	1.0	0.5	3	6	904	24446	1966	14.1		5.2	0.8	5.5	fillseq.wal_disabled.v400	2025-04-14T21:10:55	9.5.2		a7e70f95aa
1009668	404.4	439GB	0GB	490.9	1.1	253.8	3818	3458	0	0	1.0	0.5	3	6	876	23347	1981	13.2		5.3	0.9	5.6	fillseq.wal_disabled.v400	2025-04-15T01:45:41	9.6.2		ccfb1998b1
1020041	408.6	439GB	0GB	490.9	1.1	256.4	3782	3420	0	0	1.0	0.5	3	6	673	21898	1961	12.9		5.2	0.9	5.5	fillseq.wal_disabled.v400	2025-04-15T06:20:38	9.7.4		3c27a3dde0
1027891	411.7	439GB	0GB	496.7	1.2	261.4	3764	3397	0	0	1.0	0.5	3	6	357	26695	1946	13.0		5.2	0.8	5.6	fillseq.wal_disabled.v400	2025-04-15T10:54:56	9.8.4		44e95d8af5
1021746	409.3	439GB	0GB	517.3	1.2	270.6	3887	3522	0	0	1.0	0.5	3	6	471	23174	1958	12.8		5.3	0.9	5.8	fillseq.wal_disabled.v400	2025-04-15T15:29:15	9.9.3		14d3046a53
997749	399.6	439GB	0GB	511.1	1.2	261.1	3951	3594	0	0	1.0	0.5	3	6	302	25615	2004	12.2		5.4	0.9	5.8	fillseq.wal_disabled.v400	2025-04-15T20:01:37	10.0.1		45f7473909
997890	399.7	439GB	0GB	525.7	1.2	268.6	4032	3667	0	0	1.0	0.5	3	6	740	22108	2004	12.4		5.4	0.9	5.9	fillseq.wal_disabled.v400	2025-04-16T00:34:41	10.1.3		5823cf08d6
1004810	402.5	439GB	0GB	540.5	1.2	278.1	4071	3696	0	0	1.0	0.5	3	6	874	22730	1990	12.5		5.4	0.9	NA	fillseq.wal_disabled.v400	2025-04-19T09:44:34	9.9.3		14d3046a53
1005322	402.7	439GB	0GB	536.5	1.2	276.1	4059	3685	0	0	1.0	0.5	3	6	919	21405	1989	13.8		5.4	0.9	NA	fillseq.wal_disabled.v400	2025-04-19T13:06:35	9.10.0		ae8fb3e500
1004115	402.2	439GB	0GB	513.6	1.2	264.0	3943	3581	0	0	1.0	0.5	3	6	153	20693	1992	11.9		5.4	0.9	NA	fillseq.wal_disabled.v400	2025-04-19T16:27:16	9.11.2		461d7f4464
998308	399.9	439GB	0GB	544.6	1.2	278.4	4096	3719	0	0	1.0	0.5	3	6	908	21920	2003	13.5		5.4	0.9	NA	fillseq.wal_disabled.v400	2025-04-19T19:48:06	10.0.1		45f7473909
996007	398.9	439GB	0GB	523.0	1.2	266.7	4009	3643	0	0	1.0	0.5	3	6	109	22914	2008	11.2		5.5	0.9	NA	fillseq.wal_disabled.v400	2025-04-19T23:09:07	10.1.3		5823cf08d6

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
54710	209.3	439GB	0GB	9.0	NA	30.7	54	48	0	0	18.3	12.9	28	34	14605	23551	301	0.0	9866	0.4	0.0	0.4	revrange.t1	2025-04-13T08:58:40	6.29.5		79f08d7ffa
101171	387.0	439GB	0GB	1.5	NA	5.1	11	9	0	0	9.9	8.2	15	20	33	5886	301	0.0	0	0.3	0.0	0.3	revrange.t1	2025-04-13T13:43:47	7.10.2		3258b5c3e2
91534	350.1	439GB	0GB	1.3	NA	4.5	8	7	0	0	10.9	11.8	15	25	45	24524	301	0.0		0.3	0.0	0.3	revrange.t1	2025-04-13T18:15:54	8.11.4		5c2be544f5
57895	221.5	439GB	0GB	0.5	NA	1.7	4	3	0	0	17.3	18.3	22	29	46	20522	301	0.0		0.3	0.0	0.2	revrange.t1	2025-04-13T22:50:14	9.0.1		36540d4355
72882	278.8	439GB	0GB	2.4	NA	8.2	12	11	0	0	13.7	12.5	19	31	45	13048	301	0.0		0.3	0.0	0.3	revrange.t1	2025-04-14T03:25:49	9.1.2		87d4df1f07
56454	215.9	439GB	0GB	0.1	NA	0.3	1	1	0	0	17.7	18.4	22	32	47	13061	302	0.0		0.3	0.0	0.2	revrange.t1	2025-04-14T07:59:47	9.2.2		41214f0b4e
59213	226.5	439GB	0GB	1.1	NA	3.7	8	7	0	0	16.9	18.3	22	30	48	18230	302	0.0		0.3	0.0	0.3	revrange.t1	2025-04-14T12:34:48	9.3.2		01393464ea
59317	226.9	439GB	0GB	0.3	NA	1.2	2	2	0	0	16.9	18.3	22	29	46	11919	302	0.0		0.3	0.0	0.2	revrange.t1	2025-04-14T17:09:00	9.4.1		7dbbca6e33
59109	226.1	439GB	0GB	1.5	NA	5.2	11	10	0	0	16.9	18.3	22	32	48	9039	302	0.0		0.3	0.0	0.3	revrange.t1	2025-04-14T21:43:45	9.5.2		a7e70f95aa
59944	229.3	439GB	0GB	0.1	NA	0.3	1	1	0	0	16.7	18.3	22	22	45	4377	302	0.0		0.3	0.0	0.2	revrange.t1	2025-04-15T02:18:46	9.6.2		ccfb1998b1
58906	225.3	439GB	0GB	0.2	NA	0.7	1	1	0	0	17.0	18.3	22	25	46	14844	302	0.0		0.3	0.0	0.2	revrange.t1	2025-04-15T06:53:23	9.7.4		3c27a3dde0
90291	345.4	439GB	0GB	1.9	NA	6.5	12	10	0	0	11.1	12.0	15	31	49	69470	302	0.0		0.3	0.0	0.3	revrange.t1	2025-04-15T11:27:26	9.8.4		44e95d8af5
57475	219.8	439GB	0GB	0.2	NA	0.7	1	1	0	0	17.4	18.4	22	31	47	17457	301	0.0		0.3	0.0	0.2	revrange.t1	2025-04-15T16:01:57	9.9.3		14d3046a53
66284	253.5	439GB	0GB	1.1	NA	3.9	8	7	0	0	15.1	13.2	22	28	44	5925	301	0.0		0.3	0.0	0.3	revrange.t1	2025-04-15T20:35:05	10.0.1		45f7473909
89164	341.1	439GB	0GB	0.9	NA	3.1	5	5	0	0	11.2	12.2	15	25	33	59652	301	0.0		0.3	0.0	0.2	revrange.t1	2025-04-16T01:08:09	10.1.3		5823cf08d6
75327	288.1	439GB	0GB	2.7	NA	9.3	15	13	0	0	13.3	12.5	19	33	49	13378	301	0.0		0.3	0.0	NA	revrange.t1	2025-04-19T10:17:48	9.9.3		14d3046a53
76478	292.6	439GB	0GB	1.9	NA	6.5	9	8	0	0	13.1	12.5	18	30	34	11140	301	0.0		0.3	0.0	NA	revrange.t1	2025-04-19T13:39:48	9.10.0		ae8fb3e500
76537	292.8	439GB	0GB	2.1	NA	7.3	11	9	0	0	13.1	12.5	18	31	38	44327	301	0.0		0.3	0.0	NA	revrange.t1	2025-04-19T17:00:32	9.11.2		461d7f4464
87808	335.9	439GB	0GB	2.2	NA	7.5	14	13	0	0	11.4	12.3	15	28	34	40796	301	0.0		0.3	0.0	NA	revrange.t1	2025-04-19T20:21:33	10.0.1		45f7473909
57562	220.2	439GB	0GB	0.2	NA	0.5	1	1	0	0	17.4	18.3	22	28	46	10762	301	0.0		0.3	0.0	NA	revrange.t1	2025-04-19T23:42:39	10.1.3		5823cf08d6

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
159250	63.8	439GB	0GB	0.0	NA	0.0	0	0	0	0	150.7	140.0	446	698	4268	365271	1801	0.0	0	4.5	4.3	98.1	readrandom.t24	2025-04-13T09:03:42	6.29.5		79f08d7ffa
160219	64.2	439GB	0GB	0.0	NA	0.0	0	0	0	0	149.8	139.5	454	715	3412	348637	1801	0.0	0	4.2	4.3	97.9	readrandom.t24	2025-04-13T13:48:49	7.10.2		3258b5c3e2
160599	64.3	439GB	0GB	0.0	NA	0.0	0	0	0	0	149.4	140.2	449	656	5281	983436	1801	0.0		4.4	4.5	97.9	readrandom.t24	2025-04-13T18:20:56	8.11.4		5c2be544f5
159865	64.0	439GB	0GB	0.0	NA	0.0	0	0	0	0	150.1	139.7	445	652	4144	374305	1801	0.0		4.3	4.3	97.9	readrandom.t24	2025-04-13T22:55:16	9.0.1		36540d4355
160907	64.5	439GB	0GB	0.0	NA	0.0	0	0	0	0	149.1	140.1	442	634	3505	380866	1801	0.0		4.4	4.3	97.9	readrandom.t24	2025-04-14T03:30:51	9.1.2		87d4df1f07
161815	64.8	439GB	0GB	0.0	NA	0.0	0	0	0	0	148.3	140.5	441	625	3661	374742	1801	0.0		4.4	4.3	98.1	readrandom.t24	2025-04-14T08:04:49	9.2.2		41214f0b4e
159983	64.1	439GB	0GB	0.0	NA	0.0	0	0	0	0	150.0	140.4	445	653	3406	412789	1801	0.0		4.4	4.3	98.1	readrandom.t24	2025-04-14T12:39:50	9.3.2		01393464ea
160303	64.2	439GB	0GB	0.0	NA	0.0	0	0	0	0	149.7	139.9	444	653	3496	351317	1801	0.0		4.3	4.3	98.1	readrandom.t24	2025-04-14T17:14:02	9.4.1		7dbbca6e33
160197	64.2	439GB	0GB	0.0	NA	0.0	0	0	0	0	149.8	140.2	444	653	3353	367878	1801	0.0		4.4	4.3	98.1	readrandom.t24	2025-04-14T21:48:47	9.5.2		a7e70f95aa
161357	64.6	439GB	0GB	0.0	NA	0.0	0	0	0	0	148.7	140.5	442	638	4072	275468	1801	0.0		4.4	4.3	98.1	readrandom.t24	2025-04-15T02:23:48	9.6.2		ccfb1998b1
160319	64.2	439GB	0GB	0.0	NA	0.0	0	0	0	0	149.7	140.3	443	651	3860	436423	1801	0.0		4.4	4.3	98.1	readrandom.t24	2025-04-15T06:58:25	9.7.4		3c27a3dde0
160309	64.2	439GB	0GB	0.0	NA	0.0	0	0	0	0	149.7	140.5	442	639	3761	334481	1801	0.0		4.3	4.4	98.1	readrandom.t24	2025-04-15T11:32:28	9.8.4		44e95d8af5
163382	65.4	439GB	0GB	0.0	NA	0.0	0	0	0	0	146.9	140.9	439	579	1021	166320	1801	0.0		4.6	4.3	98.0	readrandom.t24	2025-04-15T16:06:59	9.9.3		14d3046a53
160214	64.2	439GB	0GB	0.0	NA	0.0	0	0	0	0	149.8	141.0	443	643	3458	388607	1801	0.0		4.5	4.3	98.1	readrandom.t24	2025-04-15T20:40:07	10.0.1		45f7473909
158568	63.5	439GB	0GB	0.0	NA	0.0	0	0	0	0	151.3	140.6	450	711	4838	477991	1801	0.0		4.3	4.4	98.0	readrandom.t24	2025-04-16T01:13:11	10.1.3		5823cf08d6
216111	86.6	483GB	0GB	681.4	9.6	753.5	4081	3058	0	0	111.0	42.8	2573	5636	12798	1250546	926	49.8		6.1	5.1	NA	overwritesome.t24.s0	2025-04-19T10:22:50	9.9.3		14d3046a53
234732	94.0	483GB	0GB	672.1	9.5	807.2	3769	2953	0	0	102.2	42.3	2515	4977	9578	61477	853	48.1		6.0	5.0	NA	overwritesome.t24.s0	2025-04-19T13:44:50	9.10.0		ae8fb3e500
232148	93.0	483GB	0GB	675.9	9.5	802.8	3784	2963	0	0	103.4	41.9	2537	5246	9659	56976	862	49.3		6.1	4.9	NA	overwritesome.t24.s0	2025-04-19T17:05:34	9.11.2		461d7f4464
231226	92.6	483GB	0GB	677.5	9.6	801.6	3791	2966	0	0	103.8	41.6	2539	5063	9634	52741	866	49.8		6.1	4.8	NA	overwritesome.t24.s0	2025-04-19T20:26:35	10.0.1		45f7473909
233556	93.5	483GB	0GB	676.8	9.6	808.8	3790	2956	0	0	102.7	42.3	2519	5142	9651	53137	857	48.4		6.1	4.8	NA	overwritesome.t24.s0	2025-04-19T23:47:41	10.1.3		5823cf08d6

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
110883	444.1	439GB	0GB	0.0	NA	0.0	0	0	0	0	216.4	199.6	573	848	1233	23473	1802	0.0	0	7.7	4.1	98.1	fwdrange.t24	2025-04-13T09:34:00	6.29.5		79f08d7ffa
113911	456.3	439GB	0GB	0.0	NA	0.0	0	0	0	0	210.7	193.0	577	854	1248	22366	1801	0.0	0	5.8	4.2	97.9	fwdrange.t24	2025-04-13T14:19:04	7.10.2		3258b5c3e2
110204	441.4	439GB	0GB	0.0	NA	0.0	0	0	0	0	217.8	195.1	583	864	6410	278282	1803	0.0		6.0	4.3	98.0	fwdrange.t24	2025-04-13T18:51:13	8.11.4		5c2be544f5
110361	442.0	439GB	0GB	0.0	NA	0.0	0	0	0	0	217.5	201.0	572	845	1219	22251	1803	0.0		7.9	4.3	98.0	fwdrange.t24	2025-04-13T23:25:34	9.0.1		36540d4355
110105	441.0	439GB	0GB	0.0	NA	0.0	0	0	0	0	218.0	197.7	581	1028	3843	389469	1803	0.0		6.7	4.2	97.9	fwdrange.t24	2025-04-14T04:01:09	9.1.2		87d4df1f07
108153	433.2	439GB	0GB	0.0	NA	0.0	0	0	0	0	221.9	202.3	578	1025	4483	1031883	1803	0.0		7.8	4.3	98.0	fwdrange.t24	2025-04-14T08:35:07	9.2.2		41214f0b4e
110449	442.4	439GB	0GB	0.0	NA	0.0	0	0	0	0	217.3	200.6	573	847	1228	22880	1803	0.0		7.7	4.3	98.0	fwdrange.t24	2025-04-14T13:10:07	9.3.2		01393464ea
107001	428.6	439GB	0GB	0.0	NA	0.0	0	0	0	0	224.3	202.2	578	862	8939	392729	1803	0.0		7.6	4.5	98.0	fwdrange.t24	2025-04-14T17:44:21	9.4.1		7dbbca6e33
