ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1015561	406.8	439GB	0GB	455.6	1.1	236.9	3591	3139	0	0	1.0	0.5	3	6	892	25419	1969	13.9		5.3	0.5	NA	fillseq.wal_disabled.v400	2025-05-1T16:15:08	8.11.4		5c2be544f5
1001934	401.3	439GB	0GB	440.8	1.1	226.1	3553	3123	0	0	1.0	0.5	3	6	936	29104	1996	15.4		5.3	0.5	NA	fillseq.wal_disabled.v400	2025-05-1T19:41:03	9.1.2		87d4df1f07
1045358	418.7	439GB	0GB	470.2	1.1	251.7	3573	3081	0	0	1.0	0.5	3	6	120	21312	1913	10.7		5.4	0.4	NA	fillseq.wal_disabled.v400	2025-04-20T02:30:04	9.9.3		14d3046a53
1031149	413.0	439GB	0GB	467.7	1.1	246.9	3612	3129	0	0	1.0	0.5	3	6	139	22993	1940	10.9		5.4	0.4	NA	fillseq.wal_disabled.v400	2025-04-20T05:54:02	9.10.0		ae8fb3e500
1014079	406.2	439GB	0GB	458.9	1.1	238.3	3612	3139	0	0	1.0	0.5	3	6	204	26818	1972	11.9		5.5	0.4	NA	fillseq.wal_disabled.v400	2025-04-20T09:18:55	9.11.2		461d7f4464
1019163	408.2	439GB	0GB	485.7	1.1	253.4	3739	3236	0	0	1.0	0.5	3	6	125	22620	1962	10.6		5.6	0.4	NA	fillseq.wal_disabled.v400	2025-04-20T12:44:28	10.0.1		45f7473909
1010426	404.7	439GB	0GB	460.1	1.1	238.1	3642	3169	0	0	1.0	0.5	3	6	130	24225	1979	10.3		5.6	0.4	NA	fillseq.wal_disabled.v400	2025-04-20T16:09:30	10.1.3		5823cf08d6
1010842	404.9	439GB	0GB	464.1	1.1	240.2	3668	3216	0	0	1.0	0.5	3	6	136	21383	1979	10.6		5.5	0.5	NA	fillseq.wal_disabled.v400	2025-05-1T23:06:49	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
58781	224.8	439GB	0GB	0.2	NA	0.6	1	1	0	0	17.0	18.3	22	25	46	11234	304	0.0		0.3	0.0	NA	revrange.t1	2025-05-1T16:48:13	8.11.4		5c2be544f5
92409	353.5	439GB	0GB	0.9	NA	3.1	7	4	0	0	10.8	11.6	15	21	32	13318	304	0.0		0.3	0.0	NA	revrange.t1	2025-05-1T20:14:35	9.1.2		87d4df1f07
58060	222.1	439GB	0GB	0.2	NA	0.7	2	1	0	0	17.2	18.3	22	27	46	10020	304	0.0		0.3	0.0	NA	revrange.t1	2025-04-20T03:02:12	9.9.3		14d3046a53
59051	225.9	439GB	0GB	0.3	NA	1.1	2	2	0	0	16.9	18.3	22	26	46	16955	304	0.0		0.3	0.0	NA	revrange.t1	2025-04-20T06:26:37	9.10.0		ae8fb3e500
58349	223.2	439GB	0GB	1.1	NA	3.8	11	6	0	0	17.1	18.3	22	30	48	11185	304	0.0		0.3	0.0	NA	revrange.t1	2025-04-20T09:52:03	9.11.2		461d7f4464
80891	309.4	439GB	0GB	0.5	NA	1.7	3	2	0	0	12.4	12.4	16	22	33	19901	304	0.0		0.3	0.0	NA	revrange.t1	2025-04-20T13:17:26	10.0.1		45f7473909
58428	223.5	439GB	0GB	0.2	NA	0.7	2	1	0	0	17.1	18.3	22	29	47	10718	304	0.0		0.3	0.0	NA	revrange.t1	2025-04-20T16:42:45	10.1.3		5823cf08d6
57416	219.6	439GB	0GB	0.2	NA	0.6	1	1	0	0	17.4	18.4	22	30	47	14745	304	0.0		0.3	0.0	NA	revrange.t1	2025-05-1T23:40:03	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
165437	66.3	483GB	0GB	676.0	9.5	570.6	5649	2583	0	0	145.1	36.5	2770	6003	9851	51590	1213	68.5		6.2	4.4	NA	overwritesome.t24.s0	2025-05-1T16:53:19	8.11.4		5c2be544f5
172018	68.9	483GB	0GB	648.8	9.2	569.3	5266	2416	0	0	139.5	36.9	2755	5987	9892	72616	1167	67.6		6.0	4.5	NA	overwritesome.t24.s0	2025-05-1T20:19:41	9.1.2		87d4df1f07
174166	69.8	483GB	0GB	656.0	9.3	582.9	5183	2379	0	0	137.8	40.5	2746	5766	9728	45897	1152	66.5		6.1	4.5	NA	overwritesome.t24.s0	2025-04-20T03:07:18	9.9.3		14d3046a53
170328	68.2	483GB	0GB	659.3	9.3	573.0	5373	2376	0	0	140.9	40.5	2748	5881	9886	72411	1178	66.4		6.2	4.6	NA	overwritesome.t24.s0	2025-04-20T06:31:42	9.10.0		ae8fb3e500
170222	68.2	483GB	0GB	661.8	9.4	574.8	5398	2367	0	0	141.0	40.2	2739	5879	9912	91347	1179	66.7		6.2	4.4	NA	overwritesome.t24.s0	2025-04-20T09:57:08	9.11.2		461d7f4464
173470	69.5	483GB	0GB	648.6	9.2	574.0	5282	2319	0	0	138.3	39.4	2747	5889	9900	70227	1157	66.6		6.2	4.3	NA	overwritesome.t24.s0	2025-04-20T13:22:31	10.0.1		45f7473909
172399	69.1	483GB	0GB	656.9	9.3	577.8	5293	2328	0	0	139.2	40.3	2741	5897	9880	72677	1164	66.2		6.3	4.4	NA	overwritesome.t24.s0	2025-04-20T16:47:51	10.1.3		5823cf08d6
171885	68.8	483GB	0GB	658.0	9.3	577.1	5396	2479	0	0	139.6	35.7	2748	5947	9893	77799	1168	67.6		6.1	4.3	NA	overwritesome.t24.s0	2025-05-1T23:45:08	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
58329	233.6	484GB	0GB	42.4	12.8	24.1	244	199	0	0	411.4	377.7	1276	4031	8335	62940	1805	0.0		8.7	2.4	NA	revrangewhilewriting.t24	2025-05-1T17:14:38	8.11.4		5c2be544f5
58514	234.4	484GB	0GB	41.6	12.6	23.6	234	191	0	0	410.1	377.0	1269	3958	8155	54864	1805	0.0		8.7	2.3	NA	revrangewhilewriting.t24	2025-05-1T20:40:13	9.1.2		87d4df1f07
58318	233.6	484GB	0GB	42.6	12.8	24.2	232	184	0	0	411.5	378.2	1274	3998	8284	53031	1805	0.0		8.7	2.4	NA	revrangewhilewriting.t24	2025-04-20T03:27:30	9.9.3		14d3046a53
58450	234.1	484GB	0GB	41.2	12.4	23.4	229	183	0	0	410.6	378.2	1264	3931	8198	54494	1805	0.0		8.8	2.4	NA	revrangewhilewriting.t24	2025-04-20T06:52:23	9.10.0		ae8fb3e500
58337	233.7	484GB	0GB	42.0	12.7	23.8	233	186	0	0	411.3	378.3	1271	3986	8319	58558	1805	0.0		8.8	2.4	NA	revrangewhilewriting.t24	2025-04-20T10:17:51	9.11.2		461d7f4464
58379	233.8	484GB	0GB	41.5	12.5	23.6	229	182	0	0	411.0	378.5	1268	3966	8257	51557	1805	0.0		8.9	2.4	NA	revrangewhilewriting.t24	2025-04-20T13:42:53	10.0.1		45f7473909
58518	234.4	484GB	0GB	41.2	12.4	23.4	226	180	0	0	410.1	377.4	1266	3964	8268	55762	1805	0.0		8.8	2.4	NA	revrangewhilewriting.t24	2025-04-20T17:08:16	10.1.3		5823cf08d6
