ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1153705	462.1	8GB	0GB	7.9	2.0	467.9	17	16	0	0	0.9	0.5	1	4	1180	9445	17	43.5		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-5T02:52:13	8.11.4		5c2be544f5
1142578	457.7	8GB	0GB	7.9	2.0	462.2	17	16	0	0	0.9	0.5	1	4	1178	5636	18	42.2		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-5T05:19:30	9.0.1		36540d4355
1085146	434.6	8GB	0GB	7.9	2.0	439.0	18	16	0	0	0.9	0.5	2	4	1191	6061	18	44.7		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-5T07:46:42	9.1.2		87d4df1f07
1151652	461.3	8GB	0GB	7.9	2.0	465.9	17	16	0	0	0.9	0.5	2	4	1177	5605	17	42.2		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-5T10:13:53	9.2.2		41214f0b4e
1074032	430.2	8GB	0GB	7.9	2.0	435.3	18	18	0	0	0.9	0.5	1	4	1194	9945	19	45.5		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-5T12:40:50	9.3.2		01393464ea
1078588	432.0	8GB	0GB	7.9	2.0	437.1	18	17	0	0	0.9	0.5	1	4	1197	9437	19	47.4		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-5T15:07:56	9.4.1		7dbbca6e33
1122153	449.5	8GB	0GB	7.9	2.0	454.0	17	17	0	0	0.9	0.5	1	4	1186	10057	18	44.5		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-5T17:35:01	9.5.2		a7e70f95aa
1152913	461.8	8GB	0GB	7.9	2.0	466.4	17	16	0	0	0.9	0.5	1	4	1176	9558	17	42.0		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-5T20:02:12	9.6.2		ccfb1998b1
1148219	459.9	8GB	0GB	7.9	2.0	466.3	17	16	0	0	0.9	0.5	1	4	1164	5599	17	38.0		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-5T22:29:18	9.7.4		3c27a3dde0
1146336	459.2	8GB	0GB	7.9	2.0	462.9	17	16	0	0	0.9	0.5	1	4	1174	10101	18	40.9		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-6T00:56:30	9.8.4		44e95d8af5
1087873	435.7	8GB	0GB	7.9	2.0	440.1	18	16	0	0	0.9	0.5	1	4	1191	5997	18	44.9		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-6T03:23:49	9.9.3		14d3046a53
1131430	453.2	8GB	0GB	7.9	2.0	457.7	17	17	0	0	0.9	0.5	1	4	1184	6071	18	44.0		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-6T05:50:17	9.10.0		ae8fb3e500
1136405	455.2	8GB	0GB	7.9	2.0	459.8	17	16	0	0	0.9	0.5	1	4	1178	5636	18	42.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-6T08:16:46	9.11.2		461d7f4464
1130606	452.9	8GB	0GB	7.9	2.0	456.5	17	16	0	0	0.9	0.5	2	4	1176	9343	18	41.1		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-6T10:43:14	10.0.1		45f7473909
1135939	455.0	8GB	0GB	7.9	2.0	458.7	17	16	0	0	0.9	0.5	1	4	1177	9944	18	41.7		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-6T13:09:38	10.1.3		5823cf08d6
1150186	460.7	8GB	0GB	7.9	2.0	464.4	17	16	0	0	0.9	0.5	1	4	1178	5949	17	42.4		0.0	0.0	NA	fillseq.wal_disabled.v400	2025-05-6T15:36:12	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
147184	563.0	8GB	0GB	0.0	NA	0.0	0	0	0	0	6.8	7.5	10	10	10	872	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T02:52:32	8.11.4		5c2be544f5
146184	559.2	8GB	0GB	0.0	NA	0.0	0	0	0	0	6.8	7.6	10	10	10	739	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T05:19:49	9.0.1		36540d4355
141546	541.5	8GB	0GB	0.0	NA	0.0	0	0	0	0	7.1	7.8	10	10	11	478	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T07:47:02	9.1.2		87d4df1f07
146515	560.4	8GB	0GB	0.0	NA	0.0	0	0	0	0	6.8	7.5	10	10	10	805	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T10:14:12	9.2.2		41214f0b4e
153333	586.6	8GB	0GB	0.0	NA	0.0	0	0	0	0	6.5	6.4	10	10	10	1029	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T12:41:11	9.3.2		01393464ea
151553	579.7	8GB	0GB	0.0	NA	0.0	0	0	0	0	6.6	6.8	10	10	10	1014	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T15:08:16	9.4.1		7dbbca6e33
151967	581.3	8GB	0GB	0.0	NA	0.0	0	0	0	0	6.6	6.7	10	10	10	813	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T17:35:21	9.5.2		a7e70f95aa
151305	578.8	8GB	0GB	0.0	NA	0.0	0	0	0	0	6.6	6.8	10	10	10	871	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T20:02:30	9.6.2		ccfb1998b1
136462	522.0	8GB	0GB	0.0	NA	0.0	0	0	0	0	7.3	7.9	10	10	14	1218	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T22:29:37	9.7.4		3c27a3dde0
133028	508.9	8GB	0GB	0.0	NA	0.0	0	0	0	0	7.5	7.9	10	11	15	997	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-6T00:56:49	9.8.4		44e95d8af5
146474	560.3	8GB	0GB	0.0	NA	0.0	0	0	0	0	6.8	7.5	10	10	10	693	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-6T03:24:09	9.9.3		14d3046a53
145934	558.2	8GB	0GB	0.0	NA	0.0	0	0	0	0	6.9	7.6	10	10	10	956	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-6T05:50:36	9.10.0		ae8fb3e500
