ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
912486	365.5	88GB	0GB	87.8	1.1	205.1	427	410	0	0	1.1	0.5	1	4	1227	9486	438	55.6		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-05-6T18:02:40	8.11.4		5c2be544f5
897647	359.5	88GB	0GB	87.8	1.1	201.7	435	416	0	0	1.1	0.5	1	4	1229	9912	446	55.9		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-6T20:44:32	9.0.1		36540d4355
886865	355.2	88GB	0GB	87.8	1.1	199.3	440	423	0	0	1.1	0.5	1	4	1230	10005	451	56.8		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-6T23:26:06	9.1.2		87d4df1f07
918454	367.9	88GB	0GB	87.8	1.1	206.4	425	407	0	0	1.1	0.5	1	4	1224	9653	436	53.5		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T02:07:52	9.2.2		41214f0b4e
903249	361.8	88GB	0GB	87.8	1.1	203.0	432	415	0	0	1.1	0.5	1	4	1227	9333	443	55.1		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T04:49:17	9.3.2		01393464ea
883165	353.7	88GB	0GB	87.8	1.1	198.5	442	425	0	0	1.1	0.5	1	4	1231	9849	453	57.0		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T07:30:42	9.4.1		7dbbca6e33
903670	362.0	88GB	0GB	87.8	1.1	203.1	432	415	0	0	1.1	0.5	1	4	1229	9996	443	56.8		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T10:12:26	9.5.2		a7e70f95aa
892719	357.6	88GB	0GB	87.8	1.1	200.7	437	420	0	0	1.1	0.5	1	4	1229	9907	448	56.3		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T12:54:04	9.6.2		ccfb1998b1
898515	359.9	88GB	0GB	87.8	1.1	202.0	435	418	0	0	1.1	0.5	1	4	1226	9345	445	54.2		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T15:35:42	9.7.4		3c27a3dde0
920191	368.6	88GB	0GB	87.8	1.1	206.8	424	406	0	0	1.1	0.5	1	4	1225	9118	435	54.5		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T18:17:09	9.8.4		44e95d8af5
893324	357.8	88GB	0GB	87.8	1.1	200.8	437	419	0	0	1.1	0.5	1	4	1228	9784	448	55.6		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T20:58:41	9.9.3		14d3046a53
