ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
888903	356.0	88GB	0GB	87.8	1.1	199.8	435	411	0	0	1.1	0.5	1	5	1240	9089	450	63.0	3369	0.5	0.1	NA	fillseq.wal_disabled.v400	2025-05-13T23:35:12	6.29.5		79f08d7ffa
875167	350.5	88GB	0GB	87.8	1.1	196.7	446	427	0	0	1.1	0.5	1	4	1234	6033	457	59.0	2986	0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-14T02:17:04	7.10.2		3258b5c3e2
904639	362.3	88GB	0GB	87.8	1.1	203.3	431	412	0	0	1.1	0.5	1	4	1228	9282	442	55.7		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-05-14T04:55:26	8.11.4		5c2be544f5
900189	360.6	88GB	0GB	87.8	1.1	202.3	433	415	0	0	1.1	0.5	1	4	1226	9486	444	53.6		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-14T07:37:12	9.0.1		36540d4355
904273	362.2	88GB	0GB	87.8	1.1	203.2	432	414	0	0	1.1	0.5	1	4	1228	9429	442	55.7		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-14T10:18:36	9.5.2		a7e70f95aa
891837	357.2	88GB	0GB	87.8	1.1	200.4	438	421	0	0	1.1	0.5	1	4	1229	9322	448	55.9		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-14T13:00:05	9.11.2		461d7f4464
898834	360.0	88GB	0GB	87.8	1.1	202.0	434	417	0	0	1.1	0.5	1	4	1227	10098	445	54.4		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-14T15:38:33	10.0.1		45f7473909
880901	352.8	88GB	0GB	87.8	1.1	198.0	440	416	0	0	1.1	0.5	1	4	1230	9905	454	55.8		0.6	0.1	NA	fillseq.wal_disabled.v400	2025-05-14T18:16:59	10.1.3		5823cf08d6
899830	360.4	88GB	0GB	87.8	1.1	202.2	431	406	0	0	1.1	0.5	1	4	1229	17037	444	56.2		0.5	0.1	NA	fillseq.wal_disabled.v400	2025-05-14T20:55:38	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
111340	425.9	88GB	0GB	0.1	NA	0.2	0	0	0	0	9.0	8.0	10	14	15	20766	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-05-13T23:42:44	6.29.5		79f08d7ffa
129382	494.9	88GB	0GB	0.1	NA	0.2	0	0	0	0	7.7	8.0	10	13	15	3154	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-05-14T02:24:43	7.10.2		3258b5c3e2
113891	435.7	88GB	0GB	0.1	NA	0.2	0	0	0	0	8.8	8.0	10	14	15	7030	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-14T05:02:50	8.11.4		5c2be544f5
112474	430.2	88GB	0GB	0.1	NA	0.2	0	0	0	0	8.9	8.0	10	14	15	1283	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-14T07:44:38	9.0.1		36540d4355
