ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
821364	329.0	88GB	0GB	87.8	1.1	184.6	474	398	0	0	1.2	0.5	1	5	1239	9229	487	60.0		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-8T12:50:58	8.11.4		5c2be544f5
894218	358.2	88GB	0GB	87.8	1.1	201.0	437	406	0	0	1.1	0.5	1	4	1229	9903	447	56.0		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-8T15:29:07	9.0.1		36540d4355
808159	323.7	88GB	0GB	87.8	1.1	181.6	481	410	0	0	1.2	0.5	1	5	1241	5993	495	60.6		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-8T18:06:37	9.1.2		87d4df1f07
852257	341.4	88GB	0GB	87.8	1.1	191.6	459	429	0	0	1.2	0.5	1	4	1235	6089	469	58.2		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-8T20:45:01	9.2.2		41214f0b4e
903185	361.8	88GB	0GB	87.8	1.1	203.0	432	404	0	0	1.1	0.5	1	4	1228	6036	443	56.3		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-8T23:22:57	9.3.2		01393464ea
885123	354.5	88GB	0GB	87.8	1.1	198.9	441	413	0	0	1.1	0.5	1	4	1231	10039	452	57.5		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-9T02:00:22	9.4.1		7dbbca6e33
905326	362.6	88GB	0GB	87.8	1.1	203.5	431	402	0	0	1.1	0.5	1	4	1228	8439	442	55.9		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-9T04:37:57	9.5.2		a7e70f95aa
887934	355.7	88GB	0GB	87.8	1.1	199.6	440	412	0	0	1.1	0.5	1	4	1229	9277	450	55.6		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-9T07:15:14	9.6.2		ccfb1998b1
903548	361.9	88GB	0GB	87.8	1.1	203.1	432	403	0	0	1.1	0.5	1	4	1226	9782	443	54.2		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-9T09:52:51	9.7.4		3c27a3dde0
907775	363.6	88GB	0GB	87.8	1.1	204.0	430	400	0	0	1.1	0.5	1	4	1227	5989	441	55.1		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-9T12:30:21	9.8.4		44e95d8af5
907122	363.3	88GB	0GB	87.8	1.1	203.9	430	402	0	0	1.1	0.5	1	4	1227	5880	441	55.2		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-9T15:07:41	9.9.3		14d3046a53
