ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
814823	326.4	88GB	0GB	87.8	1.1	183.1	476	403	0	0	1.2	0.5	1	6	1249	9572	491	66.5	3205	0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-14T23:34:13	6.29.5		79f08d7ffa
924962	370.5	88GB	0GB	87.8	1.1	207.9	422	394	0	0	1.1	0.5	1	4	1226	5974	432	55.9	2981	0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-15T02:18:43	7.10.2		3258b5c3e2
916335	367.0	88GB	0GB	87.8	1.1	205.9	426	397	0	0	1.1	0.5	1	4	1226	5828	436	55.2		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-15T04:56:17	8.11.4		5c2be544f5
903466	361.9	88GB	0GB	87.8	1.1	203.1	432	402	0	0	1.1	0.5	1	4	1228	10236	443	55.9		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-15T07:33:38	9.0.1		36540d4355
874123	350.1	88GB	0GB	87.8	1.1	196.5	447	417	0	0	1.1	0.5	1	5	1232	9494	458	57.5		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-15T10:11:07	9.5.2		a7e70f95aa
911166	365.0	88GB	0GB	87.8	1.1	204.8	428	395	0	0	1.1	0.5	1	4	1224	5975	439	52.7		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-15T12:48:52	9.11.2		461d7f4464
907946	363.7	88GB	0GB	87.8	1.1	204.1	430	401	0	0	1.1	0.5	1	4	1226	5938	441	54.3		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-15T15:26:16	10.0.1		45f7473909
899340	360.2	88GB	0GB	87.8	1.1	202.1	433	402	0	0	1.1	0.5	1	4	1225	5955	445	53.4		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-15T18:03:42	10.1.3		5823cf08d6
920051	368.5	88GB	0GB	87.8	1.1	206.8	424	395	0	0	1.1	0.5	1	4	1225	5859	435	54.6		0.6	0.0	NA	fillseq.wal_disabled.v400	2025-05-15T20:41:15	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
110940	424.4	88GB	0GB	0.1	NA	0.2	0	0	0	0	9.0	8.0	10	15	15	17606	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-05-14T23:42:27	6.29.5		79f08d7ffa
126935	485.6	88GB	0GB	0.1	NA	0.2	1	0	0	0	7.9	8.0	10	14	15	15480	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-05-15T02:25:59	7.10.2		3258b5c3e2
114994	439.9	88GB	0GB	0.1	NA	0.2	1	0	0	0	8.7	8.0	10	14	15	16450	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T05:03:37	8.11.4		5c2be544f5
112933	432.0	88GB	0GB	0.1	NA	0.2	1	0	0	0	8.9	8.0	10	14	15	23374	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T07:41:05	9.0.1		36540d4355
118484	453.2	88GB	0GB	0.1	NA	0.2	1	0	0	0	8.4	8.0	10	14	15	19131	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T10:18:48	9.5.2		a7e70f95aa
111541	426.6	88GB	0GB	0.1	NA	0.2	1	0	0	0	9.0	8.0	10	14	15	17042	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T12:56:15	9.11.2		461d7f4464
113575	434.5	88GB	0GB	0.1	NA	0.2	0	0	0	0	8.8	8.0	10	14	15	15938	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T15:33:41	10.0.1		45f7473909
112540	430.5	88GB	0GB	0.1	NA	0.2	1	0	0	0	8.9	8.0	10	14	15	15718	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T18:11:11	10.1.3		5823cf08d6
112495	430.3	88GB	0GB	0.1	NA	0.2	0	0	0	0	8.9	8.0	10	14	15	16939	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T20:48:33	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
248999	99.7	101GB	0GB	102.6	7.3	653.4	305	147	0	0	4.0	1.9	6	910	1270	665905	161	28.4	254	0.2	0.1	NA	overwritesome.t1.s0	2025-05-14T23:47:29	6.29.5		79f08d7ffa
302471	121.2	99GB	0GB	98.3	7.1	759.9	354	194	0	0	3.3	2.2	6	16	1190	44502	132	10.0	91	0.2	0.1	NA	overwritesome.t1.s0	2025-05-15T02:31:00	7.10.2		3258b5c3e2
290881	116.5	99GB	0GB	97.3	7.0	722.4	368	175	0	0	3.4	2.2	6	18	1211	1408683	138	12.1		0.2	0.1	NA	overwritesome.t1.s0	2025-05-15T05:08:39	8.11.4		5c2be544f5
290853	116.5	99GB	0GB	97.0	7.0	720.4	383	179	0	0	3.4	2.2	6	18	1213	1073188	138	12.0		0.2	0.1	NA	overwritesome.t1.s0	2025-05-15T07:46:06	9.0.1		36540d4355
306397	122.7	99GB	0GB	96.8	7.0	757.3	351	182	0	0	3.3	2.2	6	16	1166	31905	131	8.0		0.2	0.1	NA	overwritesome.t1.s0	2025-05-15T10:23:50	9.5.2		a7e70f95aa
292478	117.2	99GB	0GB	101.1	7.2	755.0	353	181	0	0	3.4	2.2	6	19	1214	40160	137	11.7		0.2	0.1	NA	overwritesome.t1.s0	2025-05-15T13:01:16	9.11.2		461d7f4464
