ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1191929	477.4	16GB	0GB	15.9	2.0	486.5	51	50	0	0	0.8	0.5	1	4	14	5942	34	0.0	0	0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-2T18:03:17	7.10.2		3258b5c3e2
1161290	465.1	16GB	0GB	15.9	2.0	474.0	50	49	0	0	0.9	0.5	2	4	14	10304	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-2T20:31:06	8.11.4		5c2be544f5
1139145	456.3	16GB	0GB	15.9	2.0	465.0	51	50	0	0	0.9	0.5	1	4	16	6098	35	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-2T22:58:13	9.0.1		36540d4355
1145492	458.8	16GB	0GB	15.9	2.0	467.6	51	50	0	0	0.9	0.5	2	4	17	9222	35	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-3T01:25:22	9.1.2		87d4df1f07
1182897	473.8	16GB	0GB	15.9	2.0	482.9	54	53	0	0	0.8	0.5	1	4	13	6665	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-3T03:52:10	9.2.2		41214f0b4e
1167815	467.8	16GB	0GB	15.9	2.0	476.7	52	51	0	0	0.9	0.5	1	4	16	5557	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-3T06:19:05	9.3.2		01393464ea
1181626	473.3	16GB	0GB	15.9	2.0	482.3	52	51	0	0	0.8	0.5	1	4	16	5965	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-3T08:46:05	9.4.1		7dbbca6e33
1176704	471.3	16GB	0GB	15.9	2.0	480.3	51	50	0	0	0.8	0.5	1	4	14	7061	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-3T11:13:17	9.5.2		a7e70f95aa
1162958	465.8	16GB	0GB	15.9	2.0	474.7	51	50	0	0	0.9	0.5	1	4	13	9619	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-3T13:40:18	9.6.2		ccfb1998b1
1171413	469.2	16GB	0GB	15.9	2.0	478.2	52	51	0	0	0.9	0.5	1	4	18	6099	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-3T16:07:29	9.7.4		3c27a3dde0
1115836	446.9	16GB	0GB	15.9	2.0	455.5	51	50	0	0	0.9	0.5	1	4	15	9276	36	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-3T18:34:31	9.8.4		44e95d8af5
1140582	456.9	16GB	0GB	15.9	2.0	465.6	52	51	0	0	0.9	0.5	1	4	20	5767	35	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-3T21:01:41	9.9.3		14d3046a53
1148872	460.2	16GB	0GB	15.9	2.0	469.0	51	50	0	0	0.9	0.5	1	4	18	6355	35	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-3T23:28:43	9.10.0		ae8fb3e500
1141794	457.3	16GB	0GB	15.9	2.0	466.1	51	51	0	0	0.9	0.5	1	4	17	5804	35	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-4T01:55:56	9.11.2		461d7f4464
1149811	460.5	16GB	0GB	15.9	2.0	469.4	51	50	0	0	0.9	0.5	1	4	12	9353	35	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-4T04:23:10	10.0.1		45f7473909
1176505	471.2	16GB	0GB	15.9	2.0	480.2	51	50	0	0	0.8	0.5	1	4	16	6753	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-4T06:50:17	10.1.3		5823cf08d6
1087257	435.5	16GB	0GB	15.9	2.0	443.8	51	50	0	0	0.9	0.5	1	4	15	9693	37	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-4T09:17:17	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
65940	252.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	15.2	13.7	22	22	22	1078	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-05-2T18:03:55	7.10.2		3258b5c3e2
58449	223.6	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.1	18.3	22	22	31	596	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-2T20:31:42	8.11.4		5c2be544f5
54950	210.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	18.2	18.4	22	24	33	608	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-2T22:58:49	9.0.1		36540d4355
58609	224.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.1	18.3	22	22	32	696	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-3T01:25:58	9.1.2		87d4df1f07
57319	219.3	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.4	18.3	22	22	32	632	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-3T03:52:45	9.2.2		41214f0b4e
57399	219.6	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.4	18.3	22	22	32	755	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-3T06:19:40	9.3.2		01393464ea
56745	217.1	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.6	18.3	22	22	32	707	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-3T08:46:40	9.4.1		7dbbca6e33
61733	236.1	16GB	0GB	0.0	NA	0.0	0	0	0	0	16.2	18.1	22	22	31	657	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-3T11:13:53	9.5.2		a7e70f95aa
61805	236.4	16GB	0GB	0.0	NA	0.0	0	0	0	0	16.2	18.1	22	22	31	568	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-3T13:40:54	9.6.2		ccfb1998b1
58080	222.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.2	18.3	22	29	34	655	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-3T16:08:04	9.7.4		3c27a3dde0
56896	217.6	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.6	18.3	22	22	32	686	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-3T18:35:08	9.8.4		44e95d8af5
58505	223.8	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.1	18.3	22	22	31	607	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-3T21:02:18	9.9.3		14d3046a53
58889	225.3	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.0	18.3	22	22	31	665	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-3T23:29:19	9.10.0		ae8fb3e500
58355	223.2	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.1	18.3	22	22	31	662	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-4T01:56:33	9.11.2		461d7f4464
57876	221.4	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.3	18.3	22	22	32	599	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-4T04:23:46	10.0.1		45f7473909
57386	219.5	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.4	18.3	22	22	32	558	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-4T06:50:52	10.1.3		5823cf08d6
58123	222.3	16GB	0GB	0.0	NA	0.0	0	0	0	0	17.2	18.3	22	22	31	589	300	0.0		0.3	0.0	NA	revrange.t1	2025-05-4T09:17:56	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
494219	198.0	18GB	0GB	4.8	4.0	602.8	15	14	0	0	32.0	30.8	51	104	920	8332	8	0.0	0	0.1	0.1	NA	overwritesome.t16.s0	2025-05-2T18:08:57	7.10.2		3258b5c3e2
475716	190.5	18GB	0GB	5.7	4.6	691.4	19	17	0	0	33.5	30.7	54	186	2000	21367	8	0.0		0.1	0.1	NA	overwritesome.t16.s0	2025-05-2T20:36:43	8.11.4		5c2be544f5
478354	191.6	18GB	0GB	5.4	4.4	654.4	17	16	0	0	33.3	30.4	51	280	2355	19625	8	1.3		0.1	0.1	NA	overwritesome.t16.s0	2025-05-2T23:03:51	9.0.1		36540d4355
482127	193.1	18GB	0GB	5.2	4.2	639.7	17	16	0	0	33.0	30.4	51	171	1916	19143	8	0.0		0.1	0.1	NA	overwritesome.t16.s0	2025-05-3T01:31:00	9.1.2		87d4df1f07
480219	192.3	18GB	0GB	5.2	4.2	630.0	16	15	0	0	33.3	31.2	51	173	956	7640	8	0.0		0.1	0.1	NA	overwritesome.t16.s0	2025-05-3T03:57:46	9.2.2		41214f0b4e
483235	193.6	18GB	0GB	5.0	4.1	609.5	16	15	0	0	33.1	30.6	51	156	840	18977	8	0.0		0.1	0.1	NA	overwritesome.t16.s0	2025-05-3T06:24:42	9.3.2		01393464ea
477303	191.2	18GB	0GB	4.9	4.0	597.5	16	15	0	0	33.3	31.0	51	142	853	15983	8	0.0		0.1	0.1	NA	overwritesome.t16.s0	2025-05-3T08:51:41	9.4.1		7dbbca6e33
467720	187.3	18GB	0GB	5.0	4.1	597.4	16	15	0	0	34.0	31.8	58	188	1192	19790	9	0.0		0.1	0.1	NA	overwritesome.t16.s0	2025-05-3T11:18:54	9.5.2		a7e70f95aa
478514	191.7	18GB	0GB	5.0	4.1	600.3	16	15	0	0	33.4	30.7	51	215	1371	14784	8	0.0		0.1	0.1	NA	overwritesome.t16.s0	2025-05-3T13:45:55	9.6.2		ccfb1998b1
477342	191.2	18GB	0GB	5.2	4.2	623.5	16	15	0	0	33.2	30.9	54	215	1600	12670	8	0.0		0.1	0.1	NA	overwritesome.t16.s0	2025-05-3T16:13:06	9.7.4		3c27a3dde0
472440	189.2	18GB	0GB	5.6	4.5	667.6	17	16	0	0	33.7	30.5	51	222	2635	8226	8	1.3		0.1	0.1	NA	overwritesome.t16.s0	2025-05-3T18:40:09	9.8.4		44e95d8af5
470653	188.5	18GB	0GB	5.4	4.4	640.4	16	16	0	0	33.8	31.4	52	108	864	10221	9	0.0		0.1	0.1	NA	overwritesome.t16.s0	2025-05-3T21:07:19	9.9.3		14d3046a53
462259	185.2	18GB	0GB	5.2	4.2	606.8	17	15	0	0	34.3	32.1	63	255	1615	21762	9	0.0		0.1	0.1	NA	overwritesome.t16.s0	2025-05-3T23:34:21	9.10.0		ae8fb3e500
