ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1197368	479.6	16GB	0GB	15.9	2.0	488.8	51	50	0	0	0.8	0.5	1	5	96	5989	33	0.0	0	0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-10T16:00:48	6.29.5		79f08d7ffa
1173232	469.9	16GB	0GB	15.9	2.0	478.9	52	51	0	0	0.9	0.5	1	4	11	6463	34	0.0	0	0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-10T18:29:02	7.10.2		3258b5c3e2
1173889	470.2	16GB	0GB	15.9	2.0	479.2	51	50	0	0	0.9	0.5	1	4	18	9777	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-10T20:56:41	8.11.4		5c2be544f5
1174523	470.4	16GB	0GB	15.9	2.0	479.4	51	50	0	0	0.9	0.5	1	4	15	5775	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-10T23:23:48	9.0.1		36540d4355
1165201	466.7	16GB	0GB	15.9	2.0	475.6	50	49	0	0	0.9	0.5	2	4	11	6708	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-11T01:50:54	9.1.2		87d4df1f07
1170273	468.7	16GB	0GB	15.9	2.0	477.7	52	51	0	0	0.9	0.5	1	4	18	6502	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-11T04:18:10	9.2.2		41214f0b4e
1174867	470.6	16GB	0GB	15.9	2.0	479.6	52	51	0	0	0.9	0.5	1	4	16	5977	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-11T06:45:17	9.3.2		01393464ea
1167224	467.5	16GB	0GB	15.9	2.0	476.5	52	51	0	0	0.9	0.5	1	4	18	10128	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-11T09:12:29	9.4.1		7dbbca6e33
1163271	465.9	16GB	0GB	15.9	2.0	474.9	51	50	0	0	0.9	0.5	1	4	18	5917	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-11T11:39:37	9.5.2		a7e70f95aa
1164507	466.4	16GB	0GB	15.9	2.0	475.4	52	51	0	0	0.9	0.5	1	4	11	9802	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-11T14:06:48	9.6.2		ccfb1998b1
1174499	470.4	16GB	0GB	15.9	2.0	479.4	52	51	0	0	0.9	0.5	1	4	15	9929	34	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-11T16:33:47	9.7.4		3c27a3dde0
1155496	462.8	16GB	0GB	15.9	2.0	471.7	53	52	0	0	0.9	0.5	1	4	10	6015	35	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-11T19:00:52	9.8.4		44e95d8af5
1131718	453.3	16GB	0GB	15.9	2.0	462.0	52	51	0	0	0.9	0.5	1	4	17	6560	35	0.0		0.1	0.0	NA	fillseq.wal_disabled.v400	2025-05-11T21:27:58	9.9.3		14d3046a53
