ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1033799	414.1	176GB	0GB	215.1	1.2	284.6	1806	1765	0	0	1.0	0.5	2	5	48	22498	774	6.3	1604	2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-4T14:43:10	7.10.2		3258b5c3e2
1050895	420.9	176GB	0GB	219.2	1.2	294.8	1837	1800	0	0	1.0	0.5	2	5	55	23321	761	6.9		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-4T17:29:46	8.11.4		5c2be544f5
1033824	414.1	176GB	0GB	233.8	1.3	309.4	1969	1932	0	0	1.0	0.5	2	5	76	16569	774	8.9		2.8	0.3	NA	fillseq.wal_disabled.v400	2025-05-4T20:18:18	9.0.1		36540d4355
1052496	421.6	176GB	0GB	216.5	1.2	291.7	1827	1793	0	0	0.9	0.5	2	5	54	20362	760	6.8		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-4T23:06:23	9.1.2		87d4df1f07
1063586	426.0	176GB	0GB	217.7	1.2	296.4	1852	1821	0	0	0.9	0.5	2	5	58	24459	752	7.6		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-5T01:54:26	9.2.2		41214f0b4e
1037004	415.4	176GB	0GB	232.9	1.3	309.1	1990	1957	0	0	1.0	0.5	2	5	76	19392	772	9.0		2.8	0.3	NA	fillseq.wal_disabled.v400	2025-05-5T04:42:23	9.3.2		01393464ea
1043956	418.1	176GB	0GB	231.1	1.3	308.9	1975	1942	0	0	1.0	0.5	2	5	69	22045	766	8.7		2.8	0.3	NA	fillseq.wal_disabled.v400	2025-05-5T07:30:55	9.4.1		7dbbca6e33
1038813	416.1	176GB	0GB	235.4	1.3	313.0	1992	1957	0	0	1.0	0.5	2	5	82	20832	770	9.4		2.8	0.3	NA	fillseq.wal_disabled.v400	2025-05-5T10:19:13	9.5.2		a7e70f95aa
1030334	412.7	176GB	0GB	230.8	1.3	304.4	1955	1920	0	0	1.0	0.5	2	5	74	17829	776	8.4		2.8	0.3	NA	fillseq.wal_disabled.v400	2025-05-5T13:07:55	9.6.2		ccfb1998b1
1036261	415.1	176GB	0GB	232.4	1.3	308.2	1978	1944	0	0	1.0	0.5	2	5	78	17165	772	8.8		2.8	0.3	NA	fillseq.wal_disabled.v400	2025-05-5T15:56:31	9.7.4		3c27a3dde0
1029772	412.5	176GB	0GB	228.3	1.2	300.9	1929	1892	0	0	1.0	0.5	2	5	65	22335	777	7.8		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-5T18:44:54	9.8.4		44e95d8af5
1043590	418.0	176GB	0GB	224.5	1.2	299.9	1893	1869	0	0	1.0	0.5	2	5	61	20535	767	7.7		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-5T21:33:13	9.9.3		14d3046a53
1048714	420.1	176GB	0GB	213.1	1.2	286.1	1799	1774	0	0	1.0	0.5	2	5	50	22215	763	6.1		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-6T00:19:31	9.10.0		ae8fb3e500
1038244	415.9	176GB	0GB	215.4	1.2	286.2	1819	1792	0	0	1.0	0.5	2	5	51	21161	770	6.3		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-6T03:05:49	9.11.2		461d7f4464
1028880	412.1	176GB	0GB	216.5	1.2	285.1	1823	1797	0	0	1.0	0.5	2	5	52	22103	778	6.4		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-6T05:52:11	10.0.1		45f7473909
1027966	411.7	176GB	0GB	222.7	1.2	293.0	1869	1843	0	0	1.0	0.5	2	5	61	23626	778	7.4		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-6T08:38:49	10.1.3		5823cf08d6
1019429	408.3	176GB	0GB	220.5	1.2	287.8	1856	1828	0	0	1.0	0.5	1	5	57	25628	785	6.8		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-6T11:25:14	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
78293	299.5	176GB	0GB	2.2	NA	7.4	10	10	0	0	12.8	12.4	15	43	50	8490	301	0.0	0	0.3	0.0	NA	revrange.t1	2025-05-4T14:56:10	7.10.2		3258b5c3e2
74116	283.5	176GB	0GB	0.6	NA	2.1	5	4	0	0	13.5	12.5	17	22	36	10872	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-4T17:42:30	8.11.4		5c2be544f5
77355	295.9	176GB	0GB	0.7	NA	2.5	5	5	0	0	12.9	12.4	15	21	48	26871	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-4T20:31:14	9.0.1		36540d4355
78896	301.8	176GB	0GB	0.7	NA	2.2	5	4	0	0	12.7	12.4	15	21	47	2825	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-4T23:19:06	9.1.2		87d4df1f07
66845	255.7	176GB	0GB	2.1	NA	7.2	11	10	0	0	15.0	13.1	22	44	50	18009	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T02:07:01	9.2.2		41214f0b4e
72551	277.5	176GB	0GB	2.0	NA	6.9	10	9	0	0	13.8	12.5	19	32	48	18284	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T04:55:17	9.3.2		01393464ea
73579	281.4	176GB	0GB	2.0	NA	6.7	9	9	0	0	13.6	12.5	19	31	48	79738	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T07:43:45	9.4.1		7dbbca6e33
71219	272.4	176GB	0GB	2.0	NA	6.9	9	9	0	0	14.0	12.5	19	31	47	20067	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T10:32:05	9.5.2		a7e70f95aa
72755	278.3	176GB	0GB	2.2	NA	7.5	11	10	0	0	13.7	12.5	19	42	50	14887	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T13:20:54	9.6.2		ccfb1998b1
73716	282.0	176GB	0GB	0.8	NA	2.6	5	5	0	0	13.6	12.5	18	22	48	10248	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T16:09:26	9.7.4		3c27a3dde0
74363	284.5	176GB	0GB	0.7	NA	2.4	4	4	0	0	13.4	12.4	17	22	48	26799	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T18:57:54	9.8.4		44e95d8af5
68137	260.6	176GB	0GB	1.8	NA	6.1	8	8	0	0	14.7	12.7	21	32	48	5161	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-5T21:46:02	9.9.3		14d3046a53
69204	264.7	176GB	0GB	2.2	NA	7.3	11	11	0	0	14.4	12.6	21	32	49	95974	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-6T00:32:17	9.10.0		ae8fb3e500
78391	299.9	176GB	0GB	0.7	NA	2.5	5	5	0	0	12.8	12.4	15	21	48	3599	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-6T03:18:42	9.11.2		461d7f4464
52151	199.5	176GB	0GB	0.7	NA	2.3	5	5	0	0	19.2	18.5	22	32	34	10550	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-6T06:05:11	10.0.1		45f7473909
77406	296.1	176GB	0GB	0.6	NA	2.0	4	4	0	0	12.9	12.4	15	22	47	8920	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-6T08:51:50	10.1.3		5823cf08d6
69065	264.2	176GB	0GB	1.8	NA	6.1	8	8	0	0	14.5	12.6	21	32	49	8813	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-6T11:38:21	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
279564	112.0	194GB	0GB	226.3	8.1	808.7	1125	1029	0	0	57.2	32.8	923	2858	6279	30360	286	29.1	520	2.4	1.5	NA	overwritesome.t16.s0	2025-05-4T15:01:12	7.10.2		3258b5c3e2
274662	110.0	194GB	0GB	228.9	8.2	803.7	1134	1037	0	0	58.2	33.0	945	2858	6151	24406	292	29.2		2.4	1.6	NA	overwritesome.t16.s0	2025-05-4T17:47:32	8.11.4		5c2be544f5
278560	111.6	195GB	0GB	226.4	8.2	806.3	1244	1086	0	0	57.4	35.7	530	2798	5422	27236	288	25.1		2.5	1.7	NA	overwritesome.t16.s0	2025-05-4T20:36:16	9.0.1		36540d4355
263357	105.5	194GB	0GB	228.7	8.2	770.0	1122	1029	0	0	60.7	32.6	1090	2879	6279	23283	304	33.3		2.4	1.6	NA	overwritesome.t16.s0	2025-05-4T23:24:08	9.1.2		87d4df1f07
270742	108.4	194GB	0GB	231.3	8.3	800.4	1148	1048	0	0	59.1	33.2	1019	2869	6306	28926	296	31.3		2.3	1.7	NA	overwritesome.t16.s0	2025-05-5T02:12:03	9.2.2		41214f0b4e
273142	109.4	194GB	0GB	225.0	8.1	785.9	1176	1078	0	0	58.6	36.5	590	2823	5606	30401	293	25.9		2.4	1.8	NA	overwritesome.t16.s0	2025-05-5T05:00:19	9.3.2		01393464ea
