ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
694845	278.3	176GB	0GB	175.7	1.1	156.2	1479	1449	0	0	1.4	0.5	2	6	1882	21937	1151	0.0	0	2.8	0.2	NA	fillseq.wal_disabled.v400	2025-05-12T12:10:30	6.29.5		79f08d7ffa
1034439	414.3	176GB	0GB	214.6	1.2	284.1	1798	1762	0	0	1.0	0.5	2	5	50	21244	773	6.4	1632	2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-12T15:09:21	7.10.2		3258b5c3e2
1039548	416.4	176GB	0GB	230.1	1.2	306.2	1930	1893	0	0	1.0	0.5	2	5	68	18579	770	8.6		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-12T17:56:04	8.11.4		5c2be544f5
968164	387.8	176GB	0GB	214.0	1.2	265.2	1814	1778	0	0	1.0	0.5	2	5	49	23602	826	5.4		2.8	0.3	NA	fillseq.wal_disabled.v400	2025-05-12T20:44:32	9.0.1		36540d4355
1025718	410.8	176GB	0GB	234.3	1.3	307.7	1973	1937	0	0	1.0	0.5	2	5	81	19907	780	9.3		2.8	0.3	NA	fillseq.wal_disabled.v400	2025-05-12T23:33:55	9.1.2		87d4df1f07
1053476	422.0	176GB	0GB	222.7	1.2	300.4	1896	1865	0	0	0.9	0.5	1	4	63	23306	759	8.4		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-13T02:22:03	9.2.2		41214f0b4e
1048248	419.9	176GB	0GB	224.8	1.2	301.7	1922	1889	0	0	1.0	0.5	2	5	62	22751	763	7.9		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-13T05:09:44	9.3.2		01393464ea
1057695	423.7	176GB	0GB	221.7	1.2	300.1	1889	1857	0	0	0.9	0.5	1	5	63	22848	756	8.2		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-13T07:57:45	9.4.1		7dbbca6e33
1040595	416.8	176GB	0GB	236.2	1.3	314.6	2005	1972	0	0	1.0	0.5	2	5	77	17886	769	9.6		2.8	0.3	NA	fillseq.wal_disabled.v400	2025-05-13T10:45:42	9.5.2		a7e70f95aa
1041014	417.0	176GB	0GB	226.2	1.2	301.4	1908	1872	0	0	1.0	0.5	2	5	63	22185	768	7.8		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-13T13:33:34	9.6.2		ccfb1998b1
1057703	423.7	176GB	0GB	219.3	1.2	296.9	1861	1829	0	0	0.9	0.5	2	5	58	26314	756	7.4		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-13T16:21:48	9.7.4		3c27a3dde0
1041917	417.3	176GB	0GB	223.1	1.2	297.6	1883	1847	0	0	1.0	0.5	2	5	59	24237	768	7.5		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-13T19:09:30	9.8.4		44e95d8af5
1036525	415.2	176GB	0GB	224.1	1.2	297.3	1894	1868	0	0	1.0	0.5	2	5	60	21173	772	7.5		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-13T21:57:31	9.9.3		14d3046a53
1038332	415.9	176GB	0GB	221.4	1.2	294.2	1867	1842	0	0	1.0	0.5	2	5	58	23234	770	7.2		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-14T00:43:37	9.10.0		ae8fb3e500
1024574	410.4	176GB	0GB	224.0	1.2	293.8	1888	1860	0	0	1.0	0.5	2	5	60	17626	781	7.4		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-14T03:29:53	9.11.2		461d7f4464
1043600	418.0	176GB	0GB	214.3	1.2	286.3	1801	1776	0	0	1.0	0.5	2	5	51	18592	767	6.4		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-14T06:16:50	10.0.1		45f7473909
1021821	409.3	176GB	0GB	214.3	1.2	280.3	1807	1780	0	0	1.0	0.5	2	5	50	18949	783	6.2		2.7	0.3	NA	fillseq.wal_disabled.v400	2025-05-14T09:03:11	10.1.3		5823cf08d6
961161	385.0	176GB	0GB	229.4	1.2	282.2	1916	1891	0	0	1.0	0.5	2	5	71	20064	832	7.1		2.8	0.3	NA	fillseq.wal_disabled.v400	2025-05-14T11:50:06	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
52975	202.6	176GB	0GB	0.0	NA	0.1	0	0	0	0	18.9	18.5	22	30	34	8016	301	0.0	0	0.3	0.0	NA	revrange.t1	2025-05-12T12:29:43	6.29.5		79f08d7ffa
84848	324.6	176GB	0GB	0.7	NA	2.2	5	4	0	0	11.8	12.3	15	19	46	24791	301	0.0	0	0.3	0.0	NA	revrange.t1	2025-05-12T15:22:17	7.10.2		3258b5c3e2
68069	260.4	176GB	0GB	1.9	NA	6.6	9	9	0	0	14.7	12.7	21	33	49	101200	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-12T18:08:57	8.11.4		5c2be544f5
74074	283.3	176GB	0GB	0.6	NA	2.1	4	4	0	0	13.5	12.5	17	22	48	9774	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-12T20:58:21	9.0.1		36540d4355
76196	291.5	176GB	0GB	0.8	NA	2.8	6	6	0	0	13.1	12.4	17	22	44	9578	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-12T23:46:58	9.1.2		87d4df1f07
76759	293.6	176GB	0GB	0.9	NA	2.9	7	7	0	0	13.0	12.4	17	22	34	10894	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-13T02:34:46	9.2.2		41214f0b4e
69750	266.8	176GB	0GB	2.0	NA	6.7	10	10	0	0	14.3	12.6	20	33	49	9170	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-13T05:22:30	9.3.2		01393464ea
64331	246.1	176GB	0GB	2.0	NA	6.9	11	10	0	0	15.5	15.8	22	35	50	9573	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-13T08:10:24	9.4.1		7dbbca6e33
77887	297.9	176GB	0GB	0.6	NA	1.9	4	4	0	0	12.8	12.4	15	22	45	8591	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-13T10:58:33	9.5.2		a7e70f95aa
52244	199.8	176GB	0GB	0.7	NA	2.3	5	5	0	0	19.1	18.5	22	33	34	10853	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-13T13:46:25	9.6.2		ccfb1998b1
74343	284.4	176GB	0GB	0.6	NA	1.9	4	4	0	0	13.5	12.5	16	22	47	21491	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-13T16:34:27	9.7.4		3c27a3dde0
72684	278.0	176GB	0GB	0.6	NA	2.1	4	4	0	0	13.8	12.5	18	22	48	27208	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-13T19:22:20	9.8.4		44e95d8af5
74242	284.0	176GB	0GB	0.7	NA	2.4	5	5	0	0	13.5	12.5	17	22	49	30307	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-13T22:10:25	9.9.3		14d3046a53
67049	256.5	176GB	0GB	1.9	NA	6.6	10	10	0	0	14.9	13.0	22	33	49	9449	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-14T00:56:30	9.10.0		ae8fb3e500
76091	291.1	176GB	0GB	0.6	NA	2.1	4	4	0	0	13.1	12.4	15	22	47	22822	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-14T03:42:57	9.11.2		461d7f4464
49932	191.0	176GB	0GB	0.8	NA	2.6	6	6	0	0	20.0	18.6	29	34	34	11670	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-14T06:29:39	10.0.1		45f7473909
65955	252.3	176GB	0GB	1.8	NA	6.1	8	8	0	0	15.2	13.5	22	32	49	25233	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-14T09:16:16	10.1.3		5823cf08d6
74266	284.1	176GB	0GB	0.7	NA	2.3	5	5	0	0	13.5	12.5	17	22	47	23457	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-14T12:04:02	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
211385	84.7	198GB	0GB	250.2	8.9	676.2	986	907	0	0	75.6	33.0	1979	4759	13510	26407	379	36.9	608	2.2	1.7	NA	overwritesome.t16.s0	2025-05-12T12:34:45	6.29.5		79f08d7ffa
276080	110.6	195GB	0GB	224.6	8.1	792.7	1133	1051	0	0	57.9	33.0	912	2851	6232	25748	290	29.2	447	2.4	1.5	NA	overwritesome.t16.s0	2025-05-12T15:27:19	7.10.2		3258b5c3e2
