ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1081774	433.3	176GB	0GB	230.8	1.3	319.6	1941	1860	0	0	0.9	0.5	2	5	55	14338	740	7.1	1929	2.8	0.1	NA	fillseq.wal_disabled.v400	2025-05-6T17:13:11	7.10.2		3258b5c3e2
1040833	416.9	176GB	0GB	224.0	1.2	298.4	1912	1833	0	0	1.0	0.5	2	5	53	23881	769	6.2		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-6T19:59:14	8.11.4		5c2be544f5
1058396	423.9	176GB	0GB	211.3	1.2	286.3	1827	1751	0	0	0.9	0.5	2	5	34	22680	756	4.9		2.8	0.1	NA	fillseq.wal_disabled.v400	2025-05-6T22:45:15	9.0.1		36540d4355
1073553	430.0	176GB	0GB	220.3	1.2	302.7	1884	1802	0	0	0.9	0.5	2	5	47	23125	745	5.8		2.8	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T01:31:02	9.1.2		87d4df1f07
1089148	436.3	176GB	0GB	217.6	1.2	303.3	1895	1815	0	0	0.9	0.5	1	5	39	27026	734	5.7		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T04:16:57	9.2.2		41214f0b4e
1073209	429.9	176GB	0GB	224.0	1.2	307.7	1938	1855	0	0	0.9	0.5	2	5	52	23819	745	6.3		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T07:02:39	9.3.2		01393464ea
1076012	431.0	176GB	0GB	215.7	1.2	297.0	1902	1842	0	0	0.9	0.5	2	5	42	26620	744	5.5		2.8	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T09:48:15	9.4.1		7dbbca6e33
1066905	427.3	176GB	0GB	223.6	1.2	305.4	1943	1877	0	0	0.9	0.5	2	5	53	18758	750	6.3		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T12:33:46	9.5.2		a7e70f95aa
1052806	421.7	176GB	0GB	218.3	1.2	294.2	1902	1839	0	0	0.9	0.5	2	5	46	19425	760	5.7		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T15:19:44	9.6.2		ccfb1998b1
1046698	419.2	176GB	0GB	226.2	1.2	303.1	1958	1890	0	0	1.0	0.5	2	5	58	24188	764	6.4		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T18:05:38	9.7.4		3c27a3dde0
1060519	424.8	176GB	0GB	219.3	1.2	297.7	1896	1831	0	0	0.9	0.5	2	5	46	25769	754	5.6		2.8	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T20:51:12	9.8.4		44e95d8af5
1050844	420.9	176GB	0GB	225.1	1.2	302.8	1960	1893	0	0	1.0	0.5	2	5	54	21055	761	6.2		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-7T23:36:59	9.9.3		14d3046a53
1049301	420.3	176GB	0GB	219.6	1.2	295.0	1908	1845	0	0	1.0	0.5	2	5	50	23371	762	5.9		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-8T02:22:56	9.10.0		ae8fb3e500
1042598	417.6	176GB	0GB	213.1	1.2	284.4	1874	1813	0	0	1.0	0.5	2	5	44	25528	767	4.9		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-8T05:08:58	9.11.2		461d7f4464
1031799	413.3	176GB	0GB	222.7	1.2	294.1	1913	1848	0	0	1.0	0.5	2	5	52	24692	775	5.8		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-8T07:55:17	10.0.1		45f7473909
1060964	425.0	176GB	0GB	222.5	1.2	302.2	1900	1822	0	0	0.9	0.5	2	5	51	20392	754	6.0		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-8T10:41:28	10.1.3		5823cf08d6
1019742	408.5	176GB	0GB	202.5	1.2	264.3	1760	1693	0	0	1.0	0.5	2	5	30	25565	784	3.5		2.8	0.1	NA	fillseq.wal_disabled.v400	2025-05-8T13:27:10	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
77284	295.6	176GB	0GB	2.1	NA	7.1	10	8	0	0	12.9	12.4	15	35	50	6792	300	0.0	0	0.3	0.0	NA	revrange.t1	2025-05-6T17:25:41	7.10.2		3258b5c3e2
70096	268.1	176GB	0GB	2.0	NA	6.8	8	7	0	0	14.3	12.6	20	31	46	7758	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-6T20:12:10	8.11.4		5c2be544f5
67142	256.9	176GB	0GB	1.6	NA	5.5	7	6	0	0	14.9	13.0	22	30	45	7740	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-6T22:57:58	9.0.1		36540d4355
69618	266.3	176GB	0GB	2.1	NA	7.3	10	8	0	0	14.4	12.6	20	42	50	9311	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-7T01:43:35	9.1.2		87d4df1f07
67776	259.2	176GB	0GB	2.1	NA	7.2	10	8	0	0	14.8	12.8	21	42	50	6893	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-7T04:29:18	9.2.2		41214f0b4e
70174	268.4	176GB	0GB	2.1	NA	7.0	10	8	0	0	14.2	12.5	20	32	48	18614	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-7T07:15:12	9.3.2		01393464ea
70893	271.2	176GB	0GB	2.1	NA	7.1	10	8	0	0	14.1	12.5	19	31	47	9764	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-7T10:00:45	9.4.1		7dbbca6e33
70855	271.1	176GB	0GB	1.9	NA	6.4	8	7	0	0	14.1	12.5	19	31	48	5541	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-7T12:46:22	9.5.2		a7e70f95aa
67270	257.3	176GB	0GB	1.7	NA	5.9	7	6	0	0	14.9	13.1	22	31	47	5893	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-7T15:32:31	9.6.2		ccfb1998b1
66988	256.2	176GB	0GB	1.9	NA	6.5	9	7	0	0	14.9	13.0	22	31	47	12505	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-7T18:18:30	9.7.4		3c27a3dde0
77814	297.7	176GB	0GB	0.7	NA	2.3	4	4	0	0	12.9	12.4	15	21	47	4937	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-7T21:03:53	9.8.4		44e95d8af5
68946	263.8	176GB	0GB	2.0	NA	6.8	9	7	0	0	14.5	12.6	21	31	48	12974	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-7T23:49:47	9.9.3		14d3046a53
51647	197.6	176GB	0GB	0.7	NA	2.5	5	5	0	0	19.4	18.5	22	33	34	4811	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-8T02:35:45	9.10.0		ae8fb3e500
69746	266.8	176GB	0GB	2.1	NA	7.1	10	8	0	0	14.3	12.6	20	43	50	9540	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-8T05:21:52	9.11.2		461d7f4464
