ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
687713	275.5	176GB	0GB	175.7	1.1	154.7	1544	1486	0	0	1.5	0.5	2	6	1933	22790	1163	0.1	13	3.0	0.1	NA	fillseq.wal_disabled.v400	2025-05-14T14:37:50	6.29.5		79f08d7ffa
1055966	423.0	176GB	0GB	220.8	1.2	298.4	1846	1774	0	0	0.9	0.5	2	5	46	15517	758	5.7	1512	2.8	0.1	NA	fillseq.wal_disabled.v400	2025-05-14T17:36:36	7.10.2		3258b5c3e2
1048226	419.9	176GB	0GB	223.0	1.2	299.2	1932	1864	0	0	1.0	0.5	2	5	56	25236	763	6.3		2.8	0.2	NA	fillseq.wal_disabled.v400	2025-05-14T20:23:09	8.11.4		5c2be544f5
1049510	420.4	176GB	0GB	228.9	1.2	307.5	1986	1916	0	0	1.0	0.5	2	5	62	22683	762	7.0		2.9	0.2	NA	fillseq.wal_disabled.v400	2025-05-14T23:09:22	9.0.1		36540d4355
1073031	429.8	176GB	0GB	201.6	1.2	276.9	1782	1719	0	0	0.9	0.5	2	5	31	28298	746	4.1		2.8	0.1	NA	fillseq.wal_disabled.v400	2025-05-15T01:55:21	9.1.2		87d4df1f07
1054561	422.4	176GB	0GB	221.6	1.2	299.1	1902	1829	0	0	0.9	0.5	2	5	52	21401	759	6.2		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-15T04:41:18	9.2.2		41214f0b4e
1065918	426.9	176GB	0GB	220.9	1.2	301.4	1902	1822	0	0	0.9	0.5	2	5	53	23826	750	6.3		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-15T07:27:03	9.3.2		01393464ea
1075617	430.8	176GB	0GB	215.7	1.2	296.9	1847	1768	0	0	0.9	0.5	2	5	43	23762	744	5.7		2.8	0.1	NA	fillseq.wal_disabled.v400	2025-05-15T10:13:04	9.4.1		7dbbca6e33
1065031	426.6	176GB	0GB	220.3	1.2	300.4	1927	1847	0	0	0.9	0.5	2	5	53	22791	751	6.3		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-15T12:58:45	9.5.2		a7e70f95aa
1065958	427.0	176GB	0GB	214.5	1.2	292.7	1833	1755	0	0	0.9	0.5	2	5	35	26041	750	5.4		2.8	0.1	NA	fillseq.wal_disabled.v400	2025-05-15T15:44:31	9.6.2		ccfb1998b1
1065014	426.6	176GB	0GB	229.1	1.2	312.3	1949	1867	0	0	0.9	0.5	2	5	55	21364	751	6.8		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-15T18:30:13	9.7.4		3c27a3dde0
1058171	423.8	176GB	0GB	224.5	1.2	304.1	1897	1818	0	0	0.9	0.5	2	5	53	23196	756	6.3		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-15T21:16:05	9.8.4		44e95d8af5
1024855	410.5	176GB	0GB	225.4	1.2	295.7	1913	1833	0	0	1.0	0.5	2	5	57	20562	781	6.4		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-16T00:02:01	9.9.3		14d3046a53
1052500	421.6	176GB	0GB	210.2	1.2	283.2	1821	1745	0	0	0.9	0.5	2	5	41	24441	760	4.9		2.8	0.1	NA	fillseq.wal_disabled.v400	2025-05-16T02:47:58	9.10.0		ae8fb3e500
1040880	416.9	176GB	0GB	221.8	1.2	295.5	1911	1829	0	0	1.0	0.5	2	5	53	21113	769	6.0		2.9	0.1	NA	fillseq.wal_disabled.v400	2025-05-16T05:34:07	9.11.2		461d7f4464
1031797	413.3	176GB	0GB	224.6	1.2	296.6	1960	1878	0	0	1.0	0.5	2	5	56	21659	775	6.5		2.9	0.2	NA	fillseq.wal_disabled.v400	2025-05-16T08:20:24	10.0.1		45f7473909
1050488	420.8	176GB	0GB	226.5	1.2	304.5	1967	1884	0	0	1.0	0.5	2	5	61	19828	762	7.0		2.9	0.2	NA	fillseq.wal_disabled.v400	2025-05-16T11:06:18	10.1.3		5823cf08d6
1031585	413.2	176GB	0GB	216.7	1.2	286.1	1898	1820	0	0	1.0	0.5	2	5	47	22563	776	5.5		2.9	0.2	NA	fillseq.wal_disabled.v400	2025-05-16T13:52:33	10.2.1		4b2122578e

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
52582	201.2	176GB	0GB	0.0	NA	0.1	0	0	0	0	19.0	18.5	22	27	33	2595	301	0.0	0	0.3	0.0	NA	revrange.t1	2025-05-14T14:57:20	6.29.5		79f08d7ffa
75388	288.4	176GB	0GB	2.0	NA	6.8	9	7	0	0	13.3	12.5	17	31	47	5930	301	0.0	0	0.3	0.0	NA	revrange.t1	2025-05-14T17:49:21	7.10.2		3258b5c3e2
77291	295.7	176GB	0GB	0.5	NA	1.9	4	3	0	0	12.9	12.4	15	22	45	6215	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-14T20:35:59	8.11.4		5c2be544f5
49194	188.2	176GB	0GB	0.7	NA	2.4	5	5	0	0	20.3	18.6	30	34	34	4063	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-14T23:22:11	9.0.1		36540d4355
67414	257.9	176GB	0GB	1.9	NA	6.4	9	7	0	0	14.8	12.8	22	31	48	6531	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T02:07:53	9.1.2		87d4df1f07
65563	250.8	176GB	0GB	1.8	NA	6.1	7	6	0	0	15.3	13.9	22	31	47	9848	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T04:54:04	9.2.2		41214f0b4e
77622	296.9	176GB	0GB	0.7	NA	2.2	4	4	0	0	12.9	12.4	15	22	47	15785	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T07:39:40	9.3.2		01393464ea
69129	264.4	176GB	0GB	1.8	NA	6.0	8	7	0	0	14.5	12.6	21	30	46	8630	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T10:25:35	9.4.1		7dbbca6e33
77398	296.1	176GB	0GB	0.7	NA	2.2	4	4	0	0	12.9	12.4	15	22	47	12345	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T13:11:23	9.5.2		a7e70f95aa
78820	301.5	176GB	0GB	0.7	NA	2.4	4	4	0	0	12.7	12.4	15	21	46	9684	301	0.0		0.3	0.0	NA	revrange.t1	2025-05-15T15:57:09	9.6.2		ccfb1998b1
