col-1 : x.pg140_o2nofp.x10a_c8r32.pk1
col-2 : x.pg1418_o2nofp.x10a_c8r32.pk1
col-3 : x.pg150_o2nofp.x10a_c8r32.pk1
col-4 : x.pg1513_o2nofp.x10a_c8r32.pk1
col-5 : x.pg160_o2nofp.x10a_c8r32.pk1
col-6 : x.pg169_o2nofp.x10a_c8r32.pk1
col-7 : x.pg170_o2nofp.x10a_c8r32.pk1
col-8 : x.pg175_o2nofp.x10a_c8r32.pk1
col-9 : x.pg18beta1_o2nofp.x10b_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	col-9
4921	4937	5047	5082	5045	5056	9754	9540	9605	hot-points_range=100
25666	26676	26505	26074	26501	26616	26994	26753	26995	point-query_range=100
2516	2521	2556	2560	2591	2562	2511	2548	2545	points-covered-pk_range=100
2578	2555	2554	2580	2599	2548	2559	2552	2518	points-covered-si_range=100
2025	2032	2033	2023	2065	2051	2014	2011	2008	points-notcovered-pk_range=100
2027	2004	2005	2013	2016	2010	2001	1981	1999	points-notcovered-si_range=100
227	224	229	226	231	232	224	224	223	random-points_range=1000
2061	2053	2065	2055	2087	2073	2046	2016	2069	random-points_range=100
12230	12391	12513	12346	12571	12582	12473	12209	12348	random-points_range=10
12004	11761	11740	11435	11690	11666	11742	11722	11448	range-covered-pk_range=100
10988	10628	10707	10564	10763	10633	10713	10617	10415	range-covered-si_range=100
7815	7906	7818	7794	7684	7663	7695	7637	7569	range-notcovered-pk_range=100
5137	5073	5078	5052	5064	5041	5113	4986	4943	range-notcovered-si_range=100
2547	2521	2490	2527	2555	2483	2444	2436	2525	read-only-count_range=1000
6337	6380	6504	6493	6499	6487	6383	6483	6272	read-only-distinct_range=1000
6608	6614	6797	6830	6840	6788	6939	7003	6994	read-only-order_range=1000
335	335	344	344	351	350	348	350	349	read-only_range=10000
15335	15379	15366	15350	15458	15453	15497	15473	15416	read-only_range=100
21973	22081	22191	22022	22028	22010	22125	22119	22057	read-only_range=10
12817	12898	12836	12922	12832	12805	12847	12790	12861	read-only-simple_range=1000
16254	16362	16287	16338	16437	16197	16286	16063	16398	read-only-sum_range=1000
3386	3034	2723	2643	3021	3437	3080	3066	3139	scan_range=100
3255	3010	2727	2621	2998	3375	3070	2798	3094	scan.warm_range=100
21428	21492	21864	21028	20904	20957	23458	23666	23416	delete_range=100
14002	13729	14017	13936	13736	13653	15013	14889	14671	insert_range=100
15459	15452	15504	15447	15599	15546	15826	15870	15814	read-write_range=100
20597	20572	20800	20691	20849	20758	20814	20882	20866	read-write_range=10
15592	15473	15782	15402	15624	15601	16663	16678	16456	update-index_range=100
6806	6908	6956	6844	6883	6909	6704	6967	6948	update-inlist_range=100
17145	17243	17592	17092	17294	17453	18327	18723	18773	update-nonindex_range=100
18669	18747	18807	18218	18657	18860	21186	20886	20813	update-one_range=100
16626	16753	17284	16549	16860	17077	18489	18797	18726	update-zipf_range=100
22560	22606	23049	22574	22603	22882	23852	24105	23804	write-only_range=10000
