hot-points_range=100,4992,4926,4980,4997,4947,4983,10120,9968,9983
point-query_range=100,4246,4201,4196,4191,4219,4211,4217,4225,4178
points-covered-pk_range=100,1794,1758,1803,1793,1836,1807,1777,1800,1803
points-covered-si_range=100,2056,2053,2013,2002,2046,2051,2002,1998,2019
points-notcovered-pk_range=100,84,84,84,84,84,84,82,84,84
points-notcovered-si_range=100,81,82,82,82,82,82,81,82,81
random-points_range=1000,7,7,7,7,7,7,7,7,7
random-points_range=100,70,70,70,70,70,70,67,70,70
random-points_range=10,609,606,606,606,606,607,606,609,604
range-covered-pk_range=100,12157,11915,11873,11702,11732,11658,11984,11901,11596
range-covered-si_range=100,10372,10093,10069,10037,10172,9951,10224,10057,9834
range-notcovered-pk_range=100,1986,1980,1968,1977,1976,1972,1952,1974,1949
range-notcovered-si_range=100,86,87,86,87,87,87,86,87,86
read-only-count_range=1000,814,815,810,813,811,806,808,818,809
read-only-distinct_range=1000,2773,2753,2753,2758,2788,2783,2764,2790,2754
read-only-order_range=1000,2815,2800,2829,2832,2870,2815,2847,2864,2814
read-only_range=10000,292,292,297,296,302,300,301,306,302
read-only_range=100,3641,3623,3609,3620,3633,3627,3634,3638,3607
read-only_range=10,4737,4695,4696,4693,4722,4708,4729,4730,4670
read-only-simple_range=1000,3430,3405,3371,3392,3388,3408,3403,3415,3367
read-only-sum_range=1000,3679,3665,3658,3662,3665,3653,3664,3682,3642
scan_range=100,2147,2014,1877,1833,2018,2058,2080,2067,2080
scan.warm_range=100,2127,2011,1861,1829,2006,2161,2024,2072,2069
delete_range=100,3908,3875,3862,3855,3864,3867,3885,3921,3895
insert_range=100,5450,5485,5397,5384,5416,5444,5485,5527,5453
read-write_range=100,3541,3608,3730,3663,3684,3592,3438,3445,3424
read-write_range=10,4849,5015,5005,5022,5029,4974,4572,4562,4556
update-index_range=100,3588,3705,3699,3707,3720,3642,3771,3732,3728
update-inlist_range=100,373,371,369,369,371,370,390,392,387
update-nonindex_range=100,3440,3488,3551,3498,3514,3467,3558,3525,3602
update-one_range=100,19462,19095,19300,19212,19242,19282,21600,21569,21045
update-zipf_range=100,5253,5243,5218,5249,5246,5269,5149,5126,5127
write-only_range=10000,6204,6190,6174,6179,6209,6198,5542,5528,5547
