hot-points_range=100,1.00,1.03,1.03,1.03,1.03,1.98,1.94,1.95
point-query_range=100,1.04,1.03,1.02,1.03,1.04,1.05,1.04,1.05
points-covered-pk_range=100,1.00,1.02,1.02,1.03,1.02,1.00,1.01,1.01
points-covered-si_range=100,0.99,0.99,1.00,1.01,0.99,0.99,0.99,0.98
points-notcovered-pk_range=100,1.00,1.00,1.00,1.02,1.01,0.99,0.99,0.99
points-notcovered-si_range=100,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99
random-points_range=1000,0.99,1.01,1.00,1.02,1.02,0.99,0.99,0.98
random-points_range=100,1.00,1.00,1.00,1.01,1.01,0.99,0.98,1.00
random-points_range=10,1.01,1.02,1.01,1.03,1.03,1.02,1.00,1.01
range-covered-pk_range=100,0.98,0.98,0.95,0.97,0.97,0.98,0.98,0.95
range-covered-si_range=100,0.97,0.97,0.96,0.98,0.97,0.97,0.97,0.95
range-notcovered-pk_range=100,1.01,1.00,1.00,0.98,0.98,0.98,0.98,0.97
range-notcovered-si_range=100,0.99,0.99,0.98,0.99,0.98,1.00,0.97,0.96
read-only-count_range=1000,0.99,0.98,0.99,1.00,0.97,0.96,0.96,0.99
read-only-distinct_range=1000,1.01,1.03,1.02,1.03,1.02,1.01,1.02,0.99
read-only-order_range=1000,1.00,1.03,1.03,1.04,1.03,1.05,1.06,1.06
read-only_range=10000,1.00,1.03,1.03,1.05,1.04,1.04,1.04,1.04
read-only_range=100,1.00,1.00,1.00,1.01,1.01,1.01,1.01,1.01
read-only_range=10,1.00,1.01,1.00,1.00,1.00,1.01,1.01,1.00
read-only-simple_range=1000,1.01,1.00,1.01,1.00,1.00,1.00,1.00,1.00
read-only-sum_range=1000,1.01,1.00,1.01,1.01,1.00,1.00,0.99,1.01
scan_range=100,0.90,0.80,0.78,0.89,1.02,0.91,0.91,0.93
scan.warm_range=100,0.92,0.84,0.81,0.92,1.04,0.94,0.86,0.95
delete_range=100,1.00,1.02,0.98,0.98,0.98,1.09,1.10,1.09
insert_range=100,0.98,1.00,1.00,0.98,0.98,1.07,1.06,1.05
read-write_range=100,1.00,1.00,1.00,1.01,1.01,1.02,1.03,1.02
read-write_range=10,1.00,1.01,1.00,1.01,1.01,1.01,1.01,1.01
update-index_range=100,0.99,1.01,0.99,1.00,1.00,1.07,1.07,1.06
update-inlist_range=100,1.01,1.02,1.01,1.01,1.02,0.99,1.02,1.02
update-nonindex_range=100,1.01,1.03,1.00,1.01,1.02,1.07,1.09,1.09
update-one_range=100,1.00,1.01,0.98,1.00,1.01,1.13,1.12,1.11
update-zipf_range=100,1.01,1.04,1.00,1.01,1.03,1.11,1.13,1.13
write-only_range=10000,1.00,1.02,1.00,1.00,1.01,1.06,1.07,1.06
