Relative to: x.pg140_o2nofp.x10a_c8r32.pk1
col-1 : x.pg1418_o2nofp.x10a_c8r32.pk1
col-2 : x.pg150_o2nofp.x10a_c8r32.pk1
col-3 : x.pg1513_o2nofp.x10a_c8r32.pk1
col-4 : x.pg160_o2nofp.x10a_c8r32.pk1
col-5 : x.pg169_o2nofp.x10a_c8r32.pk1
col-6 : x.pg170_o2nofp.x10a_c8r32.pk1
col-7 : x.pg175_o2nofp.x10a_c8r32.pk1
col-8 : x.pg18beta1_o2nofp.x10b_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8
1.00	1.03	1.03	1.03	1.03	1.98	1.94	1.95	hot-points_range=100
1.04	1.03	1.02	1.03	1.04	1.05	1.04	1.05	point-query_range=100
1.00	1.02	1.02	1.03	1.02	1.00	1.01	1.01	points-covered-pk_range=100
0.99	0.99	1.00	1.01	0.99	0.99	0.99	0.98	points-covered-si_range=100
1.00	1.00	1.00	1.02	1.01	0.99	0.99	0.99	points-notcovered-pk_range=100
0.99	0.99	0.99	0.99	0.99	0.99	0.98	0.99	points-notcovered-si_range=100
0.99	1.01	1.00	1.02	1.02	0.99	0.99	0.98	random-points_range=1000
1.00	1.00	1.00	1.01	1.01	0.99	0.98	1.00	random-points_range=100
1.01	1.02	1.01	1.03	1.03	1.02	1.00	1.01	random-points_range=10
0.98	0.98	0.95	0.97	0.97	0.98	0.98	0.95	range-covered-pk_range=100
0.97	0.97	0.96	0.98	0.97	0.97	0.97	0.95	range-covered-si_range=100
1.01	1.00	1.00	0.98	0.98	0.98	0.98	0.97	range-notcovered-pk_range=100
0.99	0.99	0.98	0.99	0.98	1.00	0.97	0.96	range-notcovered-si_range=100
0.99	0.98	0.99	1.00	0.97	0.96	0.96	0.99	read-only-count_range=1000
1.01	1.03	1.02	1.03	1.02	1.01	1.02	0.99	read-only-distinct_range=1000
1.00	1.03	1.03	1.04	1.03	1.05	1.06	1.06	read-only-order_range=1000
1.00	1.03	1.03	1.05	1.04	1.04	1.04	1.04	read-only_range=10000
1.00	1.00	1.00	1.01	1.01	1.01	1.01	1.01	read-only_range=100
1.00	1.01	1.00	1.00	1.00	1.01	1.01	1.00	read-only_range=10
1.01	1.00	1.01	1.00	1.00	1.00	1.00	1.00	read-only-simple_range=1000
1.01	1.00	1.01	1.01	1.00	1.00	0.99	1.01	read-only-sum_range=1000
0.90	0.80	0.78	0.89	1.02	0.91	0.91	0.93	scan_range=100
0.92	0.84	0.81	0.92	1.04	0.94	0.86	0.95	scan.warm_range=100
1.00	1.02	0.98	0.98	0.98	1.09	1.10	1.09	delete_range=100
0.98	1.00	1.00	0.98	0.98	1.07	1.06	1.05	insert_range=100
1.00	1.00	1.00	1.01	1.01	1.02	1.03	1.02	read-write_range=100
1.00	1.01	1.00	1.01	1.01	1.01	1.01	1.01	read-write_range=10
0.99	1.01	0.99	1.00	1.00	1.07	1.07	1.06	update-index_range=100
1.01	1.02	1.01	1.01	1.02	0.99	1.02	1.02	update-inlist_range=100
1.01	1.03	1.00	1.01	1.02	1.07	1.09	1.09	update-nonindex_range=100
1.00	1.01	0.98	1.00	1.01	1.13	1.12	1.11	update-one_range=100
1.01	1.04	1.00	1.01	1.03	1.11	1.13	1.13	update-zipf_range=100
1.00	1.02	1.00	1.00	1.01	1.06	1.07	1.06	write-only_range=10000
