Relative to: x.pg175_o2nofp.x10a_c8r32.pk1
col-1 : x.pg18beta1_o2nofp.x10b_c8r32.pk1
col-2 : x.pg18beta1_o2nofp.x10c_c8r32.pk1
col-3 : x.pg18beta1_o2nofp.x10d_c8r32.pk1

col-1	col-2	col-3
1.01	1.01	0.99	hot-points_range=100
1.01	1.00	1.01	point-query_range=100
1.00	0.99	0.98	points-covered-pk_range=100
0.99	0.99	0.99	points-covered-si_range=100
1.00	1.01	1.01	points-notcovered-pk_range=100
1.01	1.00	1.00	points-notcovered-si_range=100
1.00	1.01	1.01	random-points_range=1000
1.03	1.01	1.02	random-points_range=100
1.01	1.01	1.02	random-points_range=10
0.98	0.98	0.98	range-covered-pk_range=100
0.98	0.99	0.99	range-covered-si_range=100
0.99	0.98	0.98	range-notcovered-pk_range=100
0.99	0.99	1.00	range-notcovered-si_range=100
1.04	1.03	1.02	read-only-count_range=1000
0.97	0.96	0.96	read-only-distinct_range=1000
1.00	1.00	0.99	read-only-order_range=1000
1.00	1.00	1.00	read-only_range=10000
1.00	0.99	0.99	read-only_range=100
1.00	0.99	1.00	read-only_range=10
1.01	1.00	1.00	read-only-simple_range=1000
1.02	1.02	1.02	read-only-sum_range=1000
1.02	1.02	1.03	scan_range=100
1.11	1.11	1.12	scan.warm_range=100
0.99	0.99	0.99	delete_range=100
0.99	0.99	0.99	insert_range=100
1.00	0.99	0.99	read-write_range=100
1.00	0.99	1.00	read-write_range=10
0.99	1.00	1.00	update-index_range=100
1.00	0.99	0.99	update-inlist_range=100
1.00	1.00	1.00	update-nonindex_range=100
1.00	1.00	1.00	update-one_range=100
1.00	0.99	1.00	update-zipf_range=100
0.99	0.99	1.00	write-only_range=10000
