Relative to: x.pg140_o2nofp.x10a_c8r32.pk1
col-1 : x.pg1418_o2nofp.x10a_c8r32.pk1
col-2 : x.pg150_o2nofp.x10a_c8r32.pk1
col-3 : x.pg1513_o2nofp.x10a_c8r32.pk1
col-4 : x.pg160_o2nofp.x10a_c8r32.pk1
col-5 : x.pg169_o2nofp.x10a_c8r32.pk1
col-6 : x.pg170_o2nofp.x10a_c8r32.pk1
col-7 : x.pg175_o2nofp.x10a_c8r32.pk1
col-8 : x.pg18beta1_o2nofp.x10b_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8
0.99	1.00	1.00	0.99	1.00	2.03	2.00	2.00	hot-points_range=100
0.99	0.99	0.99	0.99	0.99	0.99	1.00	0.98	point-query_range=100
0.98	1.01	1.00	1.02	1.01	0.99	1.00	1.01	points-covered-pk_range=100
1.00	0.98	0.97	1.00	1.00	0.97	0.97	0.98	points-covered-si_range=100
1.00	1.00	1.00	1.00	1.00	0.98	1.00	1.00	points-notcovered-pk_range=100
1.01	1.01	1.01	1.01	1.01	1.00	1.01	1.00	points-notcovered-si_range=100
1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	random-points_range=1000
1.00	1.00	1.00	1.00	1.00	0.96	1.00	1.00	random-points_range=100
1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	random-points_range=10
0.98	0.98	0.96	0.97	0.96	0.99	0.98	0.95	range-covered-pk_range=100
0.97	0.97	0.97	0.98	0.96	0.99	0.97	0.95	range-covered-si_range=100
1.00	0.99	1.00	0.99	0.99	0.98	0.99	0.98	range-notcovered-pk_range=100
1.01	1.00	1.01	1.01	1.01	1.00	1.01	1.00	range-notcovered-si_range=100
1.00	1.00	1.00	1.00	0.99	0.99	1.00	0.99	read-only-count_range=1000
0.99	0.99	0.99	1.01	1.00	1.00	1.01	0.99	read-only-distinct_range=1000
0.99	1.00	1.01	1.02	1.00	1.01	1.02	1.00	read-only-order_range=1000
1.00	1.02	1.01	1.03	1.03	1.03	1.05	1.03	read-only_range=10000
1.00	0.99	0.99	1.00	1.00	1.00	1.00	0.99	read-only_range=100
0.99	0.99	0.99	1.00	0.99	1.00	1.00	0.99	read-only_range=10
0.99	0.98	0.99	0.99	0.99	0.99	1.00	0.98	read-only-simple_range=1000
1.00	0.99	1.00	1.00	0.99	1.00	1.00	0.99	read-only-sum_range=1000
0.94	0.87	0.85	0.94	0.96	0.97	0.96	0.97	scan_range=100
0.95	0.87	0.86	0.94	1.02	0.95	0.97	0.97	scan.warm_range=100
0.99	0.99	0.99	0.99	0.99	0.99	1.00	1.00	delete_range=100
1.01	0.99	0.99	0.99	1.00	1.01	1.01	1.00	insert_range=100
1.02	1.05	1.03	1.04	1.01	0.97	0.97	0.97	read-write_range=100
1.03	1.03	1.04	1.04	1.03	0.94	0.94	0.94	read-write_range=10
1.03	1.03	1.03	1.04	1.02	1.05	1.04	1.04	update-index_range=100
0.99	0.99	0.99	0.99	0.99	1.05	1.05	1.04	update-inlist_range=100
1.01	1.03	1.02	1.02	1.01	1.03	1.02	1.05	update-nonindex_range=100
0.98	0.99	0.99	0.99	0.99	1.11	1.11	1.08	update-one_range=100
1.00	0.99	1.00	1.00	1.00	0.98	0.98	0.98	update-zipf_range=100
1.00	1.00	1.00	1.00	1.00	0.89	0.89	0.89	write-only_range=10000
