Relative to: x.pg175_o2nofp.x10a_c8r32.pk1
col-1 : x.pg18beta1_o2nofp.x10b_c8r32.pk1
col-2 : x.pg18beta1_o2nofp.x10c_c8r32.pk1
col-3 : x.pg18beta1_o2nofp.x10d_c8r32.pk1

col-1	col-2	col-3
1.00	1.00	1.01	hot-points_range=100
0.99	0.99	0.99	point-query_range=100
1.00	1.00	1.02	points-covered-pk_range=100
1.01	1.02	1.00	points-covered-si_range=100
1.00	0.99	0.99	points-notcovered-pk_range=100
0.99	0.98	0.99	points-notcovered-si_range=100
1.00	1.00	1.00	random-points_range=1000
1.00	0.99	1.00	random-points_range=100
0.99	0.95	1.02	random-points_range=10
0.97	0.97	0.99	range-covered-pk_range=100
0.98	0.98	1.00	range-covered-si_range=100
0.99	0.99	0.99	range-notcovered-pk_range=100
0.99	0.99	1.00	range-notcovered-si_range=100
0.99	1.00	1.04	read-only-count_range=1000
0.99	0.99	0.99	read-only-distinct_range=1000
0.98	0.99	0.99	read-only-order_range=1000
0.99	0.98	0.98	read-only_range=10000
0.99	0.99	0.99	read-only_range=100
0.99	0.99	0.99	read-only_range=10
0.99	0.99	0.99	read-only-simple_range=1000
0.99	0.99	0.99	read-only-sum_range=1000
1.01	1.53	1.29	scan_range=100
1.00	1.52	1.29	scan.warm_range=100
0.99	1.00	1.00	delete_range=100
0.99	0.98	0.98	insert_range=100
0.99	0.99	0.99	read-write_range=100
1.00	0.99	0.99	read-write_range=10
1.00	1.00	0.99	update-index_range=100
0.99	0.97	1.00	update-inlist_range=100
1.02	1.02	0.99	update-nonindex_range=100
0.98	0.98	0.99	update-one_range=100
1.00	1.00	0.98	update-zipf_range=100
1.00	1.00	1.00	write-only_range=10000
