Relative to: x.pg174_o2nofp.x10a_c32r128.pk1
col-1 : x.pg18b1git_o2nofp.x10b_c32r128.pk1
col-2 : x.pg18b1git_o2nofp.x10c_c32r128.pk1
col-3 : x.pg18b1git_o2nofp.x10d_c32r128.pk1

col-1	col-2	col-3
0.99	1.02	1.00	hot-points_range=100
0.99	0.98	1.01	point-query_range=100
1.00	1.01	0.99	points-covered-pk_range=100
1.03	1.00	1.03	points-covered-si_range=100
0.99	1.00	0.99	points-notcovered-pk_range=100
1.02	1.00	1.02	points-notcovered-si_range=100
1.00	1.01	1.00	random-points_range=1000
1.00	1.01	0.99	random-points_range=100
1.00	1.02	1.00	random-points_range=10
0.96	0.96	0.97	range-covered-pk_range=100
0.96	0.96	0.96	range-covered-si_range=100
0.97	0.98	0.97	range-notcovered-pk_range=100
0.99	1.00	0.99	range-notcovered-si_range=100
1.01	1.00	1.01	read-only-count_range=1000
1.00	1.00	1.00	read-only-distinct_range=1000
0.99	1.00	0.99	read-only-order_range=1000
1.01	1.01	1.01	read-only_range=10000
0.99	1.00	0.99	read-only_range=100
0.97	0.98	0.98	read-only_range=10
0.99	1.00	1.00	read-only-simple_range=1000
1.00	1.00	1.00	read-only-sum_range=1000
1.13	1.02	1.13	scan_range=100
1.13	1.01	1.13	scan.warm_range=100
0.97	1.00	0.99	delete_range=100
0.97	0.98	0.97	insert_range=100
0.98	0.98	0.98	read-write_range=100
0.96	0.98	0.97	read-write_range=10
1.00	0.99	0.99	update-index_range=100
1.00	1.00	1.00	update-inlist_range=100
0.94	0.96	0.94	update-nonindex_range=100
0.90	1.03	0.98	update-one_range=100
0.96	0.96	0.95	update-zipf_range=100
1.00	1.00	0.99	write-only_range=10000
