ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
2069271	828.8	16.0GB		16.0	2.0	846.4	37	NA	0	0	0.5	0.5	2	6	45	27247	19	8.6	80	0.0	0.0	0.2	fillseq.wal_disabled.v400	2023-10-24T20:25:49	4.4.1		1ad2267284
2026473	811.7	16.0GB		16.0	2.0	828.1	37	NA	0	0	0.5	0.5	2	6	47	51725	20	10.1	97	0.0	0.0	0.2	fillseq.wal_disabled.v400	2023-10-25T00:02:04	4.5.1		75cde85242
1889774	756.9	16.0GB		16.0	2.0	772.3	39	NA	0	0	0.5	0.5	2	7	53	46746	21	12.7	120	0.0	0.0	0.3	fillseq.wal_disabled.v400	2023-10-25T03:38:20	4.6.1		b026bfdf4a
1971556	789.7	15.9GB		15.9	2.0	804.9	38	NA	0	0	0.5	0.5	2	7	49	53756	20	8.5	72	0.0	0.0	0.4	fillseq.wal_disabled.v400	2023-10-25T07:14:38	4.7.1		4d6ba85469
1945680	779.3	15.9GB		15.9	2.0	793.2	39	NA	0	0	0.5	0.5	2	6	43	32191	21	7.5	57	0.0	0.0	0.3	fillseq.wal_disabled.v400	2023-10-25T10:50:55	4.8.0		52a2cc5a6d
2018754	808.6	15.9GB		15.9	NA	823.0	37	NA	0	0	0.5	0.5	2	6	44	36892	20	6.0	46	0.0	0.0	0.1	fillseq.wal_disabled.v400	2023-10-25T14:27:12	4.9.0		1e92c36308
2050419	821.3	15.9GB		15.9	NA	835.9	37	NA	0	0	0.5	0.5	2	6	43	33425	20	6.8	63	0.0	0.0	0.1	fillseq.wal_disabled.v400	2023-10-25T18:03:25	4.10.2		d903241757
2048242	820.4	15.9GB		15.9	NA	835.0	37	NA	0	0	0.5	0.5	2	6	43	51023	20	5.6	61	0.0	0.0	0.2	fillseq.wal_disabled.v400	2023-10-25T21:39:38	4.11.2		32fda17a2e
1978895	792.6	15.9GB		15.9	NA	807.5	39	NA	0	0	0.5	0.5	2	6	49	32863	20	10.7	83	0.0	0.0	0.2	fillseq.wal_disabled.v400	2023-10-26T01:15:51	4.12.0		4844d698b9
2043259	818.4	15.9GB		15.9	NA	833.0	37	NA	0	0	0.5	0.5	2	6	46	46089	20	7.4	66	0.0	0.0	0.2	fillseq.wal_disabled.v400	2023-10-26T04:52:04	4.13.5		f2fc398256
