ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1395529	559.0	439.4GB		439.4	NA	314.0	2540	NA	0	0	0.7	0.5	2	6	1020	44240	1433	25.0	36340	4.2	0.5	3.4	fillseq.wal_disabled.v400	2023-11-3T20:00:57	5.0.2		fe55e3e18f
1389239	556.5	439.4GB		439.4	NA	312.5	2554	NA	0	0	0.7	0.5	2	6	1015	53693	1440	24.0	35285	4.2	0.5	3.4	fillseq.wal_disabled.v400	2023-10-30T22:00:36	5.1.5		3500b728d1
1393408	558.1	439.4GB		439.4	NA	313.5	2544	NA	0	0	0.7	0.5	2	6	1016	48244	1435	24.6	35922	4.2	0.5	3.4	fillseq.wal_disabled.v400	2023-10-31T02:19:01	5.2.1		4be3b1c3e5
1420658	569.0	439.4GB		439.4	NA	319.6	2489	NA	0	0	0.7	0.5	2	6	1008	39648	1408	23.9	35520	4.2	0.4	3.4	fillseq.wal_disabled.v400	2023-10-31T06:36:50	5.3.7		31b8bd92dc
1457059	583.6	439MB		439.4	NA	327.8	186	NA	0	0	0.7	0.5	2	6	750	39412	1373	20.5	35087	4.2	0.4	6.0	fillseq.wal_disabled.v400	2023-10-31T10:54:21	5.4.12		9adcef7ef8
1447136	579.6	439MB		439.4	1.1	325.6	186	NA	0	0	0.7	0.5	2	6	622	36652	1382	19.0	33486	4.2	0.4	3.4	fillseq.wal_disabled.v400	2023-10-31T15:11:25	5.5.6		ca97834b43
1414631	566.6	439MB		439.4	1.1	318.3	180	NA	0	0	0.7	0.5	2	6	1004	43333	1414	22.6	36855	4.3	0.4	3.4	fillseq.wal_disabled.v400	2023-10-31T19:27:11	5.6.2		739adf12dc
1387284	555.7	439MB		439.4	1.1	312.1	178	NA	0	0	0.7	0.5	2	6	609	41118	1442	15.0	27172	4.5	0.4	3.4	fillseq.wal_disabled.v400	2023-10-31T23:43:34	5.7.5		ede73d650c
1429425	572.5	439MB		439.4	1.1	321.6	180	NA	0	0	0.7	0.5	2	7	664	43221	1399	13.0	20856	4.3	0.4	6.0	fillseq.wal_disabled.v400	2023-11-1T03:59:57	5.8.8		6ea4477cf2
1389516	556.6	439MB		440.0	1.1	313.0	183	NA	0	0	0.7	0.5	2	7	497	46248	1439	3.4	5269	4.6	0.4	6.0	fillseq.wal_disabled.v400	2023-11-1T08:15:39	5.9.3		489d69679a
1410507	565.0	439MB		441.6	1.1	318.9	183	NA	0	0	0.7	0.5	2	7	512	33423	1418	7.3	11151	4.4	0.4	6.0	fillseq.wal_disabled.v400	2023-11-1T12:32:41	5.10.5		5d5e8110ff
1432726	573.9	439MB		439.4	1.1	322.3	184	NA	0	0	0.7	0.5	2	7	534	41622	1396	7.9	14076	4.4	0.4	6.0	fillseq.wal_disabled.v400	2023-11-1T16:48:44	5.11.4		201cf642cc
1412910	565.9	439MB		472.0	1.1	341.5	186	NA	0	0	0.7	0.5	2	6	571	36473	1416	9.2	13503	4.3	0.4	6.0	fillseq.wal_disabled.v400	2023-11-1T21:04:27	5.12.5		73fc71f933
1429242	572.5	439MB		454.8	1.1	332.8	186	NA	0	0	0.7	0.5	2	7	528	51137	1399	7.6	11346	4.2	0.4	6.0	fillseq.wal_disabled.v400	2023-11-2T01:20:35	5.13.4		be955bff18
1359887	544.7	439MB		462.9	1.1	322.3	191	NA	0	0	0.7	0.5	2	7	582	43432	1471	2.9	2250	4.4	0.4	6.0	fillseq.wal_disabled.v400	2023-11-2T05:36:13	5.14.3		04f6516185
1273843	510.2	439MB		497.5	1.2	324.4	192	NA	0	0	0.8	0.5	2	7	608	50213	1570	4.5	4243	4.7	0.4	6.1	fillseq.wal_disabled.v400	2023-11-2T09:53:25	5.15.10		b8d5f909f7
1189326	476.4	439MB		533.5	1.2	324.9	189	NA	0	0	0.8	0.5	2	7	730	12671772	1682	7.0	6104	4.9	0.5	6.1	fillseq.wal_disabled.v400	2023-11-2T14:12:04	5.16.6		0113c61ce9
1128082	451.8	439MB		594.1	1.3	343.2	195	NA	0	0	0.9	0.5	2	8	789	51580	1773	10.1	7377	5.2	0.6	6.1	fillseq.wal_disabled.v400	2023-11-2T18:33:20	5.17.4		764bfcd19b
1069099	428.2	439MB		530.9	1.2	290.6	186	NA	0	0	0.9	0.5	2	8	1029	36284264	1871	16.5	25414	5.2	0.5	6.1	fillseq.wal_disabled.v400	2023-11-2T22:55:45	5.18.4		b9a4a10659

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
82226	314.5	439.4GB		0.1	NA	0.2	0	NA	0	0	12.2	11.2	17	25	40	5248	301	0.0	0	0.3	0.0	0.2	revrange.t1	2023-11-3T20:24:52	5.0.2		fe55e3e18f
90600	346.6	439.4GB		0.1	NA	0.3	1	NA	0	0	11.0	10.8	15	25	44	5798	302	0.0	0	0.3	0.0	0.2	revrange.t1	2023-10-30T22:24:40	5.1.5		3500b728d1
81717	312.6	439.4GB		0.1	NA	0.2	0	NA	0	0	12.2	11.3	17	25	39	10718	302	0.0	0	0.3	0.0	0.2	revrange.t1	2023-10-31T02:43:00	5.2.1		4be3b1c3e5
82126	314.1	439.4GB		0.0	NA	0.1	0	NA	0	0	12.2	11.2	17	25	40	9093	302	0.0	0	0.3	0.0	0.2	revrange.t1	2023-10-31T07:00:22	5.3.7		31b8bd92dc
81215	310.7	439MB		0.1	NA	0.4	215	NA	0	0	12.3	11.4	17	25	40	5636	305	0.0	0	0.3	0.0	0.2	revrange.t1	2023-10-31T11:17:21	5.4.12		9adcef7ef8
80617	308.4	439MB		0.1	NA	0.3	215	NA	0	0	12.4	11.5	17	27	43	12763	304	0.0	0	0.3	0.0	0.2	revrange.t1	2023-10-31T15:34:34	5.5.6		ca97834b43
80031	306.1	439MB		0.1	NA	0.3	210	NA	0	0	12.5	11.7	18	26	44	6042	305	0.0	0	0.3	0.0	0.2	revrange.t1	2023-10-31T19:50:52	5.6.2		739adf12dc
78418	300.0	439MB		0.1	NA	0.2	212	NA	0	0	12.8	12.4	17	26	44	5282	304	0.0	0	0.3	0.0	0.2	revrange.t1	2023-11-1T00:07:41	5.7.5		ede73d650c
79693	304.9	439MB		0.1	NA	0.2	212	NA	0	0	12.5	12.5	18	31	48	10717	305	0.0	0	0.3	0.0	0.2	revrange.t1	2023-11-1T04:23:24	5.8.8		6ea4477cf2
80364	307.4	439MB		0.2	NA	0.6	216	NA	0	0	12.4	12.5	18	29	46	6461	306	0.0	0	0.3	0.0	0.3	revrange.t1	2023-11-1T08:39:46	5.9.3		489d69679a
78093	298.7	439MB		0.1	NA	0.2	215	NA	0	0	12.8	12.5	19	32	50	5971	305	0.0	0	0.3	0.0	0.3	revrange.t1	2023-11-1T12:56:26	5.10.5		5d5e8110ff
78408	299.9	439MB		0.2	NA	0.6	210	NA	0	0	12.8	12.5	18	30	46	6328	305	0.0	0	0.3	0.0	0.3	revrange.t1	2023-11-1T17:12:07	5.11.4		201cf642cc
112773	431.4	439MB		2.2	NA	7.4	302	NA	0	0	8.9	8.0	13	21	38	15074	305	0.0	0	0.3	0.0	0.4	revrange.t1	2023-11-1T21:28:10	5.12.5		73fc71f933
88918	340.1	439MB		0.1	NA	0.4	220	NA	0	0	11.2	12.3	17	28	47	6134	306	0.0	0	0.3	0.0	0.3	revrange.t1	2023-11-2T01:44:03	5.13.4		be955bff18
107582	411.5	439MB		2.1	NA	6.9	252	NA	0	0	9.3	8.0	13	21	33	10384	306	0.0	0	0.3	0.0	0.4	revrange.t1	2023-11-2T06:00:53	5.14.3		04f6516185
114596	438.4	439MB		2.6	NA	8.7	318	NA	0	0	8.7	8.0	13	21	37	56493	301	0.0	0	0.3	0.0	0.4	revrange.t1	2023-11-2T10:19:40	5.15.10		b8d5f909f7
113200	433.0	439MB		2.6	NA	9.0	306	NA	0	0	8.8	8.0	12	25	48	19392	301	0.0	0	0.3	0.0	0.4	revrange.t1	2023-11-2T14:40:10	5.16.6		0113c61ce9
114059	436.3	439MB		3.8	NA	12.8	258	NA	0	0	8.8	8.0	13	21	43	20446	301	0.0	0	0.3	0.0	0.4	revrange.t1	2023-11-2T19:02:58	5.17.4		764bfcd19b
97712	373.8	439MB		1.9	NA	6.4	244	NA	0	0	10.2	8.4	15	26	48	17794	301	0.0	541	0.3	0.0	0.4	revrange.t1	2023-11-2T23:27:00	5.18.4		b9a4a10659

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
44452	17.8	439.4GB		0.0	NA	0.0	0	NA	0	0	22.5	176.5	389	691	1614	44854	1801	0.0	0	1.1	1.0	83.4	readrandom.t8	2023-11-3T20:29:54	5.0.2		fe55e3e18f
45723	18.3	439.4GB		0.0	NA	0.0	0	NA	0	0	21.9	174.4	339	449	907	41305	1801	0.0	0	1.2	1.0	83.4	readrandom.t8	2023-10-30T22:29:42	5.1.5		3500b728d1
43994	17.6	439.4GB		0.0	NA	0.0	0	NA	0	0	22.7	176.8	418	763	1765	45862	1801	0.0	0	1.1	1.0	83.4	readrandom.t8	2023-10-31T02:48:02	5.2.1		4be3b1c3e5
45637	18.3	439.4GB		0.0	NA	0.0	0	NA	0	0	21.9	174.8	338	446	931	43138	1801	0.0	0	1.1	1.1	83.4	readrandom.t8	2023-10-31T07:05:24	5.3.7		31b8bd92dc
45455	18.2	439MB		0.0	NA	0.0	0	NA	0	0	22.0	175.3	339	461	1799	44009	1801	0.0	0	1.1	1.1	83.4	readrandom.t8	2023-10-31T11:22:23	5.4.12		9adcef7ef8
45312	18.1	439MB		0.0	NA	0.0	0	NA	0	0	22.1	175.9	341	460	983	41001	1801	0.0	0	1.2	1.1	83.4	readrandom.t8	2023-10-31T15:39:36	5.5.6		ca97834b43
43885	17.6	439MB		0.0	NA	0.0	0	NA	0	0	22.8	177.9	416	763	1729	41487	1801	0.0	0	1.1	1.0	83.4	readrandom.t8	2023-10-31T19:55:54	5.6.2		739adf12dc
45180	18.1	439MB		0.0	NA	0.0	0	NA	0	0	22.1	175.3	349	591	1145	43040	1801	0.0	0	1.1	1.0	83.5	readrandom.t8	2023-11-1T00:12:44	5.7.5		ede73d650c
44839	18.0	439MB		0.0	NA	0.0	0	NA	0	0	22.3	182.1	376	661	1578	42344	1801	0.0	0	1.1	1.1	83.5	readrandom.t8	2023-11-1T04:28:26	5.8.8		6ea4477cf2
