ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
855507	342.7	439GB	0GB	489.5	1.1	214.4	3319	2969	0	0	1.2	0.5	2	8	1141	39212132	2338	6.7	7835	6.2	0.2	82.3	fillseq.wal_disabled.v400	2023-10-21T18:32:49	7.0.4		985c8741ad
773514	309.8	439GB	0GB	512.1	1.2	202.8	3457	3078	0	0	1.3	0.5	2	8	1179	117506833	2586	12.2	17767	6.6	0.2	82.3	fillseq.wal_disabled.v400	2023-10-21T23:20:13	7.1.2		91f175888a
815710	326.7	439GB	0GB	491.4	1.1	205.2	3335	2981	0	0	1.2	0.5	2	8	1144	101132030	2452	9.8	15060	6.3	0.2	82.3	fillseq.wal_disabled.v400	2023-10-22T04:10:04	7.2.2		66559b4087
792602	317.5	439GB	0GB	536.1	1.2	217.5	3574	3176	0	0	1.3	0.5	2	8	1191	41458771	2523	10.1	13243	6.6	0.2	82.3	fillseq.wal_disabled.v400	2023-10-22T09:01:37	7.3.2		7b47c9eea1
874998	350.5	439GB	0GB	489.5	1.1	219.3	3329	2986	0	0	1.1	0.5	2	8	1044	16908235	2286	5.7	5272	6.1	0.2	82.3	fillseq.wal_disabled.v400	2023-10-22T13:52:02	7.4.5		e072c129d5
1041170	417.0	439GB	0GB	649.1	1.3	346.0	4042	3682	0	0	1.0	0.5	2	9	1098	37404	1921	11.8	5593	5.8	0.2	82.1	fillseq.wal_disabled.v400	2023-10-22T18:39:40	7.5.4		c2452696d9
1153111	461.9	439GB	0GB	439.3	1.1	259.4	3100	2808	0	0	0.9	0.5	3	8	1035	41441	1734	21.7	21853	5.0	0.2	82.2	fillseq.wal_disabled.v400	2023-10-22T23:06:48	7.6.0		1c6057ccd2
1185898	475.0	439GB	0GB	439.5	1.1	266.8	3015	2773	0	0	0.8	0.5	2	8	1010	44221	1686	20.8	20927	5.0	0.2	82.2	fillseq.wal_disabled.v400	2023-10-23T03:31:04	7.7.8		832966016d
1099188	440.3	439GB	0GB	439.2	1.1	247.2	3300	3057	0	0	0.9	0.5	2	8	1107	49812	1820	26.6	26286	5.2	0.2	82.2	fillseq.wal_disabled.v400	2023-10-23T07:54:29	7.8.3		bf2c335184
1079722	432.5	439GB	0GB	439.2	1.1	242.8	3361	3095	0	0	0.9	0.5	2	8	1123	53485	1852	27.9	27242	5.3	0.2	82.2	fillseq.wal_disabled.v400	2023-10-23T12:19:29	7.9.3		3e00130da2
1081126	433.0	439GB	0GB	439.2	1.1	243.1	3353	3084	0	0	0.9	0.5	2	8	1107	29753	1850	26.0	26129	5.3	0.2	82.2	fillseq.wal_disabled.v400	2023-10-23T16:44:50	7.10.2		3258b5c3e2

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
68403	261.7	439GB	0GB	5.8	NA	19.7	34	25	0	0	14.6	12.6	20	33	8211	17585	302	0.0	6318	0.4	0.0	0.4	revrange.t1	2023-10-21T19:11:56	7.0.4		985c8741ad
