ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
1280306	512.8	439GB		441.1	1.1	289.1	2436	2180	0	0	0.8	0.5	2	8	599	46246	1562	3.0	4342	4.6	0.2	6.1	fillseq.wal_disabled.v400	2023-10-10T16:02:12	6.0.2		rocksdb_bu
1078559	432.0	439GB		513.6	1.2	283.6	2894	2469	0	0	0.9	0.5	2	9	1033	47918392	1854	15.4	25129	5.1	0.3	7.1	fillseq.wal_disabled.v400	2023-10-11T14:56:49	6.5.3		rocksdb_bu
1114648	446.5	439GB		508.9	1.2	290.4	2889	2490	0	0	0.9	0.5	2	9	920	41597220	1794	11.8	19341	5.1	0.3	6.1	fillseq.wal_disabled.v400	2023-10-12T14:20:12	6.10.4		rocksdb_bu
664349	266.1	439GB		633.6	1.3	215.5	3852	3208	0	0	1.5	0.5	2	9	1289	119949103	3010	22.4	34712	6.9	0.2	7.4	fillseq.wal_disabled.v400	2023-10-18T17:34:40	6.15.5		rocksdb_bu
676794	271.1	439GB	0GB	580.8	1.3	201.2	3561	3017	0	0	1.5	0.5	2	9	1588	92095917	2955	17.9	26978	6.9	0.2	6.9	fillseq.wal_disabled.v400	2023-10-19T17:39:25	6.20.4		822e08eeab
746902	299.2	439GB	0GB	504.4	1.2	192.9	3475	3087	0	0	1.3	0.5	2	8	1242	103132587	2678	11.1	17409	6.7	0.2	82.5	fillseq.wal_disabled.v400	2023-10-20T18:04:37	6.25.3		f55aab3d18
695925	278.7	439GB	0GB	526.0	1.2	187.4	3564	3140	0	0	1.4	0.5	2	8	1288	171601897	2874	12.2	19031	7.0	0.2	82.3	fillseq.wal_disabled.v400	2023-10-21T13:38:02	6.29.5		79f08d7ffa
855507	342.7	439GB	0GB	489.5	1.1	214.4	3319	2969	0	0	1.2	0.5	2	8	1141	39212132	2338	6.7	7835	6.2	0.2	82.3	fillseq.wal_disabled.v400	2023-10-21T18:32:49	7.0.4		985c8741ad
1041170	417.0	439GB	0GB	649.1	1.3	346.0	4042	3682	0	0	1.0	0.5	2	9	1098	37404	1921	11.8	5593	5.8	0.2	82.1	fillseq.wal_disabled.v400	2023-10-22T18:39:40	7.5.4		c2452696d9
1081126	433.0	439GB	0GB	439.2	1.1	243.1	3353	3084	0	0	0.9	0.5	2	8	1107	29753	1850	26.0	26129	5.3	0.2	82.2	fillseq.wal_disabled.v400	2023-10-23T16:44:50	7.10.2		3258b5c3e2
1096031	439.0	439GB	0GB	439.2	1.1	246.4	3320	3090	0	0	0.9	0.5	2	8	1114	32006	1825	27.1	26439	5.3	0.2	82.2	fillseq.wal_disabled.v400	2023-10-23T21:10:21	8.0.0		fdf403f591
1111338	445.1	439GB	0GB	439.2	1.1	249.9	3268	3035	0	0	0.9	0.5	2	8	1095	32369	1800	25.4		5.2	0.2	82.2	fillseq.wal_disabled.v400	2023-10-16T16:00:15	8.4.4		ffcfbaa584
