bm.lc.nt24.cm1.d0/8.0.fb.gcc/report.tsv
bm.lc.nt24.cm1.d0/8.1.fb.gcc/report.tsv
bm.lc.nt24.cm1.d0/8.2.fb.gcc/report.tsv
bm.lc.nt24.cm1.d0/8.3.fb.gcc/report.tsv
bm.lc.nt24.cm1.d0/8.4.fb.gcc/report.tsv
bm.lc.nt24.cm1.d0/8.5.fb.gcc/report.tsv
bm.lc.nt24.cm1.d0/8.6.fb.gcc/report.tsv
bm.lc.nt24.cm1.d0/8.7.fb.gcc/report.tsv
bm.lc.nt24.cm1.d0/8.8.fb.gcc/report.tsv

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
678268	271.7	878GB	0GB	1347.0	1.4	233.9	12776	12657	0	0	1.5	0.5	3	6	1172	46520	5897	23.2	26818	18.9	1.5	14.2	fillseq.wal_disabled.v400	2023-11-4T06:50:23	8.0.0		fdf403f591
686441	274.9	878GB	0GB	1356.8	1.4	238.4	12711	12597	0	0	1.5	0.5	3	6	1170	64253	5827	23.3		18.8	1.5	14.4	fillseq.wal_disabled.v400	2023-11-4T16:18:04	8.1.1		7d2d9518fb
683088	273.6	878GB	0GB	1343.9	1.4	235.0	12625	12504	0	0	1.5	0.5	3	6	1162	48465	5856	22.2		18.8	1.6	14.2	fillseq.wal_disabled.v400	2023-11-5T01:43:08	8.2.1		fc239292ef
671876	269.1	878GB	0GB	1426.7	1.4	245.4	13236	13117	0	0	1.5	0.5	3	6	1164	49145	5954	22.2		19.3	1.6	15.1	fillseq.wal_disabled.v400	2023-11-5T10:09:24	8.3.3		791a7fe402
678601	271.8	878GB	0GB	1434.9	1.4	249.3	13187	13074	0	0	1.5	0.5	3	6	1172	53019	5894	23.3		19.1	1.6	15.1	fillseq.wal_disabled.v400	2023-11-5T19:36:51	8.4.4		ffcfbaa584
685962	274.8	878GB	0GB	1383.8	1.4	243.0	12785	12671	0	0	1.5	0.5	3	6	1163	88862	5831	22.3		18.9	1.5	14.6	fillseq.wal_disabled.v400	2023-11-6T05:03:38	8.5.4		72820d70cf
671192	268.8	878GB	0GB	1363.6	1.4	234.3	12984	12865	0	0	1.5	0.5	3	6	1177	53496	5960	23.5		19.1	1.5	14.4	fillseq.wal_disabled.v400	2023-11-6T14:29:31	8.6.7		3f8aeca12e
683626	273.8	878GB	0GB	1426.7	1.4	249.7	13015	12898	0	0	1.5	0.5	3	6	1168	36150	5851	22.8		19.0	1.5	15.1	fillseq.wal_disabled.v400	2023-11-6T23:59:50	8.7.3		596718ba99
677867	271.5	878GB	0GB	1368.7	1.4	237.5	12788	12669	0	0	1.5	0.5	4	6	1171	51388	5901	23.2		18.9	1.6	14.5	fillseq.wal_disabled.v400	2023-11-7T09:25:48	8.8.0		4d706dc4db

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
44555	170.4	878GB	0GB	2.4	NA	8.0	21	21	0	0	22.4	20.7	34	36	51	19363	301	0.0	2	0.3	0.0	0.3	revrange.t1	2023-11-4T08:28:46	8.0.0		fdf403f591
45162	172.8	878GB	0GB	1.4	NA	4.7	12	12	0	0	22.1	19.6	34	34	50	16002	301	0.0		0.3	0.0	0.3	revrange.t1	2023-11-4T17:55:18	8.1.1		7d2d9518fb
61284	234.4	878GB	0GB	1.6	NA	5.5	14	14	0	0	16.3	18.0	22	32	48	13664	301	0.0		0.3	0.0	0.3	revrange.t1	2023-11-5T02:20:49	8.2.1		fc239292ef
65439	250.3	878GB	0GB	1.6	NA	5.2	13	13	0	0	15.3	13.9	22	30	48	21047	302	0.0		0.3	0.0	0.3	revrange.t1	2023-11-5T11:48:44	8.3.3		791a7fe402
45637	174.6	878GB	0GB	1.5	NA	5.2	13	13	0	0	21.9	19.1	33	34	49	19624	302	0.0		0.3	0.0	0.3	revrange.t1	2023-11-5T21:15:11	8.4.4		ffcfbaa584
41269	157.9	878GB	0GB	1.4	NA	4.9	13	13	0	0	24.2	27.6	34	39	62	14472	302	0.0		0.3	0.0	0.3	revrange.t1	2023-11-6T06:40:55	8.5.4		72820d70cf
55023	210.5	878GB	0GB	2.3	NA	7.7	15	15	0	0	18.2	18.4	22	33	48	17267	302	0.0		0.3	0.0	0.3	revrange.t1	2023-11-6T16:08:57	8.6.7		3f8aeca12e
41770	159.8	878GB	0GB	2.0	NA	6.6	17	17	0	0	23.9	27.6	34	46	63	20782	304	0.0		0.3	0.0	0.3	revrange.t1	2023-11-7T01:37:29	8.7.3		596718ba99
52903	202.4	878GB	0GB	2.8	NA	9.3	18	17	0	0	18.9	18.5	25	47	73	18323	302	0.0		0.3	0.0	0.3	revrange.t1	2023-11-7T11:04:15	8.8.0		4d706dc4db

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
224872	90.1	878GB	0GB	0.0	NA	0.0	0	0	0	0	106.7	117.8	192	247	630	2028460	3601	0.0	0	16.9	7.9	183.0	readrandom.t24	2023-11-4T08:33:48	8.0.0		fdf403f591
225073	90.2	878GB	0GB	0.0	NA	0.0	0	0	0	0	106.6	117.1	191	247	659	2430363	3601	0.0		16.8	7.7	183.0	readrandom.t24	2023-11-4T18:00:20	8.1.1		7d2d9518fb
225065	90.1	878GB	0GB	0.0	NA	0.0	0	0	0	0	106.6	117.5	190	246	539	2128973	3601	0.0		16.6	8.0	183.0	readrandom.t24	2023-11-5T02:25:52	8.2.1		fc239292ef
225615	90.4	878GB	0GB	0.0	NA	0.0	0	0	0	0	106.4	117.0	189	246	468	2526507	3601	0.0		16.4	8.0	183.0	readrandom.t24	2023-11-5T11:53:47	8.3.3		791a7fe402
225692	90.4	878GB	0GB	0.0	NA	0.0	0	0	0	0	106.3	117.2	189	246	401	2921349	3601	0.0		16.4	8.1	183.0	readrandom.t24	2023-11-5T21:20:14	8.4.4		ffcfbaa584
224558	89.9	878GB	0GB	0.0	NA	0.0	0	0	0	0	106.9	118.5	192	246	370	866587	3601	0.0		16.9	8.1	183.0	readrandom.t24	2023-11-6T06:45:58	8.5.4		72820d70cf
225207	90.2	878GB	0GB	0.0	NA	0.0	0	0	0	0	106.6	117.9	191	246	425	1165961	3601	0.0		16.9	7.8	183.0	readrandom.t24	2023-11-6T16:13:59	8.6.7		3f8aeca12e
224720	90.0	878GB	0GB	0.0	NA	0.0	0	0	0	0	106.8	117.9	191	246	378	2737295	3601	0.0		16.6	8.1	183.0	readrandom.t24	2023-11-7T01:42:31	8.7.3		596718ba99
223632	89.6	878GB	0GB	0.0	NA	0.0	0	0	0	0	107.3	118.8	197	247	465	7195519	3601	0.0		17.1	8.1	182.8	readrandom.t24	2023-11-7T11:09:18	8.8.0		4d706dc4db

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
135327	542.0	878GB	0GB	0.0	NA	0.0	0	0	0	0	177.3	163.4	369	379	571	98562	3601	0.0	0	25.9	7.4	183.4	fwdrange.t24	2023-11-4T09:34:13	8.0.0		fdf403f591
135442	542.5	878GB	0GB	0.0	NA	0.0	0	0	0	0	177.2	163.5	369	379	570	165318	3601	0.0		25.8	7.4	183.4	fwdrange.t24	2023-11-4T19:00:44	8.1.1		7d2d9518fb
144868	580.3	878GB	0GB	0.0	NA	0.0	0	0	0	0	165.7	160.8	359	379	560	73648	3601	0.0		21.9	7.5	183.4	fwdrange.t24	2023-11-5T03:26:13	8.2.1		fc239292ef
145267	581.9	878GB	0GB	0.0	NA	0.0	0	0	0	0	165.2	160.6	359	378	536	142857	3602	0.0		22.0	7.4	183.4	fwdrange.t24	2023-11-5T12:54:11	8.3.3		791a7fe402
136565	547.0	878GB	0GB	0.0	NA	0.0	0	0	0	0	175.7	163.1	368	379	550	136701	3602	0.0		25.0	7.6	183.4	fwdrange.t24	2023-11-5T22:20:35	8.4.4		ffcfbaa584
136663	547.4	878GB	0GB	0.0	NA	0.0	0	0	0	0	175.6	163.0	368	379	548	140380	3602	0.0		25.4	7.3	183.4	fwdrange.t24	2023-11-6T07:46:21	8.5.4		72820d70cf
141721	567.7	878GB	0GB	0.0	NA	0.0	0	0	0	0	169.3	161.4	363	379	542	98004	3602	0.0		23.3	7.4	183.4	fwdrange.t24	2023-11-6T17:14:24	8.6.7		3f8aeca12e
134589	539.1	878GB	0GB	0.0	NA	0.0	0	0	0	0	178.3	163.9	370	379	551	80826	3602	0.0		26.0	7.5	183.4	fwdrange.t24	2023-11-7T02:42:53	8.7.3		596718ba99
137033	548.9	878GB	0GB	0.0	NA	0.0	0	0	0	0	175.1	163.5	367	380	760	2118417	3602	0.0		23.5	7.3	183.1	fwdrange.t24	2023-11-7T12:09:43	8.8.0		4d706dc4db

ops_sec	mb_sec	lsm_sz	blob_sz	c_wgb	w_amp	c_mbps	c_wsecs	c_csecs	b_rgb	b_wgb	usec_op	p50	p99	p99.9	p99.99	pmax	uptime	stall%	Nstall	u_cpu	s_cpu	rss	test	date	version	job_id	githash
220826	88.5	878GB	0GB	0.0	NA	0.0	0	0	0	0	108.7	1079.7	1658	1883	7374	128810	3601	0.0	0	17.0	9.2	183.0	multireadrandom.t24	2023-11-4T10:34:33	8.0.0		fdf403f591
221188	88.6	878GB	0GB	0.0	NA	0.0	0	0	0	0	108.5	1079.3	1642	1882	6634	143339	3601	0.0		17.0	9.2	183.0	multireadrandom.t24	2023-11-4T20:01:06	8.1.1		7d2d9518fb
217167	87.0	878GB	0GB	0.0	NA	0.0	0	0	0	0	110.5	1079.2	1723	2539	12256	2635726	3601	0.0		16.8	9.0	182.6	multireadrandom.t24	2023-11-5T04:26:36	8.2.1		fc239292ef
222134	89.0	878GB	0GB	0.0	NA	0.0	0	0	0	0	108.0	1078.2	1612	1878	5313	155999	3601	0.0		16.8	9.2	183.1	multireadrandom.t24	2023-11-5T13:54:32	8.3.3		791a7fe402
214546	85.9	878GB	0GB	0.0	NA	0.0	0	0	0	0	111.9	1078.4	1670	1892	30147	32853463	3601	0.0		16.8	8.8	183.0	multireadrandom.t24	2023-11-5T23:20:59	8.4.4		ffcfbaa584
219093	87.8	878GB	0GB	0.0	NA	0.0	0	0	0	0	109.5	1079.8	1660	1889	17252	10204169	3601	0.0		17.0	9.1	183.0	multireadrandom.t24	2023-11-6T08:46:42	8.5.4		72820d70cf
220217	88.2	878GB	0GB	0.0	NA	0.0	0	0	0	0	109.0	1080.5	1669	1882	5062	159439	3604	0.0		17.3	9.2	183.1	multireadrandom.t24	2023-11-6T18:14:48	8.6.7		3f8aeca12e
