col-1 : x.ma100230_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma100244_rel_withdbg.z12a_c32r128.pk1
col-3 : x.ma100309_rel_withdbg.z12a_c32r128.pk1
col-4 : x.ma100339_rel_withdbg.z12a_c32r128.pk1
col-5 : x.ma100408_rel_withdbg.z12a_c32r128.pk1
col-6 : x.ma100434_rel_withdbg.z12a_c32r128.pk1
col-7 : x.ma100506_rel_withdbg.z12a_c32r128.pk1
col-8 : x.ma100529_rel_withdbg.z12a_c32r128.pk1
col-9 : x.ma100605_rel_withdbg.z12a_c32r128.pk1
col-10 : x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-11 : x.ma100708_rel_withdbg.z12a_c32r128.pk1
col-12 : x.ma100808_rel_withdbg.z12a_c32r128.pk1
col-13 : x.ma100908_rel_withdbg.z12a_c32r128.pk1
col-14 : x.ma101007_rel_withdbg.z12a_c32r128.pk1
col-15 : x.ma101104_rel_withdbg.z12a_c32r128.pk1
col-16 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-17 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-18 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-19 : x.ma120002_rel_withdbg.z12b_c32r128.pk1
col-20 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8	col-9	col-10	col-11	col-12	col-13	col-14	col-15	col-16	col-17	col-18	col-19	col-20
78413	77693	89407	84479	91040	84025	60694	53993	76583	78407	79654	79680	81411	81511	81003	76470	76562	83876	80038	81452	hot-points_range=100
895647	902931	883163	882523	826841	851979	817592	822679	826837	840361	839961	837790	834211	847316	810654	807833	828705	813308	792557	828247	point-query_range=100
72785	70188	75575	73638	74946	73106	42087	29832	31357	29498	29104	76104	27182	27366	27205	25904	25598	26044	25632	25916	points-covered-pk_range=100
71088	68557	32411	71612	72682	70392	54530	50787	66830	74922	73570	66685	77191	77099	76245	73299	58646	64552	62975	63243	points-covered-si_range=100
70894	68214	73166	71639	72522	70722	41589	29541	31123	29438	28927	74284	26966	27458	27102	25894	25615	26035	25470	25933	points-notcovered-pk_range=100
41268	38939	25272	40336	42341	40037	25172	20377	22008	20777	20437	41279	18957	19310	19000	18260	18531	18438	18120	18329	points-notcovered-si_range=100
7404	7172	7935	7501	7346	7508	4193	2977	3152	2997	2947	7974	2709	2771	2738	2608	2544	2627	2569	2614	random-points_range=1000
71157	68704	73504	72004	72935	71228	41610	29533	31296	29464	28939	74597	26955	27431	27062	25836	25610	26011	25527	25937	random-points_range=100
427722	419786	430806	423208	390176	394498	331560	292839	306323	291625	285375	392163	260000	265246	257412	248947	246110	253259	248961	250161	random-points_range=10
478870	474371	469179	465687	389565	427848	427580	418220	424738	435345	431149	440212	439953	427430	428483	425842	438441	432687	423218	424532	range-covered-pk_range=100
