hot-points_range=100,78413,77693,84479,84025,53993,78407,79654,79680,81411,81511,76470,76562,83876,80038,81452
point-query_range=100,895647,902931,882523,851979,822679,840361,839961,837790,834211,847316,807833,828705,813308,792557,828247
points-covered-pk_range=100,72785,70188,73638,73106,29832,29498,29104,76104,27182,27366,25904,25598,26044,25632,25916
points-covered-si_range=100,71088,68557,71612,70392,50787,74922,73570,66685,77191,77099,73299,58646,64552,62975,63243
points-notcovered-pk_range=100,70894,68214,71639,70722,29541,29438,28927,74284,26966,27458,25894,25615,26035,25470,25933
points-notcovered-si_range=100,41268,38939,40336,40037,20377,20777,20437,41279,18957,19310,18260,18531,18438,18120,18329
random-points_range=1000,7404,7172,7501,7508,2977,2997,2947,7974,2709,2771,2608,2544,2627,2569,2614
random-points_range=100,71157,68704,72004,71228,29533,29464,28939,74597,26955,27431,25836,25610,26011,25527,25937
random-points_range=10,427722,419786,423208,394498,292839,291625,285375,392163,260000,265246,248947,246110,253259,248961,250161
range-covered-pk_range=100,478870,474371,465687,427848,418220,435345,431149,440212,439953,427430,425842,438441,432687,423218,424532
range-covered-si_range=100,486910,480142,468488,433081,415850,442669,433256,429626,451236,438828,437497,441975,435872,424441,428131
range-notcovered-pk_range=100,448295,438664,431447,399891,394755,405975,405812,413349,412227,401127,403148,394090,392697,381773,384755
range-notcovered-si_range=100,75524,70508,74666,73936,27719,27666,27206,81329,25211,25606,24267,23762,24357,24063,24319
read-only-count_range=1000,151144,143681,141804,138719,122043,160165,151133,158999,153870,153714,152486,154715,154104,151858,152150
read-only-distinct_range=1000,322661,321189,321630,308930,309433,322273,319714,314897,313983,321772,319206,314370,313399,305823,304502
read-only-order_range=1000,436619,435093,431920,407499,408147,429806,427767,418345,417208,430025,424935,416959,411553,397629,401430
read-only_range=10000,16289,16209,20572,19894,20130,21087,20781,20463,20725,21261,21474,20607,20651,20379,19984
read-only_range=100,654440,656082,640582,604502,589951,614430,609258,607009,607540,607729,596989,597219,593936,576361,587617
read-only_range=10,808601,813926,780045,742265,717261,743065,745604,742030,737359,734209,714143,724810,713272,689593,717449
read-only-simple_range=1000,555294,549432,542569,527484,523025,537670,535522,542022,534661,541639,529701,513390,520735,499828,509702
read-only-sum_range=1000,656492,656367,638862,617782,616357,652017,637534,645915,638685,642527,625810,633585,632765,610051,632120
scan_range=100,5019,4844,4789,4830,3896,5504,5285,5852,4902,5021,3424,4149,3616,3709,3579
scan.warm_range=100,5107,4825,4892,4910,3898,5402,5210,5818,4982,4766,3495,4117,3668,3735,3668
delete_range=100,169380,146152,247804,248644,207626,255851,266897,201576,209181,212483,357311,353402,350470,350197,475727
insert_range=100,121721,111608,117201,118434,106068,110248,113562,90561,92337,93432,150634,149737,150685,152754,153660
read-write_range=100,534824,524624,513330,495481,483846,513118,505419,369611,366639,372948,519377,515407,510891,499096,510664
read-write_range=10,602045,593350,576453,559766,530818,562526,553774,403573,400404,405562,584687,581689,575224,561746,578769
update-index_range=100,94391,85144,106884,107977,40305,58725,87222,59685,46742,55156,114906,108883,109660,109610,109074
update-inlist_range=100,45938,46380,37671,37946,27712,27892,26545,23242,23386,23975,65378,63691,65476,63919,65015
update-nonindex_range=100,103128,94500,117530,118599,108680,116054,121182,90787,87225,92561,149509,148104,147587,148190,148976
update-one_range=100,65566,62230,74289,73856,70435,82324,79736,67588,66511,63476,85821,84987,84556,83370,84299
update-zipf_range=100,102873,94587,116780,118355,109731,117434,122223,91454,88631,91548,149525,147717,146819,148605,148707
write-only_range=10000,311277,294070,286552,285031,201997,240363,238195,222896,214775,222132,385248,383877,374633,372147,384152
