col-1 : x.my5651_rel_o2nofp.z12a_c32r128.pk1
col-2 : x.my5744_rel_o2nofp.z12a_c32r128.pk1
col-3 : x.my8043_rel_o2nofp.z12a_c32r128.pk1
col-4 : x.my8406_rel_o2nofp.z12a_c32r128.pk1
col-5 : x.my9400_rel_o2nofp.z12a_c32r128.pk1

col-1	col-2	col-3	col-4	col-5
23296	77841	59077	58734	59720	hot-points_range=100
480105	940832	780465	733127	731654	point-query_range=100
23728	70666	58100	57122	57917	points-covered-pk_range=100
78492	68721	58887	58612	60276	points-covered-si_range=100
23917	68980	56468	55614	56398	points-notcovered-pk_range=100
44523	38660	33917	33366	34132	points-notcovered-si_range=100
2336	7177	5975	5878	5968	random-points_range=1000
23834	69176	56737	55939	56723	random-points_range=100
233570	414438	331213	325716	320783	random-points_range=10
514351	469362	390413	382928	373725	range-covered-pk_range=100
536659	492923	426339	414873	407658	range-covered-si_range=100
484703	430692	350475	340652	337278	range-notcovered-pk_range=100
81235	69926	60301	58587	60051	range-notcovered-si_range=100
178941	151811	130830	127502	128466	read-only-count_range=1000
179919	326249	295388	289879	290728	read-only-distinct_range=1000
312220	455601	394048	384189	385803	read-only-order_range=1000
11393	11191	15547	15384	15459	read-only_range=10000
490571	658977	553028	539147	534591	read-only_range=100
589966	811815	676326	654966	644898	read-only_range=10
523046	558172	481307	464411	465901	read-only-simple_range=1000
601740	681551	586431	564946	562732	read-only-sum_range=1000
5869	5030	4311	4358	4315	scan_range=100
5893	5036	4389	4306	4287	scan.warm_range=100
76973	159708	247886	242234	236406	delete_range=100
60028	124901	120568	115568	117849	insert_range=100
306840	504335	377210	366884	366015	read-write_range=100
322201	557975	413515	401864	399903	read-write_range=10
11255	82839	79798	79640	79553	update-index_range=100
21946	41748	54728	50451	51233	update-inlist_range=100
47812	105050	108959	103634	104534	update-nonindex_range=100
49140	63983	65916	64854	65226	update-one_range=100
49481	105360	108810	103617	104098	update-zipf_range=100
105533	278753	271301	265140	264632	write-only_range=10000
