Relative to: x.ma120002_rel_withdbg.z12b_c32r128.pk1
col-1 : x.ma120101_rel_withdbg.z12b_c32r128.pk1
col-2 : x.ma120101_rel_withdbg.z12b_ahi1_c32r128.pk1
col-3 : x.ma120101_mdev16168_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3
1.02	1.43	1.01	hot-points_range=100
1.05	1.07	1.02	point-query_range=100
1.01	1.06	1.02	points-covered-pk_range=100
1.00	0.98	1.00	points-covered-si_range=100
1.02	1.07	1.03	points-notcovered-pk_range=100
1.01	1.01	1.02	points-notcovered-si_range=100
1.02	1.07	1.03	random-points_range=1000
1.02	1.06	1.03	random-points_range=100
1.00	1.05	1.02	random-points_range=10
1.00	1.01	0.98	range-covered-pk_range=100
1.01	1.00	0.99	range-covered-si_range=100
1.01	1.00	0.96	range-notcovered-pk_range=100
1.01	1.03	1.02	range-notcovered-si_range=100
1.00	1.01	1.02	read-only-count_range=1000
1.00	1.01	0.99	read-only-distinct_range=1000
1.01	1.03	0.97	read-only-order_range=1000
0.98	0.98	0.96	read-only_range=10000
1.02	1.04	1.00	read-only_range=100
1.04	1.06	1.02	read-only_range=10
1.02	1.04	0.98	read-only-simple_range=1000
1.04	1.07	1.03	read-only-sum_range=1000
0.96	0.98	0.93	scan_range=100
0.98	0.98	0.93	scan.warm_range=100
1.36	1.35	1.32	delete_range=100
1.01	0.98	1.01	insert_range=100
1.02	1.00	1.00	read-write_range=100
1.03	1.01	1.02	read-write_range=10
1.00	1.05	0.97	update-index_range=100
1.02	1.00	1.15	update-inlist_range=100
1.01	1.01	1.00	update-nonindex_range=100
1.01	1.01	1.01	update-one_range=100
1.00	1.01	1.00	update-zipf_range=100
1.03	0.90	1.02	write-only_range=10000
