Relative to: x.ma120101_rel_withdbg.z12b_c32r128.pk1
col-1 : x.ma120101_rel_withdbg.z12b_ahi1_c32r128.pk1
col-2 : x.ma120101_mdev16168_rel_withdbg.z12b_c32r128.pk1

col-1	col-2
1.41	0.99	hot-points_range=100
1.02	0.98	point-query_range=100
1.05	1.01	points-covered-pk_range=100
0.98	0.99	points-covered-si_range=100
1.05	1.01	points-notcovered-pk_range=100
1.00	1.01	points-notcovered-si_range=100
1.05	1.01	random-points_range=1000
1.04	1.01	random-points_range=100
1.04	1.01	random-points_range=10
1.00	0.98	range-covered-pk_range=100
0.99	0.98	range-covered-si_range=100
0.99	0.95	range-notcovered-pk_range=100
1.02	1.01	range-notcovered-si_range=100
1.01	1.01	read-only-count_range=1000
1.01	0.99	read-only-distinct_range=1000
1.02	0.96	read-only-order_range=1000
1.00	0.97	read-only_range=10000
1.02	0.98	read-only_range=100
1.02	0.98	read-only_range=10
1.02	0.96	read-only-simple_range=1000
1.03	0.99	read-only-sum_range=1000
1.01	0.96	scan_range=100
1.00	0.94	scan.warm_range=100
1.00	0.97	delete_range=100
0.98	1.00	insert_range=100
0.98	0.98	read-write_range=100
0.98	0.99	read-write_range=10
1.05	0.97	update-index_range=100
0.98	1.13	update-inlist_range=100
1.00	1.00	update-nonindex_range=100
1.00	1.00	update-one_range=100
1.01	1.00	update-zipf_range=100
0.87	0.99	write-only_range=10000
