hot-points_range=100,0.72,3.49
point-query_range=100,0.89,1.28
points-covered-pk_range=100,2.20,3.50
points-covered-si_range=100,0.93,1.42
points-notcovered-pk_range=100,2.14,2.76
points-notcovered-si_range=100,1.82,3.85
random-points_range=1000,2.25,3.03
random-points_range=100,2.16,2.81
random-points_range=10,1.30,1.89
range-covered-pk_range=100,0.90,0.95
range-covered-si_range=100,0.97,0.94
range-notcovered-pk_range=100,0.89,0.49
range-notcovered-si_range=100,2.41,6.68
read-only-count_range=1000,0.84,0.19
read-only-distinct_range=1000,0.95,0.55
read-only-order_range=1000,0.96,0.43
read-only_range=10000,0.77,0.37
read-only_range=100,0.92,0.80
read-only_range=10,0.91,1.18
read-only-simple_range=1000,0.91,0.47
read-only-sum_range=1000,0.89,0.47
scan_range=100,1.22,0.80
scan.warm_range=100,1.17,0.78
delete_range=100,0.51,1.86
insert_range=100,0.75,2.31
read-write_range=100,0.72,0.96
read-write_range=10,0.69,1.27
update-index_range=100,0.73,3.18
update-inlist_range=100,0.78,1.92
update-nonindex_range=100,0.70,2.89
update-one_range=100,0.77,1.16
update-zipf_range=100,0.70,2.91
write-only_range=10000,0.69,1.60
