Relative to: x.my5651_rel_o2nofp.z12a_c32r128.pk1
col-1 : x.my5744_rel_o2nofp.z12a_c32r128.pk1
col-2 : x.my8043_rel_o2nofp.z12a_c32r128.pk1
col-3 : x.my8406_rel_o2nofp.z12a_c32r128.pk1
col-4 : x.my9400_rel_o2nofp.z12a_c32r128.pk1

col-1	col-2	col-3	col-4
3.34	2.54	2.52	2.56	hot-points_range=100
1.96	1.63	1.53	1.52	point-query_range=100
2.98	2.45	2.41	2.44	points-covered-pk_range=100
0.88	0.75	0.75	0.77	points-covered-si_range=100
2.88	2.36	2.33	2.36	points-notcovered-pk_range=100
0.87	0.76	0.75	0.77	points-notcovered-si_range=100
3.07	2.56	2.52	2.55	random-points_range=1000
2.90	2.38	2.35	2.38	random-points_range=100
1.77	1.42	1.39	1.37	random-points_range=10
0.91	0.76	0.74	0.73	range-covered-pk_range=100
0.92	0.79	0.77	0.76	range-covered-si_range=100
0.89	0.72	0.70	0.70	range-notcovered-pk_range=100
0.86	0.74	0.72	0.74	range-notcovered-si_range=100
0.85	0.73	0.71	0.72	read-only-count_range=1000
1.81	1.64	1.61	1.62	read-only-distinct_range=1000
1.46	1.26	1.23	1.24	read-only-order_range=1000
0.98	1.36	1.35	1.36	read-only_range=10000
1.34	1.13	1.10	1.09	read-only_range=100
1.38	1.15	1.11	1.09	read-only_range=10
1.07	0.92	0.89	0.89	read-only-simple_range=1000
1.13	0.97	0.94	0.94	read-only-sum_range=1000
0.86	0.73	0.74	0.74	scan_range=100
0.85	0.74	0.73	0.73	scan.warm_range=100
2.07	3.22	3.15	3.07	delete_range=100
2.08	2.01	1.93	1.96	insert_range=100
1.64	1.23	1.20	1.19	read-write_range=100
1.73	1.28	1.25	1.24	read-write_range=10
7.36	7.09	7.08	7.07	update-index_range=100
1.90	2.49	2.30	2.33	update-inlist_range=100
2.20	2.28	2.17	2.19	update-nonindex_range=100
1.30	1.34	1.32	1.33	update-one_range=100
2.13	2.20	2.09	2.10	update-zipf_range=100
2.64	2.57	2.51	2.51	write-only_range=10000
