col-1 : x.my5651_rel_o2nofp.z12a_c8r32.pk1
col-2 : x.my5744_rel_o2nofp.z12a_c8r32.pk1
col-3 : x.my8043_rel_o2nofp.z12a_c8r32.pk1
col-4 : x.my8044_rel_o2nofp.z12a_c8r32.pk1
col-5 : x.my8406_rel_o2nofp.z12a_c8r32.pk1
col-6 : x.my8407_rel_o2nofp.z12a_c8r32.pk1
col-7 : x.my9400_rel_o2nofp.z12a_c8r32.pk1
col-8 : x.my9500_rel_o2nofp.z12a_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8
4533	3927	2870	3013	2968	2960	2916	2999	hot-points_range=100
24515	21618	16847	16798	16632	16383	16559	16016	point-query_range=100
2743	2430	1989	2024	1997	1999	1960	1984	points-covered-pk_range=100
2785	2525	2210	2236	2210	2197	2188	2211	points-covered-si_range=100
2604	2308	1894	1943	1897	1910	1893	1900	points-notcovered-pk_range=100
1579	1420	1209	1226	1210	1221	1213	1218	points-notcovered-si_range=100
261	264	216	221	218	218	216	220	random-points_range=1000
2617	2327	1903	1943	1917	1926	1911	1917	random-points_range=100
12577	11104	8723	8721	8618	8655	8504	8627	random-points_range=10
12954	10848	8933	9003	8901	8777	8614	8540	range-covered-pk_range=100
13834	11664	9737	9762	9727	9595	9547	9301	range-covered-si_range=100
11871	9993	7938	7899	7903	7752	7726	7653	range-notcovered-pk_range=100
3013	2652	2193	2228	2243	2236	2238	2217	range-notcovered-si_range=100
4509	3874	3133	3045	3116	3139	3095	3116	read-only-count_range=1000
5797	8328	7345	7230	7269	7263	7413	7323	read-only-distinct_range=1000
12864	11841	9779	9482	9666	9552	9749	9587	read-only-order_range=1000
472	578	473	467	476	474	482	477	read-only_range=10000
16656	15806	12963	12918	12779	12697	12804	12664	read-only_range=100
22448	19492	15723	15718	15521	15325	15413	15261	read-only_range=10
17049	14381	11687	11638	11598	11474	11622	11506	read-only-simple_range=1000
19183	16389	13372	13397	13035	13004	13184	12775	read-only-sum_range=1000
6553	5605	4473	4541	4506	4486	4538	4501	scan_range=100
6649	5502	4481	4530	4488	4471	4486	4549	scan.warm_range=100
14170	11783	8495	8433	8428	8340	8341	7968	delete_range=100
15010	12108	8259	8241	8121	8041	8291	7743	insert_range=100
15869	14843	11918	11772	11824	11612	11742	11586	read-write_range=100
19829	17349	13719	13528	13559	13363	13404	13287	read-write_range=10
3835	4612	3426	3387	3453	3335	3326	3580	update-index_range=100
6040	6174	4446	4364	4403	4327	4382	4268	update-inlist_range=100
12953	10941	7911	7813	7819	7734	7744	7490	update-nonindex_range=100
13246	11217	8130	8005	8014	7921	7881	7644	update-one_range=100
12829	10958	7975	7864	7878	7781	7799	7513	update-zipf_range=100
17245	16149	12009	11862	11968	11794	11867	11819	write-only_range=10000
