Relative to: x.my5651_rel_o2nofp.z12a_c8r32.pk1
col-1 : x.my5744_rel_o2nofp.z12a_c8r32.pk1
col-2 : x.my8043_rel_o2nofp.z12a_c8r32.pk1
col-3 : x.my8044_rel_o2nofp.z12a_c8r32.pk1
col-4 : x.my8406_rel_o2nofp.z12a_c8r32.pk1
col-5 : x.my8407_rel_o2nofp.z12a_c8r32.pk1
col-6 : x.my9400_rel_o2nofp.z12a_c8r32.pk1
col-7 : x.my9500_rel_o2nofp.z12a_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7
0.87	0.63	0.66	0.65	0.65	0.64	0.66	hot-points_range=100
0.88	0.69	0.69	0.68	0.67	0.68	0.65	point-query_range=100
0.89	0.73	0.74	0.73	0.73	0.71	0.72	points-covered-pk_range=100
0.91	0.79	0.80	0.79	0.79	0.79	0.79	points-covered-si_range=100
0.89	0.73	0.75	0.73	0.73	0.73	0.73	points-notcovered-pk_range=100
0.90	0.77	0.78	0.77	0.77	0.77	0.77	points-notcovered-si_range=100
1.01	0.83	0.85	0.84	0.84	0.83	0.84	random-points_range=1000
0.89	0.73	0.74	0.73	0.74	0.73	0.73	random-points_range=100
0.88	0.69	0.69	0.69	0.69	0.68	0.69	random-points_range=10
0.84	0.69	0.69	0.69	0.68	0.66	0.66	range-covered-pk_range=100
0.84	0.70	0.71	0.70	0.69	0.69	0.67	range-covered-si_range=100
0.84	0.67	0.67	0.67	0.65	0.65	0.64	range-notcovered-pk_range=100
0.88	0.73	0.74	0.74	0.74	0.74	0.74	range-notcovered-si_range=100
0.86	0.69	0.68	0.69	0.70	0.69	0.69	read-only-count_range=1000
1.44	1.27	1.25	1.25	1.25	1.28	1.26	read-only-distinct_range=1000
0.92	0.76	0.74	0.75	0.74	0.76	0.75	read-only-order_range=1000
1.22	1.00	0.99	1.01	1.00	1.02	1.01	read-only_range=10000
0.95	0.78	0.78	0.77	0.76	0.77	0.76	read-only_range=100
0.87	0.70	0.70	0.69	0.68	0.69	0.68	read-only_range=10
0.84	0.69	0.68	0.68	0.67	0.68	0.67	read-only-simple_range=1000
0.85	0.70	0.70	0.68	0.68	0.69	0.67	read-only-sum_range=1000
0.86	0.68	0.69	0.69	0.68	0.69	0.69	scan_range=100
0.83	0.67	0.68	0.67	0.67	0.67	0.68	scan.warm_range=100
0.83	0.60	0.60	0.59	0.59	0.59	0.56	delete_range=100
0.81	0.55	0.55	0.54	0.54	0.55	0.52	insert_range=100
0.94	0.75	0.74	0.75	0.73	0.74	0.73	read-write_range=100
0.87	0.69	0.68	0.68	0.67	0.68	0.67	read-write_range=10
1.20	0.89	0.88	0.90	0.87	0.87	0.93	update-index_range=100
1.02	0.74	0.72	0.73	0.72	0.73	0.71	update-inlist_range=100
0.84	0.61	0.60	0.60	0.60	0.60	0.58	update-nonindex_range=100
0.85	0.61	0.60	0.61	0.60	0.59	0.58	update-one_range=100
0.85	0.62	0.61	0.61	0.61	0.61	0.59	update-zipf_range=100
0.94	0.70	0.69	0.69	0.68	0.69	0.69	write-only_range=10000
