col-1 : x.my5651_rel_o2nofp.z12a_c32r128.pk1
col-2 : x.my5744_rel_o2nofp.z12a_c32r128.pk1
col-3 : x.my8043_rel_o2nofp.z12a_c32r128.pk1
col-4 : x.my8044_rel_o2nofp.z12a_c32r128.pk1
col-5 : x.my8406_rel_o2nofp.z12a_c32r128.pk1
col-6 : x.my8407_rel_o2nofp.z12a_c32r128.pk1
col-7 : x.my9400_rel_o2nofp.z12a_c32r128.pk1
col-8 : x.my9500_rel_o2nofp.z12a_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7	col-8
23296	77841	59077	60045	58734	58270	59720	60569	hot-points_range=100
480105	940832	780465	754616	733127	721374	731654	679340	point-query_range=100
23728	70666	58100	57725	57122	57423	57917	58855	points-covered-pk_range=100
78492	68721	58887	59399	58612	58946	60276	61245	points-covered-si_range=100
23917	68980	56468	56147	55614	55955	56398	57332	points-notcovered-pk_range=100
44523	38660	33917	33859	33366	33553	34132	34382	points-notcovered-si_range=100
2336	7177	5975	5947	5878	5927	5968	6093	random-points_range=1000
23834	69176	56737	56376	55939	56258	56723	57565	random-points_range=100
233570	414438	331213	326039	325716	319385	320783	316027	random-points_range=10
514351	469362	390413	375629	382928	370077	373725	365128	range-covered-pk_range=100
536659	492923	426339	403006	414873	400154	407658	392739	range-covered-si_range=100
484703	430692	350475	332802	340652	332076	337278	329024	range-notcovered-pk_range=100
81235	69926	60301	59656	58587	59351	60051	60969	range-notcovered-si_range=100
178941	151811	130830	130115	127502	126044	128466	126359	read-only-count_range=1000
179919	326249	295388	287906	289879	284707	290728	283770	read-only-distinct_range=1000
312220	455601	394048	380863	384189	375049	385803	373992	read-only-order_range=1000
11393	11191	15547	15434	15384	15362	15459	15375	read-only_range=10000
490571	658977	553028	531537	539147	523484	534591	513618	read-only_range=100
589966	811815	676326	650866	654966	637825	644898	618402	read-only_range=10
523046	558172	481307	455304	464411	451746	465901	451536	read-only-simple_range=1000
601740	681551	586431	566324	564946	553628	562732	540470	read-only-sum_range=1000
5869	5030	4311	4343	4358	4280	4315	4277	scan_range=100
5893	5036	4389	4439	4306	4302	4287	4277	scan.warm_range=100
76973	159708	247886	241764	242234	231944	236406	208015	delete_range=100
60028	124901	120568	119588	115568	115079	117849	100498	insert_range=100
306840	504335	377210	367471	366884	358663	366015	353081	read-write_range=100
322201	557975	413515	402452	401864	391896	399903	384800	read-write_range=10
11255	82839	79798	79315	79640	78360	79553	76201	update-index_range=100
21946	41748	54728	52379	50451	49648	51233	47932	update-inlist_range=100
47812	105050	108959	108882	103634	103467	104534	98342	update-nonindex_range=100
49140	63983	65916	66282	64854	64468	65226	61300	update-one_range=100
49481	105360	108810	108523	103617	102699	104098	98027	update-zipf_range=100
105533	278753	271301	266770	265140	259611	264632	248697	write-only_range=10000
