Relative to: x.my5651_rel_o2nofp.z12a_c32r128.pk1
col-1 : x.my5744_rel_o2nofp.z12a_c32r128.pk1
col-2 : x.my8043_rel_o2nofp.z12a_c32r128.pk1
col-3 : x.my8044_rel_o2nofp.z12a_c32r128.pk1
col-4 : x.my8406_rel_o2nofp.z12a_c32r128.pk1
col-5 : x.my8407_rel_o2nofp.z12a_c32r128.pk1
col-6 : x.my9400_rel_o2nofp.z12a_c32r128.pk1
col-7 : x.my9500_rel_o2nofp.z12a_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7
3.34	2.54	2.58	2.52	2.50	2.56	2.60	hot-points_range=100
1.96	1.63	1.57	1.53	1.50	1.52	1.41	point-query_range=100
2.98	2.45	2.43	2.41	2.42	2.44	2.48	points-covered-pk_range=100
0.88	0.75	0.76	0.75	0.75	0.77	0.78	points-covered-si_range=100
2.88	2.36	2.35	2.33	2.34	2.36	2.40	points-notcovered-pk_range=100
0.87	0.76	0.76	0.75	0.75	0.77	0.77	points-notcovered-si_range=100
3.07	2.56	2.55	2.52	2.54	2.55	2.61	random-points_range=1000
2.90	2.38	2.37	2.35	2.36	2.38	2.42	random-points_range=100
1.77	1.42	1.40	1.39	1.37	1.37	1.35	random-points_range=10
0.91	0.76	0.73	0.74	0.72	0.73	0.71	range-covered-pk_range=100
0.92	0.79	0.75	0.77	0.75	0.76	0.73	range-covered-si_range=100
0.89	0.72	0.69	0.70	0.69	0.70	0.68	range-notcovered-pk_range=100
0.86	0.74	0.73	0.72	0.73	0.74	0.75	range-notcovered-si_range=100
0.85	0.73	0.73	0.71	0.70	0.72	0.71	read-only-count_range=1000
1.81	1.64	1.60	1.61	1.58	1.62	1.58	read-only-distinct_range=1000
1.46	1.26	1.22	1.23	1.20	1.24	1.20	read-only-order_range=1000
0.98	1.36	1.35	1.35	1.35	1.36	1.35	read-only_range=10000
1.34	1.13	1.08	1.10	1.07	1.09	1.05	read-only_range=100
1.38	1.15	1.10	1.11	1.08	1.09	1.05	read-only_range=10
1.07	0.92	0.87	0.89	0.86	0.89	0.86	read-only-simple_range=1000
1.13	0.97	0.94	0.94	0.92	0.94	0.90	read-only-sum_range=1000
0.86	0.73	0.74	0.74	0.73	0.74	0.73	scan_range=100
0.85	0.74	0.75	0.73	0.73	0.73	0.73	scan.warm_range=100
2.07	3.22	3.14	3.15	3.01	3.07	2.70	delete_range=100
2.08	2.01	1.99	1.93	1.92	1.96	1.67	insert_range=100
1.64	1.23	1.20	1.20	1.17	1.19	1.15	read-write_range=100
1.73	1.28	1.25	1.25	1.22	1.24	1.19	read-write_range=10
7.36	7.09	7.05	7.08	6.96	7.07	6.77	update-index_range=100
1.90	2.49	2.39	2.30	2.26	2.33	2.18	update-inlist_range=100
2.20	2.28	2.28	2.17	2.16	2.19	2.06	update-nonindex_range=100
1.30	1.34	1.35	1.32	1.31	1.33	1.25	update-one_range=100
2.13	2.20	2.19	2.09	2.08	2.10	1.98	update-zipf_range=100
2.64	2.57	2.53	2.51	2.46	2.51	2.36	write-only_range=10000
