col-1 : x.pg176_o2nofp.x10a_c8r32.pk1
col-2 : x.pg180_o2nofp.x10b_c8r32.pk1
col-3 : x.pg180_o2nofp.x10c_c8r32.pk1
col-4 : x.pg180_o2nofp.x10d_c8r32.pk1

col-1	col-2	col-3	col-4
9566	9615	9673	9281	hot-points_range=100
26916	27066	26996	26662	point-query_range=100
2513	2550	2536	2521	points-covered-pk_range=100
2523	2556	2575	2557	points-covered-si_range=100
2017	2038	2036	2011	points-notcovered-pk_range=100
2010	2040	1998	2004	points-notcovered-si_range=100
226	231	230	233	random-points_range=1000
2054	2074	2050	2039	random-points_range=100
12341	12375	12390	12236	random-points_range=10
11594	11436	11455	11363	range-covered-pk_range=100
10579	10603	10519	10552	range-covered-si_range=100
7481	7476	7409	7336	range-notcovered-pk_range=100
5097	5063	5050	5037	range-notcovered-si_range=100
2198	2229	2195	2220	read-only-count_range=1000
6398	6439	6408	6384	read-only-distinct_range=1000
6907	6870	6875	6797	read-only-order_range=1000
342	344	343	343	read-only_range=10000
15529	15338	15348	15202	read-only_range=100
22536	22098	22271	22004	read-only_range=10
12633	12711	12662	12541	read-only-simple_range=1000
15308	15260	15232	15101	read-only-sum_range=1000
3013	3135	3147	3127	scan_range=100
3006	3111	3090	3134	scan.warm_range=100
24163	24070	24067	23821	delete_range=100
15046	14865	14826	14693	insert_range=100
15835	15701	15610	15568	read-write_range=100
21445	21035	21252	20988	read-write_range=10
16810	16680	16793	16627	update-index_range=100
7046	6996	7045	7026	update-inlist_range=100
18880	18608	18825	18515	update-nonindex_range=100
20364	20088	20217	20039	update-one_range=100
18998	18869	18960	18732	update-zipf_range=100
24248	24288	24369	24080	write-only_range=10000
