hot-points_range=100,4697,4957,4916,4918,5117,9566,9615
point-query_range=100,25946,26166,26693,26686,26486,26916,27066
points-covered-pk_range=100,2530,2535,2513,2513,2604,2513,2550
points-covered-si_range=100,2488,2577,2554,2539,2618,2523,2556
points-notcovered-pk_range=100,2001,2016,2011,2017,2073,2017,2038
points-notcovered-si_range=100,1971,1998,2009,2023,2060,2010,2040
random-points_range=1000,226,231,227,230,237,226,231
random-points_range=100,2024,2053,2054,2043,2089,2054,2074
random-points_range=10,12251,12328,12413,12393,12520,12341,12375
range-covered-pk_range=100,11678,11610,11692,11680,11729,11594,11436
range-covered-si_range=100,10698,10803,10774,10692,10721,10579,10603
range-notcovered-pk_range=100,7457,7452,7460,7534,7552,7481,7476
range-notcovered-si_range=100,5017,5027,5003,5013,5056,5097,5063
read-only-count_range=1000,2163,2243,2202,2172,2272,2198,2229
read-only-distinct_range=1000,6216,6227,6232,6393,6471,6398,6439
read-only-order_range=1000,6498,6477,6488,6729,6753,6907,6870
read-only_range=10000,322,324,324,334,343,342,344
read-only_range=100,15154,15206,15227,15250,15351,15529,15338
read-only_range=10,22243,22245,22237,22211,21957,22536,22098
read-only-simple_range=1000,12297,12422,12366,12553,12577,12633,12711
read-only-sum_range=1000,14971,15190,15036,15019,15362,15308,15260
scan_range=100,2606,2614,3391,3093,3085,3013,3135
scan.warm_range=100,2608,2411,3358,3040,3040,3006,3111
delete_range=100,21450,21578,21928,21632,22003,24163,24070
insert_range=100,14188,13976,13930,13809,13844,15046,14865
read-write_range=100,15461,15354,15514,15516,15601,15835,15701
read-write_range=10,20820,20708,20944,20976,20967,21445,21035
update-index_range=100,15465,15397,15397,15562,15448,16810,16680
update-inlist_range=100,6423,6395,7043,6992,7003,7046,6996
update-nonindex_range=100,16392,16835,17201,17346,17261,18880,18608
update-one_range=100,19031,18930,18591,18757,18694,20364,20088
update-zipf_range=100,16136,16349,16855,17045,16932,18998,18869
write-only_range=10000,22753,22397,22900,23058,22491,24248,24288
