Relative to: x.pg176_o2nofp.x10a_c8r32.pk1
col-1 : x.pg180_o2nofp.x10b_c8r32.pk1
col-2 : x.pg180_o2nofp.x10c_c8r32.pk1
col-3 : x.pg180_o2nofp.x10d_c8r32.pk1

col-1	col-2	col-3
1.01	1.01	0.97	hot-points_range=100
1.01	1.00	0.99	point-query_range=100
1.01	1.01	1.00	points-covered-pk_range=100
1.01	1.02	1.01	points-covered-si_range=100
1.01	1.01	1.00	points-notcovered-pk_range=100
1.01	0.99	1.00	points-notcovered-si_range=100
1.02	1.02	1.03	random-points_range=1000
1.01	1.00	0.99	random-points_range=100
1.00	1.00	0.99	random-points_range=10
0.99	0.99	0.98	range-covered-pk_range=100
1.00	0.99	1.00	range-covered-si_range=100
1.00	0.99	0.98	range-notcovered-pk_range=100
0.99	0.99	0.99	range-notcovered-si_range=100
1.01	1.00	1.01	read-only-count_range=1000
1.01	1.00	1.00	read-only-distinct_range=1000
0.99	1.00	0.98	read-only-order_range=1000
1.01	1.00	1.00	read-only_range=10000
0.99	0.99	0.98	read-only_range=100
0.98	0.99	0.98	read-only_range=10
1.01	1.00	0.99	read-only-simple_range=1000
1.00	1.00	0.99	read-only-sum_range=1000
1.04	1.04	1.04	scan_range=100
1.03	1.03	1.04	scan.warm_range=100
1.00	1.00	0.99	delete_range=100
0.99	0.99	0.98	insert_range=100
0.99	0.99	0.98	read-write_range=100
0.98	0.99	0.98	read-write_range=10
0.99	1.00	0.99	update-index_range=100
0.99	1.00	1.00	update-inlist_range=100
0.99	1.00	0.98	update-nonindex_range=100
0.99	0.99	0.98	update-one_range=100
0.99	1.00	0.99	update-zipf_range=100
1.00	1.00	0.99	write-only_range=10000
