Relative to: x.pg1222_o2nofp.x10a_c8r32.pk1
col-1 : x.pg1322_o2nofp.x10a_c8r32.pk1
col-2 : x.pg1419_o2nofp.x10a_c8r32.pk1
col-3 : x.pg1514_o2nofp.x10a_c8r32.pk1
col-4 : x.pg1610_o2nofp.x10a_c8r32.pk1
col-5 : x.pg176_o2nofp.x10a_c8r32.pk1
col-6 : x.pg180_o2nofp.x10b_c8r32.pk1

col-1	col-2	col-3	col-4	col-5	col-6
1.06	1.05	1.05	1.09	2.04	2.05	hot-points_range=100
1.01	1.03	1.03	1.02	1.04	1.04	point-query_range=100
1.00	0.99	0.99	1.03	0.99	1.01	points-covered-pk_range=100
1.04	1.03	1.02	1.05	1.01	1.03	points-covered-si_range=100
1.01	1.00	1.01	1.04	1.01	1.02	points-notcovered-pk_range=100
1.01	1.02	1.03	1.05	1.02	1.04	points-notcovered-si_range=100
1.02	1.00	1.02	1.05	1.00	1.02	random-points_range=1000
1.01	1.01	1.01	1.03	1.01	1.02	random-points_range=100
1.01	1.01	1.01	1.02	1.01	1.01	random-points_range=10
0.99	1.00	1.00	1.00	0.99	0.98	range-covered-pk_range=100
1.01	1.01	1.00	1.00	0.99	0.99	range-covered-si_range=100
1.00	1.00	1.01	1.01	1.00	1.00	range-notcovered-pk_range=100
1.00	1.00	1.00	1.01	1.02	1.01	range-notcovered-si_range=100
1.04	1.02	1.00	1.05	1.02	1.03	read-only-count_range=1000
1.00	1.00	1.03	1.04	1.03	1.04	read-only-distinct_range=1000
1.00	1.00	1.04	1.04	1.06	1.06	read-only-order_range=1000
1.01	1.01	1.04	1.07	1.06	1.07	read-only_range=10000
1.00	1.00	1.01	1.01	1.02	1.01	read-only_range=100
1.00	1.00	1.00	0.99	1.01	0.99	read-only_range=10
1.01	1.01	1.02	1.02	1.03	1.03	read-only-simple_range=1000
1.01	1.00	1.00	1.03	1.02	1.02	read-only-sum_range=1000
1.00	1.30	1.19	1.18	1.16	1.20	scan_range=100
0.92	1.29	1.17	1.17	1.15	1.19	scan.warm_range=100
1.01	1.02	1.01	1.03	1.13	1.12	delete_range=100
0.99	0.98	0.97	0.98	1.06	1.05	insert_range=100
0.99	1.00	1.00	1.01	1.02	1.02	read-write_range=100
0.99	1.01	1.01	1.01	1.03	1.01	read-write_range=10
1.00	1.00	1.01	1.00	1.09	1.08	update-index_range=100
1.00	1.10	1.09	1.09	1.10	1.09	update-inlist_range=100
1.03	1.05	1.06	1.05	1.15	1.14	update-nonindex_range=100
0.99	0.98	0.99	0.98	1.07	1.06	update-one_range=100
1.01	1.04	1.06	1.05	1.18	1.17	update-zipf_range=100
0.98	1.01	1.01	0.99	1.07	1.07	write-only_range=10000
