col-1 : x.pg180_o2nofp.x10b_c32r128.pk1
col-2 : x.pg181_o2nofp.x10b_c32r128.pk1

col-1	col-2
284565	274106	hot-points_range=100
1056784	1027818	point-query_range=100
90737	90292	points-covered-pk_range=100
89895	88117	points-covered-si_range=100
71694	71652	points-notcovered-pk_range=100
70615	69680	points-notcovered-si_range=100
7930	7918	random-points_range=1000
72962	72418	random-points_range=100
472548	465161	random-points_range=10
403267	394650	range-covered-pk_range=100
400537	391414	range-covered-si_range=100
188403	183923	range-notcovered-pk_range=100
162538	160771	range-notcovered-si_range=100
29349	29825	read-only-count_range=1000
167211	165316	read-only-distinct_range=1000
172447	170511	read-only-order_range=1000
7308	7245	read-only_range=10000
468790	461256	read-only_range=100
844430	830284	read-only_range=10
239790	236121	read-only-simple_range=1000
299905	299188	read-only-sum_range=1000
2876	2846	scan_range=100
2878	2848	scan.warm_range=100
884127	872074	delete_range=100
355384	345831	insert_range=100
488063	484660	read-write_range=100
733432	709664	read-write_range=10
347005	325406	update-index_range=100
125151	123473	update-inlist_range=100
431250	416756	update-nonindex_range=100
98155	87784	update-one_range=100
432954	419319	update-zipf_range=100
614572	593518	write-only_range=10000
