Relative to: x.pg1222_o2nofp.x10a_c32r128.pk1
col-1 : x.pg1323_o2nofp.x10a_c32r128.pk1
col-2 : x.pg1420_o2nofp.x10a_c32r128.pk1
col-3 : x.pg1515_o2nofp.x10a_c32r128.pk1
col-4 : x.pg1611_o2nofp.x10a_c32r128.pk1
col-5 : x.pg177_o2nofp.x10a_c32r128.pk1
col-6 : x.pg181_o2nofp.x10b_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6
0.99	0.99	0.93	1.02	2.43	2.44	hot-points_range=100
0.98	1.01	1.00	1.01	1.03	1.03	point-query_range=100
1.02	1.04	1.04	1.05	1.03	1.03	points-covered-pk_range=100
1.03	1.07	1.04	1.05	1.06	1.03	points-covered-si_range=100
1.00	1.02	1.02	1.02	1.00	1.01	points-notcovered-pk_range=100
1.00	1.04	1.03	1.03	1.03	1.01	points-notcovered-si_range=100
1.01	1.03	1.03	1.03	1.02	1.02	random-points_range=1000
1.00	1.03	1.03	1.03	1.01	1.01	random-points_range=100
0.99	1.01	1.02	1.02	1.00	1.00	random-points_range=10
1.03	1.03	1.04	1.05	1.02	1.01	range-covered-pk_range=100
1.04	1.04	1.04	1.05	1.01	1.01	range-covered-si_range=100
0.99	1.00	1.00	1.01	0.98	0.97	range-notcovered-pk_range=100
0.98	1.00	0.99	1.00	0.98	1.00	range-notcovered-si_range=100
1.04	0.99	0.98	0.99	0.96	0.98	read-only-count_range=1000
1.02	1.00	0.99	1.00	0.97	0.99	read-only-distinct_range=1000
1.01	0.99	0.99	1.02	0.99	0.99	read-only-order_range=1000
1.00	1.00	1.02	1.05	1.03	1.04	read-only_range=10000
0.99	1.00	1.00	1.01	1.00	1.00	read-only_range=100
0.97	0.99	0.98	0.98	0.99	0.99	read-only_range=10
1.00	0.98	0.97	0.99	0.95	0.97	read-only-simple_range=1000
1.02	0.98	0.98	0.99	0.96	0.99	read-only-sum_range=1000
1.00	1.15	1.15	1.16	1.04	1.18	scan_range=100
1.02	1.16	1.16	1.17	1.05	1.19	scan.warm_range=100
0.96	1.06	1.05	1.04	1.26	1.25	delete_range=100
1.01	1.05	1.01	1.00	1.05	1.05	insert_range=100
0.99	1.00	1.00	1.00	1.01	1.02	read-write_range=100
0.98	0.99	1.01	0.99	1.02	1.01	read-write_range=10
0.97	1.12	1.06	0.95	1.70	1.67	update-index_range=100
0.99	1.05	1.04	1.02	1.10	1.12	update-inlist_range=100
0.91	1.01	0.98	0.85	1.67	1.64	update-nonindex_range=100
1.01	1.00	0.97	0.88	1.32	1.27	update-one_range=100
0.99	1.03	0.98	0.90	1.44	1.44	update-zipf_range=100
0.96	1.05	1.06	1.02	1.23	1.24	write-only_range=10000
