col-1 : x.ma100623_ent.z12b_c32r128.pk1
col-2 : x.ma110408_ent.z12b_c32r128.pk1
col-3 : x.ma110803_ent.z12b_c32r128.pk1.v2

col-1	col-2	col-3
54905	54799	54969	hot-points_range=100
372261	375172	375465	point-query_range=100
27207	27029	27799	points-covered-pk_range=100
36993	36981	37084	points-covered-si_range=100
26580	26288	27028	points-notcovered-pk_range=100
17774	17712	17955	points-notcovered-si_range=100
164508	163072	166177	random-points_range=10
26663	26394	27088	random-points_range=100
2787	2769	2818	random-points_range=1000
196890	195993	196795	range-covered-pk_range=100
205880	205465	206532	range-covered-si_range=100
167826	167193	167800	range-notcovered-pk_range=100
28428	28203	29103	range-notcovered-si_range=100
58446	58233	58374	read-only-count_range=1000
123124	123211	123328	read-only-distinct_range=1000
167373	167562	167606	read-only-order_range=1000
237224	237068	238732	read-only-simple_range=1000
271805	271379	274706	read-only-sum_range=1000
340347	340461	343614	read-only_range=10
257457	258715	259898	read-only_range=100
8474	8480	8490	read-only_range=10000
6802	6879	6814	scan_range=100
6778	6759	6776	scan.warm_range=100
184626	184308	187588	delete_range=100
102922	102808	102772	insert_range=100
269266	268793	271351	read-write_range=10
223579	223078	224082	read-write_range=100
71426	71216	71460	update-index_range=100
29640	29577	29620	update-inlist_range=100
95811	95528	95945	update-nonindex_range=100
89291	88882	89313	update-one_range=100
97248	96881	97273	update-zipf_range=100
193639	193758	193653	write-only_range=10000
