Relative to: x.ma100623_rel_withdbg.z12a_c32r128.pk1
col-1 : x.ma101114_rel_withdbg.z12a_c32r128.pk1
col-2 : x.ma110408_rel_withdbg.z12b_c32r128.pk1
col-3 : x.ma110803_rel_withdbg.z12b_c32r128.pk1
col-4 : x.ma120101_rel_withdbg.z12b_c32r128.pk1

col-1	col-2	col-3	col-4
0.96	0.97	1.06	1.03	hot-points_range=100
1.01	1.01	1.00	0.99	point-query_range=100
0.88	0.88	0.88	0.87	points-covered-pk_range=100
0.99	0.78	0.86	0.84	points-covered-si_range=100
0.88	0.88	0.89	0.88	points-notcovered-pk_range=100
0.88	0.88	0.89	0.87	points-notcovered-si_range=100
0.87	0.87	0.88	0.87	random-points_range=1000
0.88	0.88	0.88	0.87	random-points_range=100
0.87	0.87	0.86	0.86	random-points_range=10
1.01	1.01	1.00	0.97	range-covered-pk_range=100
1.00	1.00	0.98	0.95	range-covered-si_range=100
1.02	0.97	0.97	0.93	range-notcovered-pk_range=100
0.87	0.88	0.88	0.87	range-notcovered-si_range=100
0.98	0.95	0.97	0.95	read-only-count_range=1000
1.00	0.98	0.98	0.94	read-only-distinct_range=1000
1.01	0.98	0.97	0.93	read-only-order_range=1000
1.02	0.98	0.98	0.94	read-only_range=10000
1.00	0.98	0.98	0.96	read-only_range=100
1.00	0.99	0.98	0.97	read-only_range=10
1.01	0.95	0.97	0.94	read-only-simple_range=1000
1.00	0.99	0.99	0.98	read-only-sum_range=1000
0.79	0.63	0.69	0.66	scan_range=100
0.69	0.63	0.69	0.66	scan.warm_range=100
1.57	1.54	1.55	1.56	delete_range=100
1.35	1.35	1.36	1.37	insert_range=100
1.04	1.02	1.02	1.00	read-write_range=100
1.06	1.05	1.04	1.04	read-write_range=10
2.29	2.14	2.12	2.14	update-index_range=100
2.36	2.27	2.31	2.29	update-inlist_range=100
1.29	1.26	1.28	1.28	update-nonindex_range=100
1.04	1.03	1.02	1.02	update-one_range=100
1.27	1.25	1.26	1.27	update-zipf_range=100
1.62	1.59	1.59	1.61	write-only_range=10000
