col-1 : x.pg1222_o2nofp.x10a_c32r128.pk1
col-2 : x.pg1322_o2nofp.x10a_c32r128.pk1
col-3 : x.pg1419_o2nofp.x10a_c32r128.pk1
col-4 : x.pg1514_o2nofp.x10a_c32r128.pk1
col-5 : x.pg1610_o2nofp.x10a_c32r128.pk1
col-6 : x.pg176_o2nofp.x10a_c32r128.pk1
col-7 : x.pg180_o2nofp.x10b_c32r128.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7
72716	73816	73032	73348	72905	140708	136174	hot-points_range=100
402447	404576	409248	409141	401663	410022	398720	point-query_range=100
49571	50582	50722	50112	50921	50202	50308	points-covered-pk_range=100
49015	49319	51087	50540	51414	50488	50183	points-covered-si_range=100
38658	38940	39126	39140	39349	39283	38652	points-notcovered-pk_range=100
37632	37615	38805	38469	38670	38507	38025	points-notcovered-si_range=100
4351	4397	4444	4455	4475	4350	4358	random-points_range=1000
39018	39365	39717	39732	39783	39659	39004	random-points_range=100
210562	214158	216944	214936	214207	213227	210865	random-points_range=10
194246	193351	198532	197655	196347	194768	188009	range-covered-pk_range=100
188946	188782	192682	192265	190576	189581	183982	range-covered-si_range=100
103763	104285	103607	104196	104058	103095	100844	range-notcovered-pk_range=100
80836	80393	81061	80746	80040	81683	81040	range-notcovered-si_range=100
23118	23500	23125	23187	23242	22475	22260	read-only-count_range=1000
97065	97450	97255	98905	98684	94870	95636	read-only-distinct_range=1000
99530	100072	99952	102279	102661	99925	100579	read-only-order_range=1000
4657	4665	4564	4669	4929	4440	4599	read-only_range=10000
227812	226948	227407	228907	227495	226697	223522	read-only_range=100
343679	344555	345801	346515	343288	346707	336289	read-only_range=10
146335	147742	146400	148825	147243	146791	145393	read-only-simple_range=1000
192251	192080	192279	194414	192247	189669	188539	read-only-sum_range=1000
2329	2272	2889	2596	2632	2694	2602	scan_range=100
2327	2297	2896	2598	2631	2689	2655	scan.warm_range=100
308151	306678	331916	331502	323036	384162	381643	delete_range=100
201181	203285	212135	208498	208199	215344	213267	insert_range=100
214573	213993	227319	229060	229604	235033	234579	read-write_range=100
288376	287268	309610	310795	307965	327270	324632	read-write_range=10
158621	156310	165349	164310	143122	227252	226384	update-index_range=100
79082	79025	85854	85632	85719	87993	90655	update-inlist_range=100
195105	194673	205362	203922	202975	263018	260736	update-nonindex_range=100
67551	68721	64325	64766	63062	80463	80296	update-one_range=100
215512	215045	226513	231779	229748	266057	261790	update-zipf_range=100
281434	283786	297117	296144	284571	351256	342192	write-only_range=10000
