col-1 : 24
col-2 : x.pg180_o2nofp.x10b_c32r128.pk1
col-3 : x.pg180_o2nofp.x10c_c32r128.pk1
col-4 : x.pg180_o2nofp.x10d_c32r128.pk1

col-1	col-2	col-3	col-4
	139731	141941	141109	
	408895	409863	407479	
	49821	49823	49631	
	50557	51179	50686	
	38603	37994	38817	
	38081	38082	38476	
	4317	4326	4333	
	38989	38676	39175	
	212149	212186	213867	
	192344	193672	191903	
	187151	188193	186724	
	100642	101347	101221	
	80130	80997	81029	
	22195	22275	22388	
	95751	95688	95640	
	100353	100382	100981	
	4570	4588	4584	
	224452	224430	224331	
	342167	342456	341273	
	143526	144014	145451	
	188401	188772	188913	
	2732	2735	2690	
	2728	2739	2694	
	379527	379398	382433	
	209521	211148	212782	
	232346	232624	230497	
	322538	322582	323323	
	223032	225005	222767	
	83926	85159	89810	
	261499	263897	261990	
	80834	80637	80159	
	262240	265724	264018	
	350496	344941	339205	
