Relative to: 24
col-1 : x.pg180_o2nofp.x10b_c32r128.pk1
col-2 : x.pg180_o2nofp.x10c_c32r128.pk1
col-3 : x.pg180_o2nofp.x10d_c32r128.pk1

col-1	col-2	col-3
1.02	1.01	
1.00	1.00	
1.00	1.00	
1.01	1.00	
0.98	1.01	
1.00	1.01	
1.00	1.00	
0.99	1.00	
1.00	1.01	
1.01	1.00	
1.01	1.00	
1.01	1.01	
1.01	1.01	
1.00	1.01	
1.00	1.00	
1.00	1.01	
1.00	1.00	
1.00	1.00	
1.00	1.00	
1.00	1.01	
1.00	1.00	
1.00	0.98	
1.00	0.99	
1.00	1.01	
1.01	1.02	
1.00	0.99	
1.00	1.00	
1.01	1.00	
1.01	1.07	
1.01	1.00	
1.00	0.99	
1.01	1.01	
0.98	0.97	
