col-1 : x.pg1222_o2nofp.x10a_c24r64.pk1
col-2 : x.pg1322_o2nofp.x10a_c24r64.pk1
col-3 : x.pg1419_o2nofp.x10a_c24r64.pk1
col-4 : x.pg1514_o2nofp.x10a_c24r64.pk1
col-5 : x.pg1610_o2nofp.x10a_c24r64.pk1
col-6 : x.pg176_o2nofp.x10a_c24r64.pk1
col-7 : x.pg180_o2nofp.x10b_c24r64.pk1

col-1	col-2	col-3	col-4	col-5	col-6	col-7
41128	40450	39685	40828	40213	87597	87505	hot-points_range=100
327119	327336	333277	330538	332515	336000	331520	point-query_range=100
25055	24696	26213	26268	26955	26762	26343	points-covered-pk_range=100
24997	24818	27082	26342	26774	26705	26331	points-covered-si_range=100
19854	19573	20682	20834	21144	21323	20765	points-notcovered-pk_range=100
19664	19484	20674	20458	20655	20765	20388	points-notcovered-si_range=100
2271	2221	2334	2365	2400	2404	2355	random-points_range=1000
20054	19700	20862	21135	21444	21537	20987	random-points_range=100
142507	141024	145997	147252	149794	149799	148094	random-points_range=10
133342	136524	138449	137903	138306	136914	134502	range-covered-pk_range=100
122562	128622	131595	130262	130296	130245	128138	range-covered-si_range=100
67833	67254	67863	68133	68067	68174	66621	range-notcovered-pk_range=100
49552	48133	49110	49367	50069	50121	50278	range-notcovered-si_range=100
14323	14045	13946	13934	14366	14052	13929	read-only-count_range=1000
57507	57042	57159	58636	58613	58121	57081	read-only-distinct_range=1000
60007	59716	59359	61197	62720	63125	61323	read-only-order_range=1000
2541	2510	2512	2647	2731	2775	2683	read-only_range=10000
159744	158807	159078	160132	161841	162289	158441	read-only_range=100
269192	268194	269075	270233	270864	272712	269968	read-only_range=10
98728	98143	97576	98282	99264	99852	98072	read-only-simple_range=1000
133725	131525	131973	132372	134100	133549	131490	read-only-sum_range=1000
1890	1632	2010	2042	2204	2238	2268	scan_range=100
1883	1609	1993	1982	2187	2265	2266	scan.warm_range=100
237496	233575	259551	259696	247107	305606	302325	delete_range=100
166362	164833	170575	170397	171089	180059	178100	insert_range=100
153913	153737	158048	160242	161166	164774	161628	read-write_range=100
216403	218324	236045	236733	236368	248024	246478	read-write_range=10
119132	119528	123800	123235	102315	172099	169630	update-index_range=100
45689	46103	50880	50858	51014	51705	51028	update-inlist_range=100
165088	162907	171526	175403	173562	206802	205871	update-nonindex_range=100
65577	68528	60191	58894	55213	77310	75348	update-one_range=100
173757	171073	180331	179762	174786	219134	219414	update-zipf_range=100
205590	210575	215407	227158	223261	249374	243525	write-only_range=10000
