Relative to: x.pg1222_o2nofp.x10a_c24r64.pk1
col-1 : x.pg1322_o2nofp.x10a_c24r64.pk1
col-2 : x.pg1419_o2nofp.x10a_c24r64.pk1
col-3 : x.pg1514_o2nofp.x10a_c24r64.pk1
col-4 : x.pg1610_o2nofp.x10a_c24r64.pk1
col-5 : x.pg176_o2nofp.x10a_c24r64.pk1
col-6 : x.pg180_o2nofp.x10b_c24r64.pk1

col-1	col-2	col-3	col-4	col-5	col-6
0.98	0.96	0.99	0.98	2.13	2.13	hot-points_range=100
1.00	1.02	1.01	1.02	1.03	1.01	point-query_range=100
0.99	1.05	1.05	1.08	1.07	1.05	points-covered-pk_range=100
0.99	1.08	1.05	1.07	1.07	1.05	points-covered-si_range=100
0.99	1.04	1.05	1.06	1.07	1.05	points-notcovered-pk_range=100
0.99	1.05	1.04	1.05	1.06	1.04	points-notcovered-si_range=100
0.98	1.03	1.04	1.06	1.06	1.04	random-points_range=1000
0.98	1.04	1.05	1.07	1.07	1.05	random-points_range=100
0.99	1.02	1.03	1.05	1.05	1.04	random-points_range=10
1.02	1.04	1.03	1.04	1.03	1.01	range-covered-pk_range=100
1.05	1.07	1.06	1.06	1.06	1.05	range-covered-si_range=100
0.99	1.00	1.00	1.00	1.01	0.98	range-notcovered-pk_range=100
0.97	0.99	1.00	1.01	1.01	1.01	range-notcovered-si_range=100
0.98	0.97	0.97	1.00	0.98	0.97	read-only-count_range=1000
0.99	0.99	1.02	1.02	1.01	0.99	read-only-distinct_range=1000
1.00	0.99	1.02	1.05	1.05	1.02	read-only-order_range=1000
0.99	0.99	1.04	1.07	1.09	1.06	read-only_range=10000
0.99	1.00	1.00	1.01	1.02	0.99	read-only_range=100
1.00	1.00	1.00	1.01	1.01	1.00	read-only_range=10
0.99	0.99	1.00	1.01	1.01	0.99	read-only-simple_range=1000
0.98	0.99	0.99	1.00	1.00	0.98	read-only-sum_range=1000
0.86	1.06	1.08	1.17	1.18	1.20	scan_range=100
0.85	1.06	1.05	1.16	1.20	1.20	scan.warm_range=100
0.98	1.09	1.09	1.04	1.29	1.27	delete_range=100
0.99	1.03	1.02	1.03	1.08	1.07	insert_range=100
1.00	1.03	1.04	1.05	1.07	1.05	read-write_range=100
1.01	1.09	1.09	1.09	1.15	1.14	read-write_range=10
1.00	1.04	1.03	0.86	1.44	1.42	update-index_range=100
1.01	1.11	1.11	1.12	1.13	1.12	update-inlist_range=100
0.99	1.04	1.06	1.05	1.25	1.25	update-nonindex_range=100
1.05	0.92	0.90	0.84	1.18	1.15	update-one_range=100
0.98	1.04	1.03	1.01	1.26	1.26	update-zipf_range=100
1.02	1.05	1.10	1.09	1.21	1.18	write-only_range=10000
