wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
580.3	598.3	1.0	0.003	3	2	67.0	67.0	83.0	2.2	False	L	L2	l:362.039:1-l:362.039:1
122.9	140.9	1.02	0.004	4	3	79.4	79.0	111.0	2.3	False	L	L3	l:50.797:1-l:50.797:1-l:50.797:1
61.9	79.9	1.06	0.004	5	4	92.0	91.0	139.0	2.5	False	L	L4	l:19.027:1-l:19.027:1-l:19.027:1-l:19.027:1
43.2	61.2	1.1	0.005	6	5	104.9	103.0	167.0	2.5	False	L	L5	l:10.556:1-l:10.556:1-l:10.556:1-l:10.556:1-l:10.556:1
35.2	53.2	1.16	0.006	7	6	117.9	115.0	195.0	2.5	False	L	L6	l:7.127:1-l:7.127:1-l:7.127:1-l:7.127:1-l:7.127:1-l:7.127:1
31.2	49.2	1.23	0.006	8	7	131.1	127.0	223.0	2.5	False	L	L7	l:5.384:1-l:5.384:1-l:5.384:1-l:5.384:1-l:5.384:1-l:5.384:1-l:5.384:1
28.9	46.9	1.3	0.007	9	8	144.4	139.0	251.0	2.5	False	L	L8	l:4.362:1-l:4.362:1-l:4.362:1-l:4.362:1-l:4.362:1-l:4.362:1-l:4.362:1-l:4.362:1
27.7	45.7	1.37	0.008	10	9	157.7	151.0	279.0	2.6	False	L	L9	l:3.703:1-l:3.703:1-l:3.703:1-l:3.703:1-l:3.703:1-l:3.703:1-l:3.703:1-l:3.703:1-l:3.703:1
27.0	45.0	1.44	0.009	11	10	171.0	163.0	307.0	2.6	False	L	L10	l:3.249:1-l:3.249:1-l:3.249:1-l:3.249:1-l:3.249:1-l:3.249:1-l:3.249:1-l:3.249:1-l:3.249:1-l:3.249:1
435.4	454.4	1.01	0.003	4	2	79.1	79.0	111.0	3.2	True	LN	LNC1L2	l:362.039:2-l:362.039:1
387.2	407.2	1.01	0.004	5	2	91.1	91.0	139.0	3.8	True	LN	LNC1L2	l:362.039:3-l:362.039:1
363.0	383.0	1.01	0.004	6	2	103.1	103.0	167.0	4.2	True	LN	LNC1L2	l:362.039:4-l:362.039:1
348.6	369.6	1.01	0.004	7	2	115.0	115.0	195.0	4.5	True	LN	LNC1L2	l:362.039:5-l:362.039:1
338.9	359.9	1.02	0.004	8	2	126.9	127.0	223.0	4.8	True	LN	LNC1L2	l:362.039:6-l:362.039:1
332.0	353.0	1.02	0.004	9	2	138.8	139.0	251.0	5.0	True	LN	LNC1L2	l:362.039:7-l:362.039:1
326.8	347.8	1.02	0.004	10	2	150.6	151.0	279.0	5.2	True	LN	LNC1L2	l:362.039:8-l:362.039:1
410.6	429.6	1.0	0.003	4	2	77.1	77.0	109.0	3.2	False	LN	LNA1L2	l:256.000:2-l:512.000:1
335.4	355.4	1.0	0.003	5	2	88.1	88.0	136.0	3.8	False	LN	LNA1L2	l:209.023:3-l:627.069:1
290.6	310.6	1.01	0.003	6	2	99.0	99.0	163.0	4.2	False	LN	LNA1L2	l:181.019:4-l:724.076:1
260.1	281.1	1.01	0.004	7	2	110.0	110.0	190.0	4.5	False	LN	LNA1L2	l:161.909:5-l:809.545:1
237.5	258.5	1.01	0.004	8	2	121.0	121.0	217.0	4.8	False	LN	LNA1L2	l:147.802:6-l:886.812:1
219.9	240.9	1.01	0.004	9	2	131.9	132.0	244.0	5.0	False	LN	LNA1L2	l:136.838:7-l:957.866:1
205.8	226.8	1.01	0.004	10	2	134.9	135.0	263.0	5.2	False	LN	LNA1L2	l:128.000:8-l:1024.000:1
102.6	121.6	1.02	0.004	5	3	88.4	88.0	136.0	3.3	False	LN	LNC1L3	l:50.797:2-l:50.797:1-l:50.797:1
95.8	115.8	1.02	0.004	6	3	97.4	97.0	161.0	3.9	False	LN	LNC1L3	l:50.797:3-l:50.797:1-l:50.797:1
92.4	112.4	1.02	0.004	7	3	106.4	106.0	186.0	4.3	False	LN	LNC1L3	l:50.797:4-l:50.797:1-l:50.797:1
90.4	111.4	1.02	0.004	8	3	115.4	115.0	211.0	4.6	True	LN	LNC1L3	l:50.797:5-l:50.797:1-l:50.797:1
89.0	110.0	1.02	0.004	9	3	124.4	124.0	236.0	4.9	True	LN	LNC1L3	l:50.797:6-l:50.797:1-l:50.797:1
88.1	109.1	1.02	0.004	10	3	133.3	133.0	261.0	5.1	True	LN	LNC1L3	l:50.797:7-l:50.797:1-l:50.797:1
87.4	108.4	1.02	0.004	11	3	142.3	142.0	286.0	5.3	True	LN	LNC1L3	l:50.797:8-l:50.797:1-l:50.797:1
82.3	102.3	1.04	0.004	6	3	103.7	103.0	167.0	4.3	True	LN	LNC2L3	l:50.797:2-l:50.797:2-l:50.797:1
68.7	90.7	1.06	0.004	8	3	127.6	127.0	223.0	5.5	True	LN	LNC2L3	l:50.797:3-l:50.797:3-l:50.797:1
62.0	84.0	1.08	0.004	10	3	151.3	151.0	279.0	6.3	True	LN	LNC2L3	l:50.797:4-l:50.797:4-l:50.797:1
57.9	81.9	1.1	0.005	12	3	174.6	175.0	335.0	6.9	True	LN	LNC2L3	l:50.797:5-l:50.797:5-l:50.797:1
55.2	79.2	1.12	0.005	14	3	197.6	199.0	391.0	7.5	True	LN	LNC2L3	l:50.797:6-l:50.797:6-l:50.797:1
53.2	77.2	1.14	0.005	16	3	220.3	223.0	447.0	7.9	True	LN	LNC2L3	l:50.797:7-l:50.797:7-l:50.797:1
51.8	75.8	1.16	0.006	18	3	242.7	247.0	503.0	8.3	True	LN	LNC2L3	l:50.797:8-l:50.797:8-l:50.797:1
97.8	116.8	1.03	0.004	5	3	88.5	88.0	136.0	3.3	False	LN	LNA1L3	l:40.317:2-l:80.634:1-l:40.317:1
85.5	105.5	1.03	0.004	6	3	97.5	97.0	161.0	3.9	False	LN	LNA1L3	l:35.221:3-l:105.663:1-l:35.221:1
77.8	97.8	1.03	0.004	7	3	102.6	102.0	182.0	4.3	True	LN	LNA1L3	l:32.000:4-l:128.000:1-l:32.000:1
72.3	93.3	1.03	0.004	8	3	111.6	111.0	207.0	4.6	False	LN	LNA1L3	l:29.706:5-l:148.530:1-l:29.706:1
68.1	89.1	1.04	0.004	9	3	119.6	119.0	231.0	4.9	False	LN	LNA1L3	l:27.955:6-l:167.730:1-l:27.955:1
64.7	85.7	1.04	0.004	10	3	127.7	127.0	255.0	5.1	False	LN	LNA1L3	l:26.554:7-l:185.878:1-l:26.554:1
62.0	83.0	1.04	0.004	11	3	135.7	135.0	279.0	5.3	False	LN	LNA1L3	l:25.398:8-l:203.184:1-l:25.398:1
77.8	97.8	1.03	0.004	6	3	99.6	99.0	163.0	4.3	False	LN	LNA2L3	l:32.000:2-l:64.000:2-l:64.000:1
59.6	81.6	1.04	0.004	8	3	121.5	121.0	217.0	5.5	False	LN	LNA2L3	l:24.421:3-l:73.263:3-l:73.263:1
49.4	71.4	1.05	0.004	10	3	143.2	143.0	271.0	6.3	False	LN	LNA2L3	l:20.159:4-l:80.636:4-l:80.636:1
42.7	66.7	1.06	0.004	12	3	164.8	165.0	325.0	6.9	True	LN	LNA2L3	l:17.372:5-l:86.860:5-l:86.860:1
37.9	61.9	1.07	0.004	14	3	180.4	181.0	373.0	7.5	True	LN	LNA2L3	l:15.384:6-l:92.304:6-l:92.304:1
34.3	58.3	1.07	0.004	16	3	200.8	202.0	426.0	7.9	True	LN	LNA2L3	l:13.882:7-l:97.174:7-l:97.174:1
31.5	55.5	1.08	0.004	18	3	221.1	223.0	479.0	8.3	True	LN	LNA2L3	l:12.699:8-l:101.592:8-l:101.592:1
54.3	73.3	1.06	0.004	6	4	100.0	99.0	163.0	3.5	False	LN	LNC1L4	l:19.027:2-l:19.027:1-l:19.027:1-l:19.027:1
51.7	71.7	1.06	0.004	7	4	108.0	107.0	187.0	4.0	False	LN	LNC1L4	l:19.027:3-l:19.027:1-l:19.027:1-l:19.027:1
50.5	70.5	1.06	0.004	8	4	116.0	115.0	211.0	4.5	True	LN	LNC1L4	l:19.027:4-l:19.027:1-l:19.027:1-l:19.027:1
49.7	70.7	1.06	0.004	9	4	124.0	123.0	235.0	4.8	True	LN	LNC1L4	l:19.027:5-l:19.027:1-l:19.027:1-l:19.027:1
49.2	70.2	1.06	0.004	10	4	132.0	131.0	259.0	5.0	True	LN	LNC1L4	l:19.027:6-l:19.027:1-l:19.027:1-l:19.027:1
48.8	69.8	1.06	0.004	11	4	140.0	139.0	283.0	5.3	True	LN	LNC1L4	l:19.027:7-l:19.027:1-l:19.027:1-l:19.027:1
48.6	69.6	1.06	0.004	12	4	148.0	147.0	307.0	5.5	True	LN	LNC1L4	l:19.027:8-l:19.027:1-l:19.027:1-l:19.027:1
46.7	66.7	1.06	0.004	7	4	112.1	111.0	191.0	4.5	False	LN	LNC2L4	l:19.027:2-l:19.027:2-l:19.027:1-l:19.027:1
41.6	63.6	1.06	0.004	9	4	132.1	131.0	243.0	5.6	True	LN	LNC2L4	l:19.027:3-l:19.027:3-l:19.027:1-l:19.027:1
39.1	61.1	1.06	0.004	11	4	152.0	151.0	295.0	6.5	True	LN	LNC2L4	l:19.027:4-l:19.027:4-l:19.027:1-l:19.027:1
37.5	61.5	1.07	0.004	13	4	172.0	171.0	347.0	7.1	True	LN	LNC2L4	l:19.027:5-l:19.027:5-l:19.027:1-l:19.027:1
36.5	60.5	1.07	0.004	15	4	191.8	191.0	399.0	7.6	True	LN	LNC2L4	l:19.027:6-l:19.027:6-l:19.027:1-l:19.027:1
35.8	59.8	1.07	0.004	17	4	211.7	211.0	451.0	8.1	True	LN	LNC2L4	l:19.027:7-l:19.027:7-l:19.027:1-l:19.027:1
35.2	59.2	1.08	0.004	19	4	231.5	231.0	503.0	8.4	True	LN	LNC2L4	l:19.027:8-l:19.027:8-l:19.027:1-l:19.027:1
39.1	60.1	1.11	0.005	8	4	129.0	127.0	223.0	5.5	True	LN	LNC3L4	l:19.027:2-l:19.027:2-l:19.027:2-l:19.027:1
31.4	55.4	1.17	0.006	11	4	164.7	163.0	307.0	7.2	True	LN	LNC3L4	l:19.027:3-l:19.027:3-l:19.027:3-l:19.027:1
27.6	51.6	1.22	0.006	14	4	199.5	199.0	391.0	8.4	True	LN	LNC3L4	l:19.027:4-l:19.027:4-l:19.027:4-l:19.027:1
25.4	52.4	1.28	0.007	17	4	233.4	235.0	475.0	9.4	True	LN	LNC3L4	l:19.027:5-l:19.027:5-l:19.027:5-l:19.027:1
23.8	50.8	1.33	0.008	20	4	266.5	271.0	559.0	10.2	True	LN	LNC3L4	l:19.027:6-l:19.027:6-l:19.027:6-l:19.027:1
22.7	49.7	1.39	0.009	23	4	298.7	307.0	643.0	10.9	True	LN	LNC3L4	l:19.027:7-l:19.027:7-l:19.027:7-l:19.027:1
21.9	48.9	1.44	0.009	26	4	330.0	343.0	727.0	11.4	True	LN	LNC3L4	l:19.027:8-l:19.027:8-l:19.027:8-l:19.027:1
52.2	71.2	1.07	0.004	6	4	98.2	97.0	161.0	3.5	False	LN	LNA1L4	l:16.000:2-l:32.000:1-l:16.000:1-l:16.000:1
47.3	67.3	1.07	0.004	7	4	107.3	106.0	186.0	4.0	False	LN	LNA1L4	l:14.458:3-l:43.374:1-l:14.458:1-l:14.458:1
44.1	64.1	1.08	0.004	8	4	114.4	113.0	209.0	4.5	True	LN	LNA1L4	l:13.454:4-l:53.816:1-l:13.454:1-l:13.454:1
41.7	62.7	1.09	0.005	9	4	121.5	120.0	232.0	4.8	False	LN	LNA1L4	l:12.724:5-l:63.620:1-l:12.724:1-l:12.724:1
39.9	60.9	1.09	0.005	10	4	128.6	127.0	255.0	5.0	False	LN	LNA1L4	l:12.157:6-l:72.942:1-l:12.157:1-l:12.157:1
38.4	59.4	1.09	0.005	11	4	135.7	134.0	278.0	5.3	False	LN	LNA1L4	l:11.698:7-l:81.886:1-l:11.698:1-l:11.698:1
37.2	58.2	1.1	0.005	12	4	143.7	142.0	302.0	5.5	True	LN	LNA1L4	l:11.314:8-l:90.512:1-l:11.314:1-l:11.314:1
44.1	64.1	1.08	0.004	7	4	111.4	110.0	190.0	4.5	False	LN	LNA2L4	l:13.454:2-l:26.908:2-l:26.908:1-l:13.454:1
36.2	58.2	1.1	0.005	9	4	130.7	129.0	241.0	5.6	True	LN	LNA2L4	l:10.985:3-l:32.955:3-l:32.955:1-l:10.985:1
