1
cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
27.2	6.2	27.2	1.74	0.013	43	5	366.1	384.0	1040.0	15.8	False	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:8-l:12.310:1
27.7	5.7	27.7	1.5	0.01	64	4	458.6	483.0	1475.0	15.3	False	TL	T3L4	t:1:25-t:25:25-t:25:12-l:26.214:1
27.8	4.8	27.8	1.99	0.017	77	4	523.7	652.0	1852.0	16.4	False	TL	T3L4	t:1:25-t:25:25-t:25:25-l:26.214:1
27.8	6.8	27.8	2.2	0.019	37	6	345.2	367.0	927.0	16.6	False	TL	T5L6	t:1:7-t:7:7-t:7:7-t:7:7-t:7:7-l:6.824:1
27.8	7.8	27.8	1.61	0.012	33	6	309.8	307.0	803.0	15.4	False	TL	T5L6	t:1:7-t:7:7-t:7:7-t:7:7-t:7:3-l:6.824:1
---
36.9	9.9	36.9	1.39	0.009	22	5	201.7	200.0	520.0	11.5	False	TLN	T1LN4L5X1	t:1:8-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
2
cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
27.2	6.2	27.2	1.74	0.013	43	5	366.1	384.0	1040.0	15.8	False	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:8-l:12.310:1
27.7	5.7	27.7	1.5	0.01	64	4	458.6	483.0	1475.0	15.3	False	TL	T3L4	t:1:25-t:25:25-t:25:12-l:26.214:1
27.8	4.8	27.8	1.99	0.017	77	4	523.7	652.0	1852.0	16.4	False	TL	T3L4	t:1:25-t:25:25-t:25:25-l:26.214:1
27.8	7.8	27.8	1.61	0.012	33	6	309.8	307.0	803.0	15.4	False	TL	T5L6	t:1:7-t:7:7-t:7:7-t:7:7-t:7:3-l:6.824:1
27.9	5.9	27.9	1.98	0.016	46	5	383.5	426.0	1130.0	16.3	False	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:11-l:12.310:1
---
36.9	9.9	36.9	1.39	0.009	22	5	201.7	200.0	520.0	11.5	False	TLN	T1LN4L5X1	t:1:8-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
3
cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
27.2	6.2	27.2	1.74	0.013	43	5	366.1	384.0	1040.0	15.8	False	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:8-l:12.310:1
27.7	5.7	27.7	1.5	0.01	64	4	458.6	483.0	1475.0	15.3	False	TL	T3L4	t:1:25-t:25:25-t:25:12-l:26.214:1
27.8	4.8	27.8	1.99	0.017	77	4	523.7	652.0	1852.0	16.4	False	TL	T3L4	t:1:25-t:25:25-t:25:25-l:26.214:1
27.8	7.8	27.8	1.61	0.012	33	6	309.8	307.0	803.0	15.4	False	TL	T5L6	t:1:7-t:7:7-t:7:7-t:7:7-t:7:3-l:6.824:1
27.9	5.9	27.9	1.98	0.016	46	5	383.5	426.0	1130.0	16.3	False	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:11-l:12.310:1
---
36.9	9.9	36.9	1.39	0.009	22	5	201.7	200.0	520.0	11.5	False	TLN	T1LN4L5X1	t:1:8-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
4
cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
27.7	5.7	27.7	1.5	0.01	64	4	458.6	483.0	1475.0	15.3	False	TL	T3L4	t:1:25-t:25:25-t:25:12-l:26.214:1
28.0	7.0	28.0	1.5	0.01	40	5	338.5	342.0	950.0	15.2	False	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:5-l:12.310:1
28.5	7.5	28.5	1.27	0.007	58	4	400.3	405.0	1301.0	14.3	False	TL	T3L4	t:1:25-t:25:25-t:25:6-l:26.214:1
28.9	9.9	28.9	1.25	0.007	37	5	300.6	300.0	860.0	13.8	False	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:2-l:12.310:1
29.2	6.2	29.2	1.26	0.007	162	3	721.7	756.0	3316.0	14.3	False	TL	T2L3	t:1:128-t:128:32-l:128.000:1
---
36.9	9.9	36.9	1.39	0.009	22	5	201.7	200.0	520.0	11.5	False	TLN	T1LN4L5X1	t:1:8-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
5
cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
28.9	9.9	28.9	1.25	0.007	37	5	300.6	300.0	860.0	13.8	False	TL	T4L5	t:1:11-t:11:11-t:11:11-t:11:2-l:12.310:1
29.2	9.2	29.2	1.19	0.006	56	4	376.9	379.0	1243.0	13.7	False	TL	T3L4	t:1:25-t:25:25-t:25:4-l:26.214:1
30.2	6.2	30.2	1.25	0.007	130	3	754.5	820.0	2868.0	14.3	False	TL	T2RL3	t:1:64-t:64:64-l:256.000:1
31.3	7.3	31.3	1.19	0.006	114	3	640.3	676.0	2468.0	13.9	False	TL	T2RL3	t:1:64-t:64:48-l:256.000:1
31.8	9.8	31.8	1.24	0.007	34	5	272.3	270.0	782.0	13.4	False	TLN	T3LN4L5X0	t:1:11-t:11:11-t:11:8-l:11.636:2-l:11.636:1
---
36.9	9.9	36.9	1.39	0.009	22	5	201.7	200.0	520.0	11.5	False	TLN	T1LN4L5X1	t:1:8-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
