1
cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
201.7	9.9	36.9	1.39	0.009	22	5	201.7	200.0	520.0	11.5	False	TLN	T1LN4L5X1	t:1:8-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
210.7	9.6	37.6	1.39	0.009	25	5	210.7	209.0	577.0	11.9	False	TLN	T1LN4L5X1	t:1:11-l:11.312:4-l:11.312:4-l:11.312:4-l:11.312:1
217.7	9.4	34.4	1.38	0.009	26	5	217.7	216.0	600.0	12.3	False	TLN	T2LN4L5X0	t:1:11-t:11:5-l:11.420:4-l:11.420:4-l:11.420:1
230.1	9.9	38.9	1.25	0.007	32	4	230.1	232.0	712.0	11.8	False	TLN	T1LN3L4X0	t:1:18-l:25.398:6-l:25.398:6-l:25.398:1
238.6	8.7	33.7	1.39	0.009	29	5	238.6	237.0	669.0	12.9	False	TLN	T2LN4L5X0	t:1:11-t:11:8-l:11.420:4-l:11.420:4-l:11.420:1
---
79.7	52.8	71.8	1.04	0.004	6	4	79.7	79.0	143.0	3.5	False	TL	T1L4	t:1:2-l:25.398:1-l:25.398:1-l:25.398:1
2
cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
132.8	18.0	40.0	1.32	0.008	11	6	132.8	127.0	271.0	6.5	False	TLN	T1RLN4L6X1	t:1:2-l:8.000:2-l:8.000:2-l:8.000:2-l:8.000:1-l:4.000:1
133.1	17.0	39.0	1.29	0.007	10	5	133.1	128.0	256.0	6.5	False	LN	LNA4L5	l:4.000:2-l:8.000:2-l:8.000:2-l:8.000:2-l:8.000:1
135.3	18.0	40.0	1.24	0.007	13	6	135.3	131.0	307.0	7.7	False	TLN	T2RLN4L6X1	t:1:3-t:3:3-l:10.224:2-l:10.224:2-l:10.224:1-l:5.112:1
135.8	16.9	39.9	1.32	0.008	12	6	135.8	130.0	290.0	7.1	False	TLN	T1LN4L6X1	t:1:3-l:8.000:2-l:8.000:2-l:8.000:2-l:8.000:1-l:4.000:1
139.1	18.8	39.8	1.17	0.006	16	6	139.1	136.0	360.0	7.9	False	TLN	T2LN3L6X0	t:1:7-t:7:3-l:6.956:2-l:6.956:1-l:6.956:1-l:6.956:1
---
79.7	52.8	71.8	1.04	0.004	6	4	79.7	79.0	143.0	3.5	False	TL	T1L4	t:1:2-l:25.398:1-l:25.398:1-l:25.398:1
3
cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
97.0	28.9	46.9	1.17	0.006	6	5	97.0	94.0	158.0	2.5	False	L	L5	l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1
98.8	29.2	49.2	1.1	0.005	8	5	98.8	97.0	193.0	4.5	False	TLN	T1LN2L5X0	t:1:2-l:11.314:2-l:11.314:1-l:11.314:1-l:11.314:1
99.6	27.6	47.6	1.14	0.005	8	5	99.6	97.0	193.0	4.5	False	TLN	T1LN2L5X1	t:1:2-l:16.000:2-l:16.000:1-l:8.000:1-l:8.000:1
100.4	28.5	48.5	1.13	0.005	7	4	100.4	98.0	178.0	4.0	False	LN	LNA1L4	l:8.597:3-l:25.791:1-l:8.597:1-l:8.597:1
100.5	26.6	46.6	1.14	0.005	7	4	100.5	98.0	178.0	4.5	False	LN	LNA2L4	l:8.000:2-l:16.000:2-l:16.000:1-l:8.000:1
---
79.7	52.8	71.8	1.04	0.004	6	4	79.7	79.0	143.0	3.5	False	TL	T1L4	t:1:2-l:25.398:1-l:25.398:1-l:25.398:1
4
cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
85.7	37.2	55.2	1.1	0.005	5	4	85.7	84.0	132.0	2.5	False	L	L4	l:11.314:1-l:11.314:1-l:11.314:1-l:11.314:1
90.8	39.3	60.3	1.04	0.004	8	4	90.8	90.0	186.0	5.0	False	TLN	T1RLN2L4X0	t:1:3-l:25.398:2-l:25.398:1-l:25.398:1
91.2	36.1	57.1	1.07	0.004	8	4	91.2	90.0	186.0	5.0	False	TLN	T1RLN2L4X1	t:1:3-l:32.000:2-l:32.000:1-l:16.000:1
91.2	39.4	59.4	1.06	0.004	6	3	91.2	90.0	154.0	4.3	False	LN	LNA2L3	l:16.000:2-l:32.000:2-l:32.000:1
91.7	33.7	52.7	1.1	0.005	7	5	91.7	90.0	170.0	3.5	False	TL	T1L5	t:1:2-l:11.314:1-l:11.314:1-l:11.314:1-l:11.314:1
---
79.7	52.8	71.8	1.04	0.004	6	4	79.7	79.0	143.0	3.5	False	TL	T1L4	t:1:2-l:25.398:1-l:25.398:1-l:25.398:1
5
cost	wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	isdom	F	L	C
73.7	62.0	80.0	1.04	0.004	4	3	73.7	73.0	105.0	2.3	False	L	L3	l:25.398:1-l:25.398:1-l:25.398:1
79.7	52.8	71.8	1.04	0.004	6	4	79.7	79.0	143.0	3.5	False	TL	T1L4	t:1:2-l:25.398:1-l:25.398:1-l:25.398:1
81.8	51.8	70.8	1.04	0.004	5	3	81.8	81.0	129.0	3.3	False	LN	LNC1L3	l:25.398:2-l:25.398:1-l:25.398:1
81.9	49.4	68.4	1.05	0.004	5	3	81.9	81.0	129.0	3.3	False	LN	LNA1L3	l:20.159:2-l:40.318:1-l:20.159:1
82.7	49.4	69.4	1.04	0.004	7	4	82.7	82.0	162.0	4.0	False	TL	T1RL4	t:1:3-l:25.398:1-l:25.398:1-l:25.398:1
---
79.7	52.8	71.8	1.04	0.004	6	4	79.7	79.0	143.0	3.5	False	TL	T1L4	t:1:2-l:25.398:1-l:25.398:1-l:25.398:1
