wa-I	wa-C	sa	ca	Nruns	Nlvls	ph	pm	rs	rn	F	L	C
205.8	223.8	1.01	0.004	3	2	62.1	62.0	78.0	2.2	L	L2	l:128.000:1-l:128.000:1
62.0	80.0	1.04	0.004	4	3	73.7	73.0	105.0	2.3	L	L3	l:25.398:1-l:25.398:1-l:25.398:1
37.2	55.2	1.10	0.005	5	4	85.7	84.0	132.0	2.5	L	L4	l:11.314:1-l:11.314:1-l:11.314:1-l:11.314:1
28.9	46.9	1.17	0.006	6	5	97.0	94.0	158.0	2.5	L	L5	l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1-l:6.964:1
25.2	43.2	1.25	0.007	7	6	109.5	105.0	185.0	2.5	L	L6	l:5.040:1-l:5.040:1-l:5.040:1-l:5.040:1-l:5.040:1-l:5.040:1
23.4	41.4	1.33	0.008	8	7	118.0	112.0	208.0	2.5	L	L7	l:4.000:1-l:4.000:1-l:4.000:1-l:4.000:1-l:4.000:1-l:4.000:1-l:4.000:1
22.5	40.5	1.42	0.009	9	8	133.6	126.0	238.0	2.5	L	L8	l:3.364:1-l:3.364:1-l:3.364:1-l:3.364:1-l:3.364:1-l:3.364:1-l:3.364:1-l:3.364:1
154.6	173.6	1.02	0.004	4	2	72.3	72.0	104.0	3.2	LN	LNC1L2	l:128.000:2-l:128.000:1
137.5	157.5	1.02	0.004	5	2	82.3	82.0	130.0	3.8	LN	LNC1L2	l:128.000:3-l:128.000:1
129.0	149.0	1.03	0.004	6	2	92.2	92.0	156.0	4.2	LN	LNC1L2	l:128.000:4-l:128.000:1
123.9	144.9	1.04	0.004	7	2	102.1	102.0	182.0	4.5	LN	LNC1L2	l:128.000:5-l:128.000:1
120.5	141.5	1.05	0.004	8	2	111.9	112.0	208.0	4.8	LN	LNC1L2	l:128.000:6-l:128.000:1
118.0	139.0	1.05	0.004	9	2	121.6	122.0	234.0	5.0	LN	LNC1L2	l:128.000:7-l:128.000:1
116.2	137.2	1.06	0.004	10	2	131.2	132.0	260.0	5.2	LN	LNC1L2	l:128.000:8-l:128.000:1
145.8	164.8	1.01	0.004	4	2	72.2	72.0	104.0	3.2	LN	LNA1L2	l:90.510:2-l:181.020:1
119.2	139.2	1.01	0.004	5	2	82.2	82.0	130.0	3.8	LN	LNA1L2	l:73.901:3-l:221.703:1
103.4	123.4	1.02	0.004	6	2	88.1	88.0	152.0	4.2	LN	LNA1L2	l:64.000:4-l:256.000:1
92.6	113.6	1.02	0.004	7	2	97.1	97.0	177.0	4.5	LN	LNA1L2	l:57.243:5-l:286.215:1
84.6	105.6	1.02	0.004	8	2	106.0	106.0	202.0	4.8	LN	LNA1L2	l:52.256:6-l:313.536:1
78.4	99.4	1.02	0.004	9	2	114.9	115.0	227.0	5.0	LN	LNA1L2	l:48.379:7-l:338.653:1
73.4	94.4	1.02	0.004	10	2	123.8	124.0	252.0	5.2	LN	LNA1L2	l:45.255:8-l:362.040:1
51.8	70.8	1.04	0.004	5	3	81.8	81.0	129.0	3.3	LN	LNC1L3	l:25.398:2-l:25.398:1-l:25.398:1
48.4	68.4	1.04	0.004	6	3	89.8	89.0	153.0	3.9	LN	LNC1L3	l:25.398:3-l:25.398:1-l:25.398:1
46.7	66.7	1.05	0.004	7	3	97.8	97.0	177.0	4.3	LN	LNC1L3	l:25.398:4-l:25.398:1-l:25.398:1
45.7	66.7	1.05	0.004	8	3	105.8	105.0	201.0	4.6	LN	LNC1L3	l:25.398:5-l:25.398:1-l:25.398:1
45.0	66.0	1.05	0.004	9	3	113.7	113.0	225.0	4.9	LN	LNC1L3	l:25.398:6-l:25.398:1-l:25.398:1
44.5	65.5	1.05	0.004	10	3	121.7	121.0	249.0	5.1	LN	LNC1L3	l:25.398:7-l:25.398:1-l:25.398:1
44.2	65.2	1.05	0.004	11	3	129.6	129.0	273.0	5.3	LN	LNC1L3	l:25.398:8-l:25.398:1-l:25.398:1
